,lsoa
1740,E01001785
1741,E01001786
1742,E01001787
1743,E01001788
1744,E01001789
1745,E01001790
1746,E01001791
1747,E01001792
1748,E01001793
1749,E01001794
1750,E01001795
1751,E01001796
1752,E01001798
1753,E01001799
1754,E01001800
1755,E01001801
1756,E01001802
1757,E01001803
1758,E01001804
1759,E01001805
1760,E01001806
1761,E01001807
1762,E01001808
1763,E01001809
1764,E01001811
1765,E01001812
1766,E01001813
1767,E01001814
1768,E01001815
1769,E01001816
1770,E01001819
1771,E01001820
1772,E01001821
1773,E01001822
1774,E01001823
1775,E01001824
1776,E01001825
1777,E01001826
1778,E01001827
1779,E01001828
1780,E01001829
1781,E01001830
1782,E01001831
1783,E01001832
1784,E01001833
1785,E01001834
1786,E01001835
1787,E01001836
1788,E01001837
1789,E01001838
1790,E01001839
1791,E01001840
1792,E01001841
1793,E01001842
1794,E01001843
1795,E01001844
1796,E01001845
1797,E01001846
1798,E01001847
1799,E01001848
1800,E01001849
1801,E01001850
1802,E01001851
1803,E01001852
1804,E01001853
1805,E01001854
1806,E01001855
1807,E01001856
1808,E01001857
1809,E01001858
1810,E01001859
1811,E01001860
1812,E01001861
1813,E01001862
1814,E01001863
1815,E01001864
1816,E01001865
1817,E01001866
1818,E01001867
1819,E01001868
1820,E01001869
1821,E01001870
1822,E01001871
1823,E01001872
1824,E01001873
1825,E01001874
1826,E01001875
1827,E01001876
1828,E01001877
1829,E01001878
1830,E01001879
1831,E01001880
1832,E01001881
1833,E01001882
1834,E01001883
1835,E01001884
1836,E01001885
1837,E01001886
1838,E01001887
1839,E01001888
1840,E01001889
1841,E01001890
1842,E01001891
1843,E01001892
1844,E01001893
1845,E01001894
1846,E01001895
1847,E01001896
1848,E01001897
1849,E01001898
1850,E01001899
1851,E01001900
1852,E01001901
1853,E01001902
1854,E01001903
1855,E01001904
1856,E01001905
1857,E01001906
1858,E01001907
1859,E01001908
1860,E01001909
1861,E01001910
1862,E01001911
1863,E01001912
1864,E01001913
1865,E01001914
1866,E01001915
1867,E01001916
1868,E01001917
