month,0,1,2,3,4,5,6,7,8,9
1,0.0006727965911639381,0.00028543079662376146,0.00022426553038797938,0.00014271636820822997,0.00014951035359198625,6.116374213366317e-05,6.795971348184796e-05,3.397985674092398e-05,2.0387914044554387e-05,1.3591850326544204e-05
2,0.0012844298558584272,0.0012640506707623721,0.0012844298558584272,0.0010533827177274116,0.0010193887744908152,0.0010533755589686433,0.0008155165617821755,0.0007815367050412515,0.0006728011634702948,0.0005708577137148566
3,0.006007597844332538,0.005898903130224403,0.00523965830088279,0.00517856536069863,0.00439696358063705,0.003955255324643551,0.004002827124080845,0.0036086607858861267,0.0032756581898250718,0.0027591456162884736
4,0.03685430216042461,0.03586913677571935,0.03624946482089339,0.03483638587787557,0.03353109475558455,0.032715806070161606,0.03216533239095864,0.03130224402973917,0.030894485748848084,0.030017601446172874
5,0.11764426050140336,0.12333328802685768,0.1263838202613713,0.13243399367970368,0.1336622561112357,0.13836597664904246,0.14167561469560844,0.1458007693039566,0.1515365691218246,0.15798487227058655
6,0.13031866093090583,0.1350291547170837,0.1368291572373205,0.13878147405620306,0.14154552930063133,0.1454949505932883,0.15065309284656056,0.15353458469819092,0.1633275794109252,0.18049977233650702
7,0.2000720368067307,0.20710043086458346,0.2121483958218652,0.2138910598389344,0.21659293087864517,0.21904095252334416,0.22173215717722533,0.223043779647425,0.22762426433610156,0.23623315460050154
8,0.178026055577076,0.17819716472075353,0.1780464433525658,0.1776750824017126,0.17971824094273073,0.18017479238307532,0.1793728677639895,0.18190096910551426,0.18140486319709676,0.17966387354142457
9,0.14056012015195687,0.13820287333668602,0.14015916056732383,0.13753780284753134,0.13778738268534188,0.13540972911258206,0.1343631495249616,0.13312628273959198,0.12710505212510023,0.11709379056317831
10,0.12975459914235424,0.12160031533307056,0.11466084935472691,0.11362941316388596,0.10939400735319103,0.10345507183341715,0.09926875348293532,0.09406983540157395,0.08589428186970764,0.07315813438262418
11,0.04306577775965531,0.04044962146439591,0.037690200955507076,0.035380067280573586,0.03384370731309507,0.032376007502752366,0.029209084854498253,0.027143109564650075,0.024241229798975167,0.019449937817284758
12,0.015739362678138188,0.012769630163239232,0.011084153941296799,0.00946005640694553,0.008358987950824686,0.007896918706590733,0.00667364386391747,0.005654248161689751,0.004002827124080845,0.00255526786139031
