month,year,0,1,2,3,4,5,6,7,8,9
1,2011,0.00033731543668990026,0.0001402702540227505,0.00012691075835857634,7.013512701137525e-05,5.677624481916766e-05,3.339767952922631e-05,2.3378375670458417e-05,1.6698839764613155e-05,1.0019303858767893e-05,6.679535905845262e-06
1,2021,0.022042394872805363,0.021317738843505154,0.020646376530861023,0.020138800756123464,0.02036931277365315,0.020178877971558536,0.019754727441537362,0.019500905077115244,0.019036677331658997,0.01801470833806467
2,2011,0.0006746308733798005,0.0006479149828669904,0.000654592332586341,0.0004876061211267041,0.0005043066451584892,0.0005143242647500852,0.0003940926184448705,0.000343996099151031,0.0003206177234805726,0.00027386097213965573
2,2021,0.007010149520911887,0.007066948988384287,0.007127041008873734,0.007103686435866436,0.007210583092034293,0.006940037806173227,0.006909979894596924,0.007167142026971966,0.007150443187207353,0.007694825363533742
3,2011,0.0031627496885676784,0.0030458683730654394,0.002591651275954085,0.0025014861967390506,0.0021708564195564105,0.0018502314459191375,0.0019404051806480485,0.0017166407278022323,0.0014795172031447255,0.001322548109357362
3,2021,0.10113451538458969,0.10219021982352666,0.10486836348577097,0.10409388755669256,0.10356988988748284,0.1025943317458303,0.10260435104968907,0.10211674492856236,0.10213010400037405,0.1029483471488401
4,2011,0.019447403840052366,0.018629225641402434,0.01796121206453746,0.01722986286912785,0.016585343045410976,0.015463125622031781,0.015282778152573959,0.015125809058786596,0.014538009899072212,0.01409048099338058
4,2021,0.1258553952101208,0.1330229575649084,0.13802546898534848,0.14097494506081718,0.14160329435811114,0.1431491339981698,0.14325600657266332,0.14402749296978845,0.14292870931327692,0.1407411613041126
5,2011,0.06256366411397922,0.0633988150503303,0.06396302221272247,0.06577005029690537,0.06568677547666997,0.06719613121280334,0.06822811951025642,0.0696107834427664,0.07179165191602488,0.07447682535017466
5,2021,0.03979988177260932,0.043480438979099735,0.046522812208814955,0.04860698278683597,0.0511687556984981,0.054284588306804445,0.05613147998477066,0.05750078484546894,0.061161170521872144,0.06270748308407532
6,2011,0.06903611279026661,0.0694638336528378,0.06887914422071785,0.0694638336528378,0.06909335016582004,0.07100346667913514,0.07223250128581066,0.07352165171563879,0.07742584045260535,0.08524423723039723
6,2021,0.0325425902485781,0.034339494091950494,0.03482030438543465,0.035578548002484785,0.036821064654783735,0.03836057470726934,0.03920553599935876,0.04044792967784598,0.04107246628504251,0.04352719573044065
7,2011,0.10599720128380251,0.10712639685794631,0.10672860802276378,0.10640500698011503,0.10601794797292106,0.10585394526788279,0.10620128113498674,0.10651855909051439,0.10797135815003574,0.11126770911957037
7,2021,0.014978809243110916,0.015680210538971753,0.016318051719473786,0.017760885973642553,0.018552472939439787,0.01919030665749344,0.02049949569503911,0.021220885572870395,0.022065846864959823,0.024293472089559218
8,2011,0.09428801394682439,0.09173006659497299,0.08969584834832328,0.0877190052835129,0.08813009107577625,0.0868039088644121,0.08640313671006139,0.08645991276526106,0.08603242246728697,0.08445939176146042
8,2021,0.03483366341263029,0.03492395348371195,0.035882347047488,0.03618638576991671,0.037031470738525356,0.03791972533748355,0.03857431985625639,0.03982673283860237,0.0404212115342226,0.04149995658301661
9,2011,0.07407246604302274,0.07140089906553293,0.07001800128914612,0.06843184535538471,0.06758043023034456,0.0651555329935676,0.06438404659644248,0.0631483324538611,0.059912097307479074,0.05507945307960003
9,2021,0.030268215868520455,0.030348471388207947,0.030214779759737895,0.030001135521103995,0.030425387664859846,0.030007815057009838,0.029937679929998465,0.02966715872581173,0.029583664526988664,0.02844814342299497
10,2011,0.06837484094408246,0.06210298508459632,0.05769429870116858,0.05567393177522026,0.0533028745478774,0.049932870664146256,0.047241017694090615,0.04451576704450575,0.04051138526895151,0.034142447782728055
10,2021,0.025709447838008437,0.027579803755235086,0.028210925680391952,0.028665228339934942,0.029293202547583504,0.030305054404819953,0.03125020873549706,0.031006405674933707,0.031236849663685368,0.030512120017901156
11,2011,0.02277380161176663,0.020582989893862175,0.01866590074910745,0.017550480592608424,0.01631148115863617,0.015770384273700665,0.013759843966041239,0.012724515900635223,0.011401967791277862,0.009117566511478782
11,2021,0.020873479993186898,0.0207933952748963,0.021053826860328032,0.021721850765808792,0.021541575240213613,0.021965653826372143,0.021655055406750338,0.02102049949569504,0.020409321960310197,0.020001870270053637
12,2011,0.008255878806905282,0.006532586115916666,0.005463842123016602,0.0045955207032215405,0.004004395149304825,0.0037238412675087334,0.0031894783950411126,0.002524864572409509,0.0018936484293071317,0.0011922971591933793
12,2021,0.015967377255588246,0.014454515700249146,0.013866670229073919,0.013268898076961612,0.012968362272519296,0.011802739945628579,0.010941079813774538,0.01026978645523709,0.009514998897876575,0.008937219042020961
