date,idx,date
2022-04-21 15:51:57,0,2022-04-21 15:51:57
2022-04-21 15:51:59,1,2022-04-21 15:51:59
2022-04-21 15:52:00,2,2022-04-21 15:52:00
2022-04-21 15:52:01,3,2022-04-21 15:52:01
2022-04-21 15:52:03,4,2022-04-21 15:52:03
2022-04-21 15:52:05,5,2022-04-21 15:52:05
2022-04-21 15:52:05,6,2022-04-21 15:52:05
2022-04-21 15:52:07,7,2022-04-21 15:52:07
2022-04-21 15:52:09,8,2022-04-21 15:52:09
2022-04-21 15:52:10,9,2022-04-21 15:52:10
2022-04-21 15:52:10,10,2022-04-21 15:52:10
2022-04-21 15:52:10,11,2022-04-21 15:52:10
2022-04-21 15:52:11,12,2022-04-21 15:52:11
2022-04-21 15:52:12,13,2022-04-21 15:52:12
2022-04-21 15:52:12,14,2022-04-21 15:52:12
2022-04-21 15:52:14,15,2022-04-21 15:52:14
2022-04-21 15:52:16,16,2022-04-21 15:52:16
2022-04-21 15:52:16,17,2022-04-21 15:52:16
2022-04-21 15:52:19,18,2022-04-21 15:52:19
2022-04-21 15:52:20,19,2022-04-21 15:52:20
2022-04-21 15:52:20,20,2022-04-21 15:52:20
2022-04-21 15:52:22,21,2022-04-21 15:52:22
2022-04-21 15:52:22,22,2022-04-21 15:52:22
2022-04-21 15:52:23,23,2022-04-21 15:52:23
2022-04-21 15:52:24,24,2022-04-21 15:52:24
2022-04-21 15:52:24,25,2022-04-21 15:52:24
2022-04-21 15:52:25,26,2022-04-21 15:52:25
2022-04-21 15:52:25,27,2022-04-21 15:52:25
2022-04-21 15:52:26,28,2022-04-21 15:52:26
2022-04-21 15:52:27,29,2022-04-21 15:52:27
2022-04-21 15:52:27,30,2022-04-21 15:52:27
2022-04-21 15:52:28,31,2022-04-21 15:52:28
2022-04-21 15:52:28,32,2022-04-21 15:52:28
2022-04-21 15:52:29,33,2022-04-21 15:52:29
2022-04-21 15:52:30,34,2022-04-21 15:52:30
2022-04-21 15:52:31,35,2022-04-21 15:52:31
2022-04-21 15:52:31,36,2022-04-21 15:52:31
2022-04-21 15:52:31,37,2022-04-21 15:52:31
2022-04-21 15:52:32,38,2022-04-21 15:52:32
2022-04-21 15:52:32,39,2022-04-21 15:52:32
2022-04-21 15:52:34,40,2022-04-21 15:52:34
2022-04-21 15:52:34,41,2022-04-21 15:52:34
2022-04-21 15:52:34,42,2022-04-21 15:52:34
2022-04-21 15:52:35,43,2022-04-21 15:52:35
2022-04-21 15:52:35,44,2022-04-21 15:52:35
2022-04-21 15:52:35,45,2022-04-21 15:52:35
2022-04-21 15:52:36,46,2022-04-21 15:52:36
2022-04-21 15:52:36,47,2022-04-21 15:52:36
2022-04-21 15:52:37,48,2022-04-21 15:52:37
2022-04-21 15:52:37,49,2022-04-21 15:52:37
2022-04-21 15:52:38,50,2022-04-21 15:52:38
2022-04-21 15:52:38,51,2022-04-21 15:52:38
2022-04-21 15:52:38,52,2022-04-21 15:52:38
2022-04-21 15:52:39,53,2022-04-21 15:52:39
2022-04-21 15:52:39,54,2022-04-21 15:52:39
2022-04-21 15:52:39,55,2022-04-21 15:52:39
2022-04-21 15:52:39,56,2022-04-21 15:52:39
2022-04-21 15:52:40,57,2022-04-21 15:52:40
2022-04-21 15:52:40,58,2022-04-21 15:52:40
2022-04-21 15:52:40,59,2022-04-21 15:52:40
2022-04-21 15:52:41,60,2022-04-21 15:52:41
2022-04-21 15:52:41,61,2022-04-21 15:52:41
2022-04-21 15:52:41,62,2022-04-21 15:52:41
2022-04-21 15:52:41,63,2022-04-21 15:52:41
2022-04-21 15:52:42,64,2022-04-21 15:52:42
2022-04-21 15:52:42,65,2022-04-21 15:52:42
2022-04-21 15:52:43,66,2022-04-21 15:52:43
2022-04-21 15:52:43,67,2022-04-21 15:52:43
2022-04-21 15:52:44,68,2022-04-21 15:52:44
2022-04-21 15:52:44,69,2022-04-21 15:52:44
2022-04-21 15:52:45,70,2022-04-21 15:52:45
2022-04-21 15:52:45,71,2022-04-21 15:52:45
2022-04-21 15:52:45,72,2022-04-21 15:52:45
2022-04-21 15:52:46,73,2022-04-21 15:52:46
2022-04-21 15:52:46,74,2022-04-21 15:52:46
2022-04-21 15:52:46,75,2022-04-21 15:52:46
2022-04-21 15:52:47,76,2022-04-21 15:52:47
2022-04-21 15:52:48,77,2022-04-21 15:52:48
2022-04-21 15:52:50,78,2022-04-21 15:52:50
2022-04-21 15:52:53,79,2022-04-21 15:52:53
2022-04-21 15:52:56,80,2022-04-21 15:52:56
2022-04-21 15:52:57,81,2022-04-21 15:52:57
2022-04-21 15:52:58,82,2022-04-21 15:52:58
2022-04-21 15:52:59,83,2022-04-21 15:52:59
2022-04-21 15:53:00,84,2022-04-21 15:53:00
2022-04-21 15:53:01,85,2022-04-21 15:53:01
2022-04-21 15:53:04,86,2022-04-21 15:53:04
2022-04-21 15:53:05,87,2022-04-21 15:53:05
2022-04-21 15:53:05,88,2022-04-21 15:53:05
2022-04-21 15:53:08,89,2022-04-21 15:53:08
2022-04-21 15:53:10,90,2022-04-21 15:53:10
2022-04-21 15:53:13,91,2022-04-21 15:53:13
2022-04-21 15:53:15,92,2022-04-21 15:53:15
2022-04-21 15:53:17,93,2022-04-21 15:53:17
2022-04-21 15:53:18,94,2022-04-21 15:53:18
2022-04-21 15:53:20,95,2022-04-21 15:53:20
2022-04-21 15:53:21,96,2022-04-21 15:53:21
