month,0,1,2,3,4,5,6,7,8,9
1,0.04876014605059235,0.04311250623867188,0.03894901363313982,0.037694712233050515,0.03629617468395994,0.03668339068533452,0.035337383024133966,0.03632877144133022,0.03824634216816833,0.0438217447266805
2,0.018545273056817885,0.01581339147337729,0.01591189681893404,0.014657595418844729,0.014197997044820226,0.012792560876303554,0.012996223936956165,0.012556148046967348,0.012004518111849537,0.010881557172502561
3,0.19496177992592398,0.1998082429273162,0.20170611258504295,0.2043788909611495,0.20529305532753242,0.20517350074864063,0.204216056476769,0.2061322861120597,0.20389293125640284,0.1963014526254958
4,0.21891827996532612,0.24085213690929627,0.25439333841183115,0.265235493446111,0.27752421605647676,0.28435866453019515,0.29442127729436873,0.2997649005752712,0.304532559300218,0.3002245921878694
5,0.10799469384538601,0.10526281226194542,0.10679949565263075,0.10321390107436497,0.10364143818748973,0.10243899235598518,0.10196026924971269,0.09803908692111692,0.09765819958496415,0.09815729333578502
6,0.07843652315532323,0.07540912553521238,0.07420736031942,0.07380020489111876,0.073281891315055,0.07213218103969109,0.07181086849450008,0.07255247051406656,0.07152144789723923,0.07758937718353516
7,0.047302266936352415,0.044163229924610574,0.04093882161338622,0.03812156873046311,0.03609916269906419,0.03651264808636949,0.03375472007880479,0.033399879166776114,0.03263810449447057,0.03177125745357115
8,0.07480495941579764,0.07517927972891329,0.07487719666920592,0.07399721558223227,0.07313084879330159,0.07276918227429142,0.0731177146609752,0.07263127479051197,0.07368199847645066,0.07730699519293914
9,0.06611022091465497,0.06630723160576847,0.06412041293440858,0.062347316714387035,0.059103595468724346,0.05801308150988994,0.05645050073879494,0.05369198035146707,0.0512818828968452,0.050309963487351915
10,0.07024744542803855,0.06486248653760278,0.062386718852609734,0.06133599516667104,0.057652273846659004,0.05624655231290551,0.0538302413396815,0.05253618429693451,0.05084189235335838,0.047702855341616536
11,0.05032966455646327,0.045975728282854816,0.04330951692978539,0.04282355722503874,0.04028238384501724,0.0391722924164018,0.03821375800361189,0.03801649636186924,0.03820037300690851,0.03864036355039534
12,0.023588746749323597,0.02325382857443064,0.022400115579605452,0.022393548556568336,0.023496962731899523,0.023706953163991698,0.02389098670169102,0.024350521421629148,0.025499750453124588,0.02729254774225748
