,0,1,idx
623094_d,11.88969029709562,4.797512779053925,623094_d
466871_b,13.069685933437496,4.952102062944651,466871_b
576011_b,13.078194600219625,4.857063848908947,576011_b
185726_b,13.137217069193058,5.208049436410974,185726_b
47849_b,13.589554618971937,5.1806543084282906,47849_b
164856_b,13.909039044321345,5.1727943984887315,164856_b
237165_b,14.075429112676861,5.382988140807736,237165_b
54359_d,14.606929038544953,5.805564393386583,54359_d
494051_b,14.660605719045652,5.681696960013298,494051_b
405315_b,14.703870566408748,5.653885424465976,405315_b
8820_d,14.725774951887551,5.42191447487524,8820_d
230031_b,14.845129578526953,5.876099704357189,230031_b
252407_b,14.968261746313384,5.63017459850763,252407_b
430202_b,15.000884669532896,5.530575611455147,430202_b
143910_d,15.022451848731732,5.624545848036161,143910_d
597859_b,15.06142555251209,4.323338362300536,597859_b
78753_d,15.070887704073582,5.3169278445887125,78753_d
297563_b,15.101630349301526,5.301044051196301,297563_b
491485_b,15.316405594716592,5.493656203866631,491485_b
139658_d,15.326955147408494,5.532055963796242,139658_d
341292_d,15.329552692304183,5.773601970444623,341292_d
172915_d,15.352678018249824,5.808632418906051,172915_d
49653_d,15.386678410394211,5.958068771796267,49653_d
458181_d,15.555968870501681,5.496025147106465,458181_d
494551_d,15.711415218882001,5.618983356479144,494551_d
598016_d,15.748125554380607,5.7289186884973295,598016_d
564022_d,15.923105388751331,5.7920005446386,564022_d
481502_b,16.111083770290975,5.723598762689473,481502_b
361447_b,16.149177562606603,5.790267682220691,361447_b
486078_b,16.15827670674921,5.8402116522968495,486078_b
236999_d,16.1982315479358,5.989651170847548,236999_d
303415_b,16.30747212091844,5.973990859190741,303415_b
349576_b,16.348258088309123,5.758246954325845,349576_b
285841_b,16.404715265986816,6.026992815992712,285841_b
277844_b,16.56576728322092,5.728898413058464,277844_b
164001_b,16.615510850399172,6.505081550410404,164001_b
429710_b,16.636911803797837,5.9126382948079055,429710_b
237322_b,16.664100860772344,5.929662371248143,237322_b
399524_d,16.69176783915892,6.048035789714717,399524_d
595160_d,16.69970147241364,5.83559414663342,595160_d
613352_b,16.742201965160522,5.864880925079336,613352_b
436447_d,16.758588930814277,4.156896608306315,436447_d
428643_b,16.801894565752303,4.670519044224805,428643_b
157962_b,16.981307251914103,4.482332945019342,157962_b
179275_b,16.98551912624774,6.052242716008961,179275_b
32751_b,17.038083717283374,5.919764259866485,32751_b
561300_d,17.120823835663458,5.825709610281537,561300_d
540407_d,17.138813947494178,4.445304414243389,540407_d
290806_b,17.246189674176076,6.110965615261247,290806_b
161695_b,17.288277810321663,6.553287967415485,161695_b
44215_b,17.33725805343663,6.135273622757062,44215_b
6896_b,17.44106983095963,6.162866745407168,6896_b
144164_d,17.579811380559565,4.899172746786918,144164_d
483588_b,17.677432472768007,4.754860953500289,483588_b
497657_d,17.686941794963037,6.633829254271107,497657_d
333229_d,17.696691255851043,6.244145146902375,333229_d
621098_d,17.7349431424924,6.029605609898781,621098_d
428754_b,17.741642804266313,4.627829142998775,428754_b
402009_d,17.791113636981226,6.041072467901964,402009_d
