,decile_2011_wealth,0,1,2,3,4,5,6,7,8,9
0,0,1286,542,289,124,85,45,24,20,12,9
1,1,537,700,493,315,177,113,63,35,18,6
2,2,296,485,535,439,319,186,119,47,25,9
3,3,129,304,436,451,412,313,216,116,60,27
4,4,83,182,289,405,432,427,301,201,106,37
5,5,42,123,196,349,402,431,392,302,162,59
6,6,32,61,125,188,295,401,472,441,309,136
7,7,18,36,52,103,197,319,452,537,506,245
8,8,11,16,30,56,106,167,300,518,680,572
9,9,7,9,13,24,32,59,119,237,587,1352
