,0,1,idx
380150_b,11.376574823585093,4.704728183344591,380150_b
44409_b,11.9903090937715,5.074635099258376,44409_b
178005_d,12.138771187486494,4.86042509104273,178005_d
141931_b,12.290700203574955,4.873359047203095,141931_b
437072_b,12.432527020629976,4.800644068235876,437072_b
174580_d,12.441678403660875,5.141791437369221,174580_d
343386_b,12.449029575153808,5.029412315347511,343386_b
377690_d,12.673100788006092,5.027425905311078,377690_d
250368_d,12.681767972874564,4.564648370604596,250368_d
35523_d,12.684861210504227,5.083184565097018,35523_d
401663_b,12.707492200508947,5.213468098921797,401663_b
193309_b,12.7520964612307,4.974775976661746,193309_b
176870_b,12.847781310270909,5.009211198013731,176870_b
150188_b,12.865526038110552,5.3019399125291,150188_b
16205_b,12.920395054415556,4.917105439564286,16205_b
140076_b,12.926762722686687,4.922468054157837,140076_b
276530_d,12.95480373939887,4.968250335958763,276530_d
455333_d,12.983555115943672,4.952743783763456,455333_d
538251_b,13.027955024948279,5.174024484874732,538251_b
187321_d,13.090345568653584,5.158549321925352,187321_d
428743_b,13.125715219153083,5.11914204288886,428743_b
18317_d,13.204800379914133,5.099902032427583,18317_d
247932_d,13.350113477091478,5.076731994655643,247932_d
135105_d,13.396413490149833,4.944447673927832,135105_d
261947_d,13.426864486491944,5.309995463015437,261947_d
173757_b,13.486697492125801,5.112690080448105,173757_b
520016_d,13.493217170007666,5.289803673407231,520016_d
19863_d,13.500380765328899,5.20870275827469,19863_d
295739_b,13.544197713257756,5.272142960614214,295739_b
591488_b,13.566511602763292,4.961206919467983,591488_b
439250_d,13.576453000401356,5.2484519354052805,439250_d
478890_d,13.582520597168083,5.217047905890089,478890_d
444350_b,13.59231461843042,5.092870390614267,444350_b
334091_b,13.595055666450603,5.464898779506413,334091_b
525787_b,13.60257827146916,5.326955431532982,525787_b
404856_d,13.618210346659282,5.422363654999823,404856_d
504717_b,13.63459597393472,4.669385255108611,504717_b
69443_d,13.64041463804953,5.207131576877483,69443_d
605139_b,13.646863085639659,5.321221200849487,605139_b
307864_d,13.651341079049423,5.239591350733632,307864_d
380852_b,13.652148808394218,5.046914268310766,380852_b
20917_d,13.675640868386688,5.195402212894046,20917_d
136612_d,13.700248957705085,5.168031873074631,136612_d
345116_d,13.704424703569025,5.329443686052317,345116_d
306178_b,13.710400670024363,5.507458270383172,306178_b
347991_b,13.719321410693983,5.5933874362039715,347991_b
