,decile_2011_depressing,0,1,2,3,4,5,6,7,8,9
0,0,1245,559,305,135,84,43,31,14,14,13
1,1,533,612,505,354,194,124,73,34,25,7
2,2,291,464,502,387,322,220,123,84,37,29
3,3,168,325,418,426,371,299,228,132,69,32
4,4,80,224,292,404,407,359,298,231,120,46
5,5,46,122,185,311,377,408,387,334,197,91
6,6,45,75,126,220,307,379,415,403,318,171
7,7,20,44,70,127,198,340,397,504,482,277
8,8,8,22,38,70,143,188,336,464,632,557
9,9,10,16,17,27,63,104,170,258,561,1206
