,decile_2011_beauty,0,1,2,3,4,5,6,7,8,9
0,0,1389,603,227,111,43,25,13,9,7,3
1,1,578,746,557,321,139,67,32,11,9,2
2,2,253,564,593,486,295,169,62,23,10,4
3,3,120,315,480,564,444,294,149,49,30,14
4,4,41,124,331,455,544,466,305,139,43,19
5,5,32,53,158,277,495,528,457,310,117,34
6,6,18,27,57,147,327,471,546,513,282,71
7,7,8,10,33,58,126,300,557,644,539,186
8,8,2,7,13,31,39,117,262,550,849,590
9,9,1,6,3,11,6,24,76,216,570,1527
