month,0,1,2,3,4,5,6,7,8,9
1,0.0005504699382250402,0.0003397985674092398,0.00019028590457161886,0.0001631033123564351,0.00014271539831188073,8.155165617821755e-05,0.00010873554157095674,2.0387914044554387e-05,5.436777078547837e-05,2.0387775489816307e-05
2,0.0011077358016133526,0.0013252144128960352,0.001332001332001332,0.0013388063555924048,0.001066967501665013,0.0010737634730131978,0.0009106601606567626,0.000733964905603958,0.0005572696505511533,0.0003533881084901493
3,0.006524088156741218,0.005640656218993381,0.00536878087898496,0.005185326138664999,0.00466203634485477,0.004233890149919128,0.003975643238688106,0.00365623258532342,0.002799940195452136,0.0022766349296961543
4,0.04405798283349304,0.039559349217783694,0.03639897517448538,0.03496527258641077,0.0334361790330692,0.0323148437606187,0.031309040001087356,0.029311024424721024,0.028305220665189677,0.024777943145290086
5,0.1288847207214554,0.12794775257227514,0.12974780321719098,0.13026517880200617,0.13307871094015467,0.1339689831867669,0.13658543215581803,0.13971837494733122,0.14673861335000613,0.16188573331430475
6,0.13856891407911817,0.13644951272885433,0.13810679116801566,0.141696002609653,0.14351052695961833,0.14692210457640711,0.14895410000951437,0.15392195506503745,0.16106452095197968,0.16681957498284028
7,0.1781483822300149,0.19252307232272708,0.2022603247093043,0.20880621967297786,0.21564976282059994,0.2247427724844712,0.22913976594674676,0.23483478993652562,0.2421336631644761,0.24924055536300435
8,0.17089033415564028,0.17608361763146807,0.1796774653917511,0.18057575469261822,0.18189417313416606,0.1816563141369796,0.1821931958734862,0.18405529202288884,0.1811602082285621,0.17599407395325764
9,0.1343962160288691,0.13608253027605235,0.13715536164515757,0.13620485776031968,0.13711551792097645,0.13495439903225367,0.13430198578282793,0.1336971443328395,0.1297215010941514,0.1277158215933726
10,0.13404282792037894,0.12616041210770254,0.11820832228995494,0.11341796582985605,0.1067443219659386,0.10175607899637096,0.0974882089897109,0.0903388471314205,0.0828768705911136,0.07385131874927793
11,0.0485976608425588,0.04507088198116157,0.0409250613332246,0.03722833104535631,0.03417014393867315,0.03079254617862531,0.02776833892868308,0.02415967814279695,0.0202044228181534,0.013931646584707809
12,0.014230667291891782,0.012817201962676526,0.010628826955357568,0.010153181194188085,0.008528944041971919,0.007502752368396015,0.007264893371209547,0.005552308591466978,0.004383401519579193,0.003132921500268439
