,decile_2011_boring,0,1,2,3,4,5,6,7,8,9
0,0,368.0,102.0,12.0,2.0,,,,,,
1,1,96.0,237.0,115.0,27.0,7.0,1.0,,,,
2,2,15.0,110.0,175.0,121.0,45.0,16.0,1.0,,,
3,3,3.0,26.0,121.0,156.0,106.0,55.0,13.0,3.0,1.0,
4,4,1.0,6.0,41.0,115.0,150.0,96.0,52.0,18.0,2.0,1.0
5,5,,2.0,14.0,38.0,100.0,146.0,110.0,58.0,14.0,
6,6,,,4.0,16.0,61.0,103.0,136.0,97.0,59.0,8.0
7,7,,,1.0,4.0,12.0,55.0,108.0,150.0,119.0,33.0
8,8,,,,3.0,2.0,10.0,56.0,123.0,170.0,118.0
9,9,,,,1.0,,1.0,7.0,34.0,118.0,323.0
