month,0,1,2,3,4,5,6,7,8,9
1,0.0007679395434497475,0.0002786329316941562,0.00013592035067450475,0.00013591942696369592,6.795878978987142e-05,6.116415780352713e-05,8.155165617821755e-05,6.795832795329904e-05,4.0776659440136466e-05,3.397962581636051e-05
2,0.0013795728081442368,0.0010329806248173595,0.001148526963199565,0.0011892949859323393,0.0008970560252263027,0.0007883380339121275,0.0008766803039158387,0.0010057832537088258,0.0008563098482428658,0.0006252251150210334
3,0.007550272856395306,0.005932842667536545,0.0050970131502939275,0.004607668574069292,0.004383341941446707,0.003894118046824561,0.0038125399263316704,0.003309570571325663,0.0031873755462373337,0.0025484719362270382
4,0.05307617552515512,0.03936199854567202,0.03530531108770261,0.03313715629374907,0.030357191399135564,0.029508308131434978,0.02964402702078208,0.02829784775975372,0.02748346846265198,0.02826425275404867
5,0.12391010350194023,0.13764466825691316,0.14082027931632063,0.14082611827708535,0.14059994019626498,0.14066397091304494,0.13903198184116455,0.13654187252376843,0.13570472261677416,0.1330778065471943
6,0.12594888105092186,0.12821872005545476,0.12950491012266813,0.1335068571350903,0.13828934134340937,0.14297461687451155,0.1477783969662784,0.1581458249801222,0.16948818496292722,0.20215838583185522
7,0.16709820791453445,0.1865753294324723,0.19573889700635427,0.20375001698992837,0.21296925544349907,0.22023174419790004,0.2320756255691626,0.2396414518617184,0.2525434441325785,0.2668555933862056
8,0.1852773077262873,0.17789693299897383,0.17757993815624043,0.17843502371794,0.1792752874656808,0.17991776818784191,0.18069128620553734,0.18175454811109829,0.17975031092202823,0.17360190829578584
9,0.14456971599828744,0.13925530252060864,0.13919603112576032,0.13806695390972232,0.13887378693560226,0.13764653912807095,0.13411849455642694,0.1319886645508974,0.12693774083714482,0.110692029059376
10,0.12734884163455593,0.12527608445975794,0.12088076387237079,0.1175091405814633,0.11137766058662027,0.10571205273709607,0.09804547864026206,0.09075834698163086,0.08090089232923074,0.06707578136149565
11,0.05007237660298885,0.04632102591286265,0.042787726392334094,0.03896130373914344,0.03439394351265393,0.030656835094634544,0.026647003656232585,0.022738856533173857,0.018335904528248032,0.01193364458670581
12,0.013000604837339532,0.012205481593236695,0.011804682456080736,0.009874546368912508,0.00851523636067089,0.007944544496924801,0.007196933657727699,0.0057492745448490985,0.004770869154495967,0.003132921500268439
