month,year,0,1,2,3,4,5,6,7,8,9
1,2011,0.00024714200311933286,0.00014361002197567314,0.00011689187835229208,9.017373472891103e-05,6.011582315260736e-05,5.34362872467621e-05,5.009635198364855e-05,2.0038674642059174e-05,2.671814362338105e-05,1.3359071811690524e-05
1,2021,0.03145382953213347,0.026751541302910273,0.024226676730500763,0.022146001295829967,0.020315808457628363,0.018999939884176847,0.017433530490309695,0.01552997284759586,0.01335239227578468,0.01079079025589302
2,2011,0.00044418765425501715,0.0006378956790082225,0.0005577412481380794,0.0006345559110552999,0.0005744400879026926,0.0005477219442793115,0.000484264735841936,0.00041079283016221305,0.00030725865166888203,0.000217084916939971
2,2021,0.009491588822501945,0.008980636025408955,0.008145694037178297,0.0077883388662155755,0.007410945087535318,0.007233937386030419,0.006722930436205635,0.006115135544935058,0.005350308260582055,0.004141312261624062
3,2011,0.00275863911589958,0.0026016792353267294,0.002451389677445211,0.0024580692133510562,0.0023044398875166155,0.0021140731142000255,0.002210919000878356,0.0018836354163535623,0.0017233202637080775,0.001275791358016445
3,2021,0.14145873897462788,0.13264556378622813,0.12299697417023465,0.1168351022970924,0.10792794116664774,0.10014628183633802,0.09309238101281464,0.08362472906041994,0.0739057250302249,0.05561715572002057
4,2011,0.018762753696275836,0.017700770150489945,0.01701277795218788,0.016695499996660233,0.01636152320136797,0.016241291555062754,0.016014133850772987,0.01582387340901273,0.015506542605419775,0.014234091015356254
4,2021,0.15241648103185126,0.15195276232207386,0.15017600577111903,0.1478715658836024,0.14344637334597993,0.13975926952595333,0.1354672152773835,0.13134349294137684,0.12515112449986976,0.11600016030886175
5,2011,0.05477535125892133,0.05619827534382911,0.058506054999298646,0.06146842917354102,0.0640033130498093,0.06622425873850285,0.06866539978558761,0.0731111044315529,0.07833425733580031,0.09139942956763364
5,2021,0.04567785373869075,0.04640273593790704,0.04785219522947545,0.04934173173647895,0.049922851360287485,0.05198014841928783,0.05384689886882437,0.05476235801764071,0.057550881364762774,0.06402669142547976
6,2011,0.05867284744324918,0.06039970342860578,0.06278095797903961,0.0657900889046229,0.068505320250349,0.07292049348411273,0.07525473994983685,0.08020813503394886,0.08613595527382757,0.09469578053716828
6,2021,0.03470341289747281,0.03309376064551035,0.03423596128540989,0.03550841287547341,0.03624316182511639,0.036694030498760945,0.037572263987736415,0.04003393215572722,0.04182057430649719,0.046810187628163594
7,2011,0.07437972366852245,0.08447609060122503,0.09133597397652811,0.09680651388341538,0.1035528451483191,0.10932730393892233,0.11621685708846682,0.12236950648084136,0.13027098877170015,0.14135233883949744
7,2021,0.01657187323619094,0.01677231465957745,0.017831021100653925,0.017907835763571148,0.018759476591566418,0.019397372270574642,0.02001850225266596,0.02012884867794844,0.020937005296871973,0.022236175030558875
8,2011,0.07200515658449752,0.07739578254102905,0.0815938708578528,0.08443935315374287,0.0876889473719366,0.09044425593309777,0.09261813554736945,0.09646283994776586,0.09880703488721604,0.10026651348264323
8,2021,0.03676738259919913,0.037051385669723665,0.036987930078618135,0.036239822057163466,0.03785626974637802,0.0373953817688747,0.03807990702117072,0.038260509449904986,0.038924995491313265,0.0395361730266981
9,2011,0.05694285342141385,0.05977516682140925,0.06281435565856884,0.06378956790082226,0.06646138226316035,0.06689221232908737,0.06910624768304371,0.06995835295453559,0.07072292617108963,0.07272010740693736
9,2021,0.027917027082087882,0.029369919378001617,0.02959034406289451,0.03005123204039783,0.029764011996446488,0.0300311934326803,0.030815935983541678,0.030629114190387448,0.03071918563098236,0.030014494592915685
10,2011,0.05686603901503892,0.056445418172345385,0.05495922143329481,0.053923893367888796,0.052451055700649916,0.05163949208808972,0.05051048182671338,0.04852031086663928,0.04585501399362772,0.04232153949943558
10,2021,0.03259936611415957,0.0323189344804323,0.03210518933144525,0.03050544048199531,0.03054217792947746,0.029677178029670497,0.028090694435631197,0.027483042271584157,0.026678066407945976,0.023769128520950363
11,2011,0.020526145286100268,0.020345866369204667,0.019136870370246674,0.01814161952027573,0.016865828162259285,0.016187855267815993,0.014621455265627557,0.013148710344297827,0.011395288255372017,0.00828930405915397
11,2021,0.02729917207428955,0.025849803955621163,0.024310170929323832,0.02328152239982366,0.02236976574867578,0.02085685086600183,0.01939730748806872,0.017927934246428943,0.01657860811830794,0.01316536527042101
12,2011,0.0060616585900214745,0.005747740646979848,0.00516662102317131,0.004719092117479677,0.004385115322187414,0.004071177134612687,0.003730508344382362,0.00315943103523133,0.0024948066608332055,0.0018402121420603697
12,2021,0.021200776159480066,0.016942642825176508,0.015109110219021983,0.013566137424771727,0.012226890475649751,0.011164844266620354,0.009979193315142791,0.009084199171066825,0.00745102230297039,0.005266814061758989
