month,0,1,2,3,4,5,6,7,8,9
1,6.795878978987142e-05,6.116415780352713e-05,6.116374213366317e-05,0.00014271442842871414,0.0001766952550528047,0.00021067511179372866,0.00021747108314191347,0.00021067511179372866,0.00024465496853465267,0.0002786329316941562
2,0.0007271590507516243,0.0008766862618505556,0.0010737634730131978,0.0008834702712253732,0.0012504587280660025,0.001066967501665013,0.0010873554157095674,0.0010125997308795345,0.0010601715303168282,0.0007611436182864754
3,0.00313969608829206,0.0037649937136837812,0.0039960311527326604,0.004668800587167934,0.004600872602721107,0.00517173419596863,0.004696016201595694,0.005029018797656749,0.004825139657211206,0.0044309432064534105
4,0.025416587381411913,0.02816269665975738,0.029338208310113766,0.03103699022066369,0.03265464232802794,0.034978864529107145,0.03598466828863849,0.037561333641417366,0.038696260856564225,0.04060565285055081
5,0.13417103868214314,0.1340310578001291,0.13434276161091704,0.13542240072852318,0.134268005926087,0.13602816250526686,0.13706115015019096,0.13795142239680316,0.14083291424843353,0.14471243042671614
6,0.17107945741702232,0.1579938156240443,0.15172006034822558,0.14614637063616656,0.14570562570508203,0.14261345874165796,0.14136300001359195,0.13926304486700283,0.13992225408777675,0.14020673204346673
7,0.251066952999701,0.24051106051853613,0.23408043711687712,0.22830910586012626,0.22281271662158672,0.21387601429872372,0.20913922226903892,0.20397428404441847,0.1942152691884251,0.17949397541234277
8,0.18770897327860386,0.18836521798226238,0.18847946937055712,0.18508702182171569,0.1815679665094532,0.18243105487067265,0.17657972353988555,0.1738817229146562,0.16858086526307206,0.16149836557999822
9,0.12878870253078534,0.13239321757450134,0.13263697280252265,0.13556511515695188,0.13697280252266456,0.135701955880554,0.1364631046715507,0.13643592078615796,0.13470974406371902,0.13167784596356025
10,0.07839725990159567,0.08775017839546026,0.09341742215214821,0.09850693524162912,0.10200073396490561,0.10510649287102605,0.11150829788101613,0.11543636932026695,0.12123333288026858,0.13152833560996827
11,0.015365482371489929,0.02016378402256278,0.023989778859092332,0.026259454830883402,0.02917510499775733,0.033232299892623655,0.036406018512225954,0.03909042719475895,0.04454079621600315,0.054625646462381154
12,0.004070731508413298,0.005926127289408407,0.006863931061666644,0.007971620216518175,0.00881437483859568,0.009582319600940562,0.00949397197341416,0.010153181194188085,0.011138597039674882,0.010180295894581609
