month,0,1,2,3,4,5,6,7,8,9
1,0.05306154613990386,0.048326722530142634,0.04558827392366492,0.04392710556558857,0.04093882161338622,0.038804539126323256,0.03789853882777869,0.03343928130499882,0.030024429325698074,0.023220993459245054
2,0.01859780924111482,0.015701752081746304,0.015025348708923272,0.014178295846330652,0.013488665318237936,0.012346003309779611,0.012490559842390413,0.01195854895058972,0.012405106517113662,0.014165068691060968
3,0.22040899419475163,0.21534581943313458,0.21107725445900863,0.2065013955015597,0.20159447319341195,0.19686621660668785,0.1912461008044656,0.1899380073025296,0.1879810344374688,0.2009049357745147
4,0.25551629935117814,0.26945152223594,0.27268249757020147,0.27433918896732884,0.27716777430455225,0.2797026451968794,0.27971104908881955,0.28130499881793586,0.28076650292889227,0.26958286269668236
5,0.0805708056423862,0.08687514775801833,0.09172161075941054,0.09543917254966344,0.09875489243216265,0.10421865559904384,0.1082843539648662,0.11241430034936563,0.11868580734981218,0.12820142373059445
6,0.07150831385116499,0.06955134098610417,0.06908508235046888,0.0707076013790839,0.07099608605426988,0.07251306837584386,0.07464784107699884,0.07661089075100476,0.080728414195277,0.08439281304998818
7,0.03258556831017363,0.03379390054900312,0.03535028500879981,0.03636841241175505,0.038390816674984896,0.038095300638314636,0.03969134789032999,0.039960335180855816,0.04031495442486012,0.0401507788489322
8,0.06857285455357377,0.0703787858887809,0.07091071475478736,0.07232966672139222,0.0746736189550553,0.07442407207964485,0.07619110162534888,0.07730699519293914,0.07781922298983425,0.07888964774488429
9,0.05842023693819118,0.05813128792455804,0.05845963907641388,0.05837465112461008,0.05976647666080013,0.05941185741679582,0.058919717616154985,0.05843337098426541,0.05909007328797709,0.05872888702093567
10,0.05705429614647088,0.05705429614647088,0.05842023693819118,0.05821047447053029,0.058223226247077674,0.059398723370721586,0.058762108028238384,0.05887992855078936,0.05809845280937245,0.053540938821613385
11,0.05004728256586724,0.04709212219916468,0.04512858231106675,0.04426859300607454,0.04276445401770469,0.04170059628569177,0.0404662616975866,0.039073787070845044,0.034805222096719116,0.029617273897396833
12,0.033655993065223676,0.02829730226693635,0.02655047413906328,0.025355442456082743,0.023240694528356406,0.022518321994273557,0.021691019537021836,0.02067955554388085,0.019280779636974967,0.018604376264151935
