,decile_2011_walk,0,1,2,3,4,5,6,7,8,9
0,0,1198,531,276,155,106,58,42,26,16,19
1,1,517,631,463,295,224,149,73,56,33,21
2,2,308,453,505,366,283,235,152,83,50,23
3,3,179,316,374,441,364,291,212,152,95,42
4,4,107,213,315,373,359,366,323,201,124,79
5,5,52,136,198,311,371,387,340,330,231,115
6,6,37,87,155,241,306,368,379,384,311,198
7,7,27,42,103,141,234,295,419,416,452,327
8,8,7,22,43,92,151,203,322,465,569,585
9,9,15,21,24,46,62,113,194,354,580,1024
