,decile_2011_safety,0,1,2,3,4,5,6,7,8,9
0,0,1442,574,207,96,54,23,15,5,3,5
1,1,518,763,554,296,171,84,34,19,10,5
2,2,226,529,601,466,314,189,83,36,9,5
3,3,107,304,468,545,421,307,188,85,25,9
4,4,49,141,322,444,516,442,301,167,64,16
5,5,51,78,149,302,443,512,470,312,125,22
6,6,16,45,93,178,286,418,508,532,323,64
7,7,12,13,39,84,171,307,517,584,559,177
8,8,5,6,13,32,68,154,272,527,828,555
9,9,4,2,11,11,13,24,74,197,511,1604
