,decile_2011_lively,0,1,2,3,4,5,6,7,8,9
0,0,1493,516,218,100,42,29,18,5,11,4
1,1,528,740,529,342,165,93,39,15,6,3
2,2,213,524,590,477,313,191,97,39,9,6
3,3,92,331,455,519,440,302,182,86,38,12
4,4,59,177,313,446,472,404,331,177,61,14
5,5,24,104,185,295,464,485,463,290,121,23
6,6,15,38,91,180,312,477,532,492,260,68
7,7,10,18,45,71,172,317,463,633,557,182
8,8,9,9,17,24,66,130,267,552,812,568
9,9,5,2,7,5,12,28,66,173,582,1571
