month,0,1,2,3,4,5,6,7,8,9
1,0.04699361685360792,0.045739315453518614,0.04415666290157346,0.04194385158430471,0.040636738553678844,0.03744516535764007,0.03713675915284847,0.034805222096719116,0.034969397672647035,0.03140350416349261
2,0.01741574509443379,0.015944731934119626,0.015215792376999658,0.013869643736660647,0.013869552654390712,0.013409861041792535,0.012654736496470202,0.012733457668969503,0.012628385300375633,0.0126152512543014
3,0.237969213796002,0.22094749008379522,0.2133691454989624,0.20799211952060417,0.20061598676088155,0.19823215739840816,0.19225086192743393,0.1896621923349707,0.18546586461425307,0.17535921616013028
4,0.2697207701804618,0.27132969082455544,0.2744884289054086,0.2732030865210967,0.27532900785415954,0.27266936352412724,0.2763618453455919,0.2737200872100659,0.2739762011085135,0.27942683022932047
5,0.08219942735559116,0.08927867818960308,0.09277890146838635,0.09706123789197175,0.09897817121542463,0.10324016916651343,0.10650467903464128,0.11149491712416927,0.1157634820982952,0.12786650555570148
6,0.06248522419816649,0.06577530273976201,0.06624812839843443,0.06837629289115088,0.07145577766686806,0.07531718721269275,0.07626333935314399,0.07969082455541254,0.08430744175050565,0.09082192860332554
7,0.032657805563581915,0.0340171793322651,0.03592161601302898,0.03667049745526186,0.03800992933883212,0.037924558039349604,0.03909374486947956,0.040420026793453995,0.03997346922693005,0.04001287136515275
8,0.06378549475951562,0.06766003835141454,0.0697943208384775,0.07349860449844033,0.07519241377498752,0.07760907825264651,0.0775833196519455,0.07846935827050881,0.0796776905093383,0.0782263784181355
9,0.0554191074102288,0.05723160576847303,0.05821665922404056,0.05974060088655393,0.05945125955501852,0.06115211852163177,0.06167788540469545,0.06066615881688513,0.05899813496545746,0.05518269458089259
10,0.0557343245160104,0.05876828915915837,0.0587420210670099,0.05895255294697094,0.059497228716278334,0.05953663085450104,0.05870300443276966,0.05800651448685282,0.05618744910557146,0.05351467072946492
11,0.043191310515117286,0.043362053114082325,0.04340145525230502,0.043395173206370055,0.042488639050145785,0.04107672909716567,0.04086685273354129,0.04025585121752607,0.039073787070845044,0.037852320785941314
12,0.032427959757282826,0.02994562504925267,0.027666868055373137,0.02529633886061402,0.024475294859334366,0.02238698153353122,0.020902971597438844,0.0200753894244661,0.018978696577267595,0.017717828154141163
