,beauty_x,boring_x,lively_x,depressing_x,walk_x,safety_x,wealth_x,idx_x,decile_2011_beauty,oa,decile_2011_boring,decile_2011_lively,decile_2011_depressing,decile_2011_walk,decile_2011_safety,decile_2011_wealth,beauty_y,boring_y,lively_y,depressing_y,walk_y,safety_y,wealth_y,idx_y,decile_2021_beauty,decile_2021_boring,decile_2021_lively,decile_2021_depressing,decile_2021_walk,decile_2021_safety,decile_2021_wealth,count,decile_change_beauty,decile_change_boring,decile_change_lively,decile_change_depressing,decile_change_walk,decile_change_safety,decile_change_wealth
0,5.273980640293507,4.9433278381154775,5.699371545502309,5.061379297395771,5.457260843073384,5.7024663927849755,5.679752750343152,1449.258426966292,1,E01000001,1,6,8,4,0,7,5.272340673492068,4.888857982272193,5.6483453818729945,5.082797950790042,5.3471407197770615,5.699883186249506,5.729568037532625,1905.847619047619,1,0,5,7,4,0,7,1.0,0,-1,-1,-1,0,0,0
1,5.1515862648947195,4.9885364551293225,5.703918645256444,5.166894693123667,5.346879847217024,5.638831548523485,5.401719369386372,1557.0263157894738,0,E01000002,1,6,9,2,0,2,5.13834817137037,4.958838001659938,5.709755575316293,5.202613090787615,5.328248241969518,5.6844316032954625,5.588737503460475,2047.1314285714286,0,1,6,9,3,0,5,1.0,0,0,0,0,1,0,3
2,4.969232470900924,5.253559951429014,5.46900357581951,5.0616832530056985,5.348076979319255,5.515413257810804,5.235138486932825,2021.962962962963,0,E01000003,4,2,8,2,0,1,5.106616650308881,5.138449553080967,5.568257577078683,5.102403126444135,5.2324245657239645,5.6199522290910995,5.411645919936044,2894.7428571428572,0,3,4,7,1,0,2,1.0,0,-1,2,-1,-1,0,1
3,5.020063762153898,4.952113210445359,5.729286703325453,5.156077500610125,5.348819101850192,5.687709487619854,5.521016771594684,1418.2619047619048,0,E01000005,1,6,9,2,0,4,5.068620206759526,4.894755321282607,5.7284432252248125,5.063381887093568,5.355895512531966,5.669614949593178,5.601113350574787,2001.4102564102564,0,0,7,7,4,0,5,1.0,0,-1,1,-2,2,0,1
4,5.701343005353754,5.220902106978676,5.731262998147444,4.783091382546858,5.50310267222048,6.308233222576103,5.715236112324878,167298.0202020202,5,E01000006,4,6,2,5,9,7,5.585057634573716,5.183533144521189,5.62701597056546,5.047122714283702,5.29197483927339,6.130563659982367,5.488614953481234,210396.0879120879,5,4,5,6,2,8,3,1.0,0,0,-1,4,-3,-1,-4
5,5.028287009227495,5.531182547288438,5.194208156843127,5.343143126715912,5.1631810050800535,5.534645427224095,5.060681821378462,170538.42331288345,0,E01000007,9,0,9,0,0,0,5.017567140518586,5.3514717713945865,5.262024596936441,5.355992244847248,5.114102265738339,5.59986849396215,5.2634067314897655,215012.80924855493,0,7,0,9,0,0,0,1.0,0,-2,0,0,0,0,0
6,4.945223302726286,5.656828577259937,5.105393241686993,5.456435532454985,5.019316584230905,5.537158347037901,4.895976190107414,178891.6987951807,0,E01000008,9,0,9,0,0,0,5.005846344598449,5.434072843872674,5.187518914147179,5.276160925921827,4.928038004601356,5.53703789899845,5.117489130190103,226449.55445544556,0,8,0,9,0,0,0,1.0,0,-1,0,0,0,0,0
7,5.457780007694079,5.26982201182324,5.6083019318787946,5.045030160572217,5.3549346986024275,6.019244440742161,5.479045802613963,165614.81739130436,3,E01000009,5,5,7,2,5,4,5.379599380688589,5.294138178473613,5.595412549425344,5.188959134406731,5.227480561029716,5.927758195361153,5.425083525845261,208367.09016393442,2,6,4,8,1,4,2,1.0,-1,1,-1,1,-1,-1,-2
8,5.182809287050496,5.355321534301924,5.460816455923992,5.12511163742646,5.279646595146345,5.720104506741399,5.271021475480951,171005.61739130435,0,E01000010,6,2,8,1,1,1,5.222847361209964,5.193009349925459,5.502288276498968,5.163448209112341,5.205349313818719,5.7057300875009584,5.2930593160558335,215326.95867768594,1,4,3,8,1,0,0,1.0,1,-2,1,0,0,-1,-1
9,5.785200818725254,5.072334683459738,5.866321532622628,4.8508526190467505,5.498743008876192,6.291539067807405,5.652391608210578,162326.115942029,6,E01000011,2,8,4,5,9,7,5.617337965965271,5.047610678672791,5.824238735834758,4.922755338350932,5.364420375823975,6.147141459782918,5.56436821937561,204428.70666666667,5,2,8,4,4,8,4,1.0,-1,0,0,0,-1,-1,-3
10,5.211849982088262,5.534209129485217,5.401034826582128,5.100900606675581,5.198299399831078,5.818455735390836,5.239045838063413,172757.52272727274,0,E01000012,9,1,8,0,2,1,5.145035835412832,5.333664849564269,5.398082892973345,5.227682476515298,5.1704962515569,5.7058628142535035,5.342606583794395,218567.95604395604,0,7,1,9,0,0,1,1.0,0,-2,0,1,0,-2,0
11,5.240453989451169,5.420440332580159,5.541387514303659,5.113765537283803,5.25324466574283,5.896530371585875,5.402567459426764,165531.4503816794,1,E01000013,7,3,8,0,3,2,5.215524351596832,5.397134666259472,5.575696958028353,5.2422503508054294,5.1730173367720385,5.834087751461909,5.228188956700839,208270.88461538462,1,8,4,9,0,2,0,1.0,0,1,1,1,0,-1,-2
12,5.2621366946525825,5.4901006626927,5.292388083888035,5.101205029518776,5.26291035515031,5.878427461861006,5.2773630548925965,167974.71895424835,1,E01000014,8,0,8,1,2,1,5.339615184527177,5.45911554648326,5.342401414345472,5.193572468482531,5.215978395480376,5.838097972747607,5.266209608469254,211415.7371794872,2,8,1,8,1,2,0,1.0,1,0,1,0,0,0,-1
13,5.2201698534190655,5.5266543459147215,5.410282572731376,5.157890277914703,5.188754517585039,5.930690441280603,5.380949632264674,164527.2578125,0,E01000015,8,1,9,0,3,2,5.462692828935998,5.411512230044213,5.523155727119089,5.087327517081644,5.399677606386559,6.007898571335267,5.283832903220275,206965.13084112148,4,8,3,7,5,5,0,1.0,4,0,2,-2,5,2,-2
14,5.2597680445444785,5.44261539184441,5.380027153734433,5.089408514863353,5.230078869957035,5.864855614759154,5.34697079860558,164948.6779661017,1,E01000016,7,1,8,0,2,2,5.104446474521879,5.451661956688715,5.4161326714924405,5.250505236406175,5.111148856935047,5.822747270266215,5.203655152093797,207450.15873015873,0,8,1,9,0,2,0,1.0,-1,1,0,1,0,0,-2
15,5.263518954953577,5.460523250775459,5.434539839752719,5.16311672100654,5.253871825006273,5.877640239193908,5.354550652014903,165667.81196581197,1,E01000017,8,2,9,0,2,2,5.280175716423791,5.336339157474928,5.58252305826865,5.15413550700038,5.317313688845674,5.875538077236207,5.309492222533739,208400.04958677685,1,7,4,8,3,3,1,1.0,0,-1,2,-1,3,1,-1
16,5.196778798962499,5.533311695665927,5.4388120002574745,5.112603286365131,5.269190966545999,5.938873980496381,5.422162032342172,164997.7207207207,0,E01000018,9,2,8,1,4,3,5.357530961621483,5.415274947319391,5.574985599742745,5.0747769216321545,5.437182574901941,6.0266986882911535,5.382173695654239,207555.24528301886,2,8,4,7,6,6,1,1.0,2,-1,2,-1,5,2,-2
17,5.383960742576449,5.5551029443740845,5.513738655576519,5.017347615139157,5.327074385156818,5.950817306836446,5.376510278851378,156825.41176470587,2,E01000019,9,3,7,1,4,2,5.19670581540396,5.43251764312271,5.508850082870602,5.195706445117329,5.235465625459834,5.8325192152067675,5.285981507264366,197882.03100775194,1,8,3,9,1,2,0,1.0,-1,-1,0,2,0,-2,-2
18,5.26502410536227,5.5761554790579755,5.43064054198887,5.063858584735705,5.330965482670328,5.986579411962758,5.330706271917924,156881.05217391305,1,E01000020,9,2,8,1,4,1,5.2334207969327124,5.41630069190456,5.515346717449926,5.137760554590533,5.2594826221466064,5.913921796506451,5.321986572396371,197983.13709677418,1,8,3,8,2,3,1,1.0,0,-1,1,0,1,-1,0
19,5.267507366907029,5.385408604712714,5.499518010729835,5.128308021454584,5.2563921769460045,5.782135039284116,5.212916779518127,157458.98095238095,1,E01000021,7,3,8,0,1,0,5.116995585270417,5.3549732978527365,5.50399941053146,5.217754054273295,5.197944622773391,5.7429124636527815,5.284432501874418,198656.57264957266,0,7,3,9,1,1,0,1.0,-1,0,0,1,1,0,0
20,5.1908841469349,5.5813239476619625,5.41697639074081,5.185042928426694,5.291883788557134,6.020510443255433,5.292456886707208,157181.84615384616,0,E01000022,9,2,9,1,5,1,5.109539549827575,5.492277530670166,5.376699699401856,5.277044632911682,5.18059748840332,5.87222413444519,5.21872289943695,198341.688,0,9,1,9,1,3,0,1.0,0,0,-1,0,0,-2,-1
21,5.389466494595239,5.4849605669669055,5.551966030663307,4.98428011706116,5.342115407689996,5.894448687177186,5.231634610289827,157758.6880733945,2,E01000023,8,4,6,2,3,1,5.288479441290448,5.341119564262924,5.437971816700735,5.097190890342566,5.239047301043371,5.8266138817853985,5.512446890211409,199055.96815286623,1,7,2,7,1,2,3,1.0,-1,-1,-2,1,-1,-1,2
22,5.2030547333287664,5.504453694427406,5.4451688423261535,5.1717865231272935,5.215150332712865,5.986043018299145,5.317658789865264,157678.97802197802,0,E01000024,8,2,9,0,4,1,5.047866516787073,5.467744397080463,5.431222166704095,5.31545631263567,5.028156903774842,5.802547172359798,5.312488124422405,198901.14130434784,0,9,2,9,0,1,1,1.0,0,1,0,0,0,-3,0
23,5.164669660811729,5.4529750220319055,5.477418685213048,5.141103760993227,5.292044888151453,5.952104969227568,5.337332919557044,157845.06382978722,0,E01000025,8,2,9,1,4,2,5.02999501272079,5.541166305541992,5.402752333824788,5.253184788817659,5.133240763200533,5.812105229141515,5.342630077939515,199122.32110091744,0,9,1,9,0,2,1,1.0,0,1,-1,0,-1,-2,-1
24,5.537582929371394,5.669656742734519,5.104004046721765,5.040030190470623,5.303137188766435,5.780858463014078,5.151778755480783,270586.16374269006,4,E01000027,9,0,7,1,1,0,5.460958726944462,5.656077483532366,5.074837883196968,5.147675078635341,5.167639312156834,5.745198092502583,5.246649126153538,338397.66275659826,4,9,0,8,0,1,0,1.0,0,0,0,1,-1,0,0
25,5.186944878927552,5.542668569206011,5.26758591609426,5.130352230355291,5.274021439032979,5.798553410142955,5.164278671292975,151933.33663366336,0,E01000028,9,0,8,1,1,0,5.127186750110827,5.571613441015545,5.143800342710395,5.264261248237208,5.262218037404512,5.7131444730256735,5.229420863954645,191805.38947368422,0,9,0,9,2,0,0,1.0,0,0,0,1,1,-1,0
26,5.323466909058551,5.509054614508406,5.228569737774261,5.130651943227078,5.339275538921356,5.8636439480680105,5.312556873610679,151068.3510638298,1,E01000029,8,0,8,2,2,1,5.223829125069283,5.393191892391926,5.319424518379005,5.185977500838202,5.212102808179082,5.887971332910898,5.3767107583381035,190767.27027027027,1,8,0,8,1,3,1,1.0,0,0,0,0,-1,1,0
27,5.39611314444264,5.699834822004686,5.266767527490454,5.113310864153465,5.351320585327833,5.846007023691596,5.1904202544635725,150983.932735426,2,E01000030,9,0,8,2,2,0,5.291382665481042,5.625950721425748,5.183232588505526,5.149292109209463,5.210851164585954,5.853908700680514,5.312269334946204,190725.49541284403,1,9,0,8,1,2,1,1.0,-1,0,0,0,-1,0,1
28,5.390763973268334,5.480705026843122,5.31172726062185,5.093568311797248,5.271069789278334,5.827243482433079,5.232693030638395,150410.68599033816,2,E01000031,8,1,8,1,2,1,5.333950252576907,5.446116428770777,5.407927295579339,5.154567779483883,5.101864386813432,5.832394883379958,5.398907731205637,190077.61751152074,2,8,1,8,0,2,2,1.0,0,0,0,0,-1,0,1
29,5.319506735775057,5.390438561332958,5.454111466860638,5.088532345254994,5.266652121890191,5.952800138036632,5.327171866454226,150849.56983240222,1,E01000032,7,2,8,1,4,1,5.245291077572366,5.365886814105584,5.457112980925518,5.16041404342059,5.088054421525564,5.897249061868798,5.4359381850461785,190574.6894409938,1,7,2,8,0,3,2,1.0,0,0,0,0,-1,-1,1
30,5.112039939321653,5.541783098018531,5.286876892802691,5.205035770782317,5.143020272254944,5.90042111849544,5.2921347594020345,164090.88888888888,0,E01000033,9,0,9,0,3,1,5.17202603560622,5.4494291236323695,5.328873449756253,5.12498576025809,5.203691641489665,5.889344130792925,5.260997527389116,206483.44086021505,0,8,1,8,1,3,0,1.0,0,-1,1,-1,1,0,-1
31,5.335530364797229,5.491847090777897,5.305630891096024,5.02798986080147,5.276359179190227,5.8818804408822745,5.4051882816212515,170047.79761904763,1,E01000034,8,0,7,1,3,2,5.423918669543615,5.389913074127057,5.40977394944284,4.987385556465242,5.324310630559921,5.970947931452495,5.423547348598155,214876.05487804877,3,8,1,5,3,5,2,1.0,2,0,1,-2,2,2,0
32,4.929016114374913,5.56092441519466,5.192279292355984,5.333593678036961,5.045778967918606,5.554122951599436,5.067516891234511,164301.78440366974,0,E01000035,9,0,9,0,0,0,4.982136005010361,5.412302511777633,5.280333908398946,5.282634111551138,5.056615661963439,5.577163114914527,5.093075312712254,206764.54358974358,0,8,0,9,0,0,0,1.0,0,-1,0,0,0,0,0
33,5.219748462716194,5.315948647179016,5.282827037654511,5.2147209366706955,5.2019837702790355,5.888516671037021,5.246480552301015,164861.6301369863,0,E01000036,5,0,9,0,3,1,5.370156406417606,5.23707904684262,5.442659733802315,5.113454073432862,5.2633138350614415,5.895692298731466,5.3209964525042555,207713.72440944883,2,5,2,7,2,3,1,1.0,2,0,2,-2,2,0,0
34,5.2602540182587285,5.394943331712044,5.544903918400707,5.117520733967724,5.363712709222064,5.9611546673230675,5.595994021268499,172586.6577181208,1,E01000037,7,4,8,2,4,6,5.23180271503402,5.350119334895436,5.49392045416483,5.178271372143815,5.297788398294914,5.919374114129601,5.461070927904873,217994.9024390244,1,7,3,8,3,4,3,1.0,0,0,-1,0,1,0,-3
35,5.184361788056652,5.4238417170802995,5.375127703506754,5.193122683104521,5.272683311693417,5.844901434383037,5.391083220517413,173470.68322981367,0,E01000038,7,1,9,1,2,2,5.266510674312933,5.218310247606306,5.547133111242038,5.123203449284852,5.287325036169878,5.9584833597069355,5.415311793782818,219244.97014925373,1,5,3,8,2,4,2,1.0,1,-2,2,-1,1,2,0
36,5.3313368270861226,5.584077152629827,5.263051077023449,5.111575077844146,5.1766218267031165,5.833243662878971,5.187439360874611,172759.6510067114,1,E01000039,9,0,8,0,2,0,5.48854868772418,5.426517734000849,5.307772072941758,5.054451247287351,5.335023604853209,5.837768371022025,5.256384274987287,218254.3023255814,4,8,0,6,3,2,0,1.0,3,-1,0,-2,3,0,0
37,5.160308925628662,5.477585751533509,5.416590857505798,5.163009572982788,5.210248112678528,5.871783620834351,5.08215350818634,168225.768,0,E01000040,8,2,9,0,2,0,5.089031657189813,5.368330031860876,5.462603199572963,5.210675144923552,5.139437132209312,5.830892650225691,5.230072940578897,211450.15267175573,0,7,2,9,0,2,0,1.0,0,-1,0,0,0,0,0
38,5.409274275486286,5.4348657644712,5.465612462850717,4.995574331283569,5.324888819914598,6.043952875870925,5.405161219376784,177814.29230769232,2,E01000041,7,2,6,1,5,2,5.31554460962978,5.3992072671925255,5.488767322050322,5.095281265197544,5.2703435136637555,5.999293410449947,5.44959649142869,225157.11926605506,2,8,2,7,2,5,2,1.0,0,1,0,1,1,0,0
39,5.44379757899864,5.523573199128793,5.376290509903353,4.985789502368254,5.300066206969467,5.979156194948683,5.268485354442222,170027.16339869282,2,E01000042,8,1,6,1,4,1,5.299019753932953,5.49736264679167,5.371762444575627,5.056206157637967,5.244751225743029,5.927495234542423,5.313728305200736,213578.49305555556,1,9,1,6,1,4,1,1.0,-1,1,0,0,0,0,0
40,5.287351631536716,5.437122513608235,5.438293262952712,5.135179114777867,5.247324042930836,5.930880597451838,5.302051445332969,168846.0487804878,1,E01000043,7,2,8,0,3,1,5.204538496234749,5.3349310242677035,5.447253584861755,5.114847589142715,5.151753454268733,5.929484913620768,5.581164983254444,212196.18354430379,1,7,2,7,0,4,5,1.0,0,0,0,-1,0,1,4
41,5.223533550305153,5.342376419857366,5.4424445424506915,5.179671306218674,5.301298245565215,5.781564981190126,5.132862061706941,168339.223880597,0,E01000044,6,2,9,1,1,0,5.268581126417432,5.258164214236396,5.469252860546112,5.160310063191822,5.296536680630275,5.8294810737882345,5.423795471021108,211581.82142857142,1,5,2,8,2,2,2,1.0,1,-1,0,-1,1,1,2
42,5.0361681966822545,5.496098517348326,5.282182534876811,5.1932069820395865,5.143005311744919,5.723963312325048,5.236201527804265,174236.991416309,0,E01000045,8,0,9,0,1,1,5.111026562361354,5.398800965293823,5.354699484315742,5.174946840987148,5.108621738043176,5.7887748724006745,5.350850675479475,219936.1887550201,0,8,1,8,0,1,1,1.0,0,0,1,-1,0,0,0
43,5.331006281303637,5.3980488126928154,5.441046647351198,5.011055257585314,5.364873137136902,6.059168256894506,5.388184726840318,177282.45454545456,1,E01000046,7,2,7,2,6,2,5.290041216529242,5.408913543908903,5.3624375515645095,5.107483617149957,5.3158255154543586,6.018431743772903,5.5432108617064975,224548.91089108912,1,8,1,7,3,6,4,1.0,0,1,-1,0,1,0,2
44,5.004316369692485,5.4897306476320535,5.272937476634979,5.278928118092673,5.151029748576028,5.552262902259827,5.1037491503215975,169551.09523809524,0,E01000048,8,0,9,0,0,0,4.9970799423754215,5.51217120885849,5.248937889933586,5.234578117728233,4.98442867398262,5.545079506933689,5.135029427707195,212980.25,0,9,0,9,0,0,0,1.0,0,1,0,0,0,0,0
45,5.004060275241977,5.556503040868728,5.063673436641693,5.3436268929575315,5.01698284266425,5.526443614334356,5.121124724872777,169548.05737704918,0,E01000049,9,0,9,0,0,0,5.133756933388887,5.4762985242737665,5.219682355721791,5.334830745502755,5.07124924659729,5.636890821986729,5.237543167891325,212979.2685185185,0,9,0,9,0,0,0,1.0,0,0,0,0,0,0,0
46,5.248570183227802,5.393672585487366,5.435827436118291,5.102239628290308,5.250819043866519,5.770511121585451,5.1983799379447415,168829.6724137931,1,E01000050,7,2,8,0,1,0,5.180310543094363,5.297499372490814,5.487944460340908,5.233535620783057,5.194662068571363,5.7023153475352695,5.416559278964996,212170.69642857142,0,6,2,9,1,0,2,1.0,-1,-1,0,1,1,-1,2
47,4.986296985298395,5.4816600903868675,5.519743226468563,5.316207408905029,5.0650096498429775,5.714509837329388,5.208483442664146,168476.65625,0,E01000051,8,3,9,0,1,0,4.949368037283421,5.326549146324396,5.305093884468079,5.333180174231529,5.1316515281796455,5.689555995166302,5.199427518993616,211968.375,0,7,0,9,0,0,0,1.0,0,-1,-3,0,0,-1,0
48,5.302502068110875,5.411346805436271,5.377370444706508,5.086394802502223,5.289943327903748,5.844671171733311,5.149094272341047,169022.13714285713,1,E01000052,7,1,8,1,2,0,5.322661707136366,5.326917021804386,5.407460288206736,5.116889801952574,5.240347799327639,5.805744191010793,5.3469905171129435,212398.73888888888,2,7,1,7,1,2,1,1.0,1,0,0,-1,0,0,1
49,5.142119979858398,5.559336695671082,5.210663821220398,5.147098003387451,5.1090022554397585,5.636772121429443,5.205150831222534,175885.432,0,E01000053,9,0,9,0,0,0,5.171732201399626,5.486362733664336,5.3018701138319795,5.23171090638196,5.183443006762752,5.744298152570371,5.2938102519070664,222709.05185185187,0,9,0,9,1,1,0,1.0,0,0,0,0,1,1,0
50,5.087653974692027,5.530893258253733,5.381245374679565,5.241276680429777,5.235666561126709,5.815968036651611,5.285392658909162,176542.55833333332,0,E01000054,9,1,9,0,2,1,5.035381596507007,5.470981787179262,5.376602684268515,5.286614910336851,5.114818459248725,5.8094262221387325,5.324180377348688,223667.2900763359,0,9,1,9,0,2,1,1.0,0,0,0,0,0,0,0
51,5.145369707296292,5.501438458760579,5.323763700822989,5.157555724183719,5.258388166626294,5.879793646434943,5.204351457456748,176876.41666666666,0,E01000055,8,1,9,0,3,0,5.206796319797785,5.462246837037982,5.389446053842102,5.166632704060487,5.200314938419997,5.8654105494720765,5.4337959060765275,224052.31313131313,1,9,1,8,1,2,2,1.0,1,1,0,-1,1,-1,2
52,5.12803002101619,5.72313382567429,5.26140259048803,5.226374261747531,5.084368236665803,5.704162334038959,5.127662041322972,176231.47154471546,0,E01000056,9,0,9,0,0,0,5.147660297732199,5.503730320161389,5.365452310731334,5.258772336667584,5.160040686207433,5.8135102083606105,5.266299087193705,223240.54032258064,0,9,1,9,0,2,0,1.0,0,0,1,0,0,2,0
53,5.130298335928666,5.328058788650914,5.406078998666061,5.184595640082108,5.238547998980472,5.820315243068494,5.281568357819005,177005.83157894737,0,E01000057,6,1,9,0,2,1,5.1898762572486445,5.337719834075783,5.4345004401117,5.125207109271355,5.198855653124036,5.865689383362824,5.384208530749914,224224.0849056604,0,7,2,8,1,2,1,1.0,0,1,1,-1,1,0,0
54,5.170042059754812,5.496253425075162,5.464689329106321,5.067856878362676,5.283653423350344,5.912132068346906,5.3178392764060725,174378.25806451612,0,E01000058,8,2,8,1,3,1,5.251907530952902,5.336466393050025,5.470792309910643,5.1266455743827075,5.309456117012921,5.866995203728769,5.3751667083478445,220949.4019607843,1,7,2,8,3,3,1,1.0,1,-1,0,0,2,0,0
55,5.246833407980764,5.47759057313968,5.355801256293924,5.059910933176677,5.261655298053709,5.878838859052739,5.360353434187735,175819.37606837606,1,E01000059,8,1,8,1,2,2,5.232894768130104,5.398395725016324,5.548176817174228,5.133548202379695,5.319683746346888,5.9064407528571365,5.244801002853322,222659.37735849057,1,8,3,8,3,3,0,1.0,0,0,2,0,2,1,-2
56,5.307326776640756,5.544662769351687,5.295342066458294,5.072266540889229,5.259706088474819,5.900210168744836,5.284945033490658,164944.3125,1,E01000060,9,0,8,0,3,1,5.245495043354905,5.483513988894546,5.35622620632045,5.143004193840185,5.25460004509732,5.853626722122129,5.264169693982453,207516.90871369294,1,9,1,8,2,2,0,1.0,0,0,1,0,2,-1,-1
57,5.108826995706883,5.6192482742322545,5.209364933221519,5.230604957561104,5.079290665736814,5.650817089340314,5.212260681755689,164846.87074829932,0,E01000061,9,0,9,0,0,0,5.221247003402239,5.530594278264929,5.261617062268434,5.2248300961506216,5.171840307889162,5.7638863398705,5.212500859189917,207389.97530864197,1,9,0,9,0,1,0,1.0,1,0,0,0,0,1,0
58,5.270169185996056,5.415091525316239,5.464596534967423,5.119807357788086,5.3251785439252854,5.981469208002091,5.4053986221551895,164886.815,1,E01000062,7,2,8,1,4,2,5.281664448125022,5.3665361705280485,5.471498324189867,5.142869904495421,5.359752529008048,5.950095400356111,5.32488963717506,207434.72857142857,1,7,2,8,4,4,1,1.0,0,0,0,0,3,0,-1
59,5.256708043813705,5.5188958704471585,5.46599330107371,5.0960592240095135,5.2335321545600895,5.884640304247538,5.401111205418904,166090.175,1,E01000063,8,2,8,0,3,2,5.247411770621936,5.402268586556117,5.514190763235092,5.188605546951294,5.197610612710317,5.864497882127762,5.3317936559518175,208843.30833333332,1,8,3,8,1,2,1,1.0,0,0,1,0,1,-1,-1
60,5.157608865091465,5.415905779640147,5.444941847116355,5.128539162194169,5.238908474077315,5.8032918016382515,5.336427050148881,164200.50335570468,0,E01000064,7,2,8,0,1,2,5.1845242847879245,5.351061291005238,5.445370220994374,5.11641009098076,5.227401576128351,5.838329613926899,5.29756037442081,206582.1626506024,0,7,2,7,1,2,0,1.0,0,0,0,-1,1,1,-2
61,5.306956199828736,5.464329624604322,5.395463820703015,5.1258906354447324,5.2520813677839175,5.848920982041045,5.340913018066726,166199.56886227545,1,E01000065,8,1,8,0,2,2,5.316219875167088,5.314822154809098,5.477476498698661,5.088738992069308,5.280825431834268,5.873361873363263,5.399329006342598,208969.8232044199,2,6,2,7,2,3,2,1.0,1,-2,1,-1,2,1,0
