,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,OA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
1478,1,0,0,0,2,6,0,1,2,1,1,E00001529,0,1,1,1,1,4,0,1,1,0,2,-2.0,0.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0
1479,0,0,1,0,2,3,1,2,3,0,0,E00001530,0,0,0,1,2,1,2,3,3,0,2,-2.0,1.0,1.0,2.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0
1480,0,0,0,1,2,6,1,1,1,1,1,E00001531,0,0,1,0,2,4,1,1,1,0,2,-2.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0
1481,0,0,1,0,1,4,2,2,1,0,1,E00001532,1,0,1,0,1,3,1,3,1,0,1,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1482,4,0,0,1,0,0,0,1,0,0,3,E00001533,3,1,1,2,0,1,0,1,1,0,1,1.0,0.0,0.0,-2.0,1.0,0.0,1.0,0.0,1.0,1.0,-1.0
1483,0,1,0,0,1,6,1,2,1,0,1,E00001534,0,0,0,1,1,5,1,1,2,0,1,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0
1484,0,0,1,1,2,3,0,2,3,0,1,E00001535,0,1,1,0,3,3,0,1,2,0,1,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,1.0,0.0
1485,3,1,1,1,1,1,0,0,1,1,1,E00001536,2,1,1,1,0,1,1,1,1,0,2,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,-1.0
1486,0,1,2,0,1,5,1,2,1,0,1,E00001537,0,0,3,0,1,3,1,3,1,0,2,-2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0
1487,0,1,1,0,2,4,0,1,3,0,0,E00001538,0,0,0,0,0,2,1,0,2,0,5,-2.0,1.0,-1.0,5.0,-1.0,0.0,-1.0,-2.0,0.0,-1.0,0.0
1488,0,1,1,1,2,4,0,1,2,3,1,E00001539,0,1,1,1,1,4,1,1,1,2,1,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0
1489,0,1,1,1,1,2,1,1,1,2,1,E00001540,0,1,1,0,1,3,0,1,1,3,2,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0
1490,0,0,1,0,2,4,1,2,1,1,1,E00001541,0,0,1,0,1,2,2,2,1,1,2,-2.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
1491,0,0,1,0,2,4,1,1,1,2,1,E00001542,0,0,0,0,1,4,1,0,1,2,2,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0
