oa_name,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Terraced,count,OA
E00000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,E00000001
E00000007,0.2857142857142857,0.0,0.6190476190476191,0.0,0.0,0.0,0.09523809523809523,21,E00000007
E00000016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,E00000016
E00000017,0.5,0.0,0.5,0.0,0.0,0.0,0.0,2,E00000017
E00000019,0.75,0.0,0.25,0.0,0.0,0.0,0.0,4,E00000019
E00000021,0.5172413793103449,0.0,0.3448275862068966,0.034482758620689655,0.0,0.0,0.10344827586206896,29,E00000021
E00000023,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,3,E00000023
E00000024,0.5089285714285714,0.017857142857142856,0.36607142857142855,0.008928571428571428,0.008928571428571428,0.026785714285714284,0.0625,112,E00000024
E00000025,0.31958762886597936,0.010309278350515464,0.5154639175257731,0.0,0.0,0.041237113402061855,0.1134020618556701,97,E00000025
E00000026,0.5681818181818182,0.0,0.3181818181818182,0.0,0.0,0.0,0.11363636363636363,88,E00000026
E00000027,0.42105263157894735,0.0,0.42105263157894735,0.02631578947368421,0.0,0.05263157894736842,0.07894736842105263,38,E00000027
E00000028,0.4074074074074074,0.0,0.5,0.0,0.0,0.0,0.09259259259259259,54,E00000028
E00000029,0.7121212121212122,0.0,0.22727272727272727,0.0,0.015151515151515152,0.045454545454545456,0.0,66,E00000029
E00000030,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,12,E00000030
E00000032,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,E00000032
E00000035,0.5396825396825397,0.015873015873015872,0.3412698412698413,0.007936507936507936,0.0,0.007936507936507936,0.0873015873015873,126,E00000035
E00000037,0.0,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.0,0.0,0.6666666666666666,15,E00000037
E00000038,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.8095238095238095,21,E00000038
E00000039,0.0,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,0.0,7,E00000039
E00000040,0.0,0.13333333333333333,0.2,0.2,0.0,0.4666666666666667,0.0,15,E00000040
E00000041,0.47619047619047616,0.0,0.047619047619047616,0.23809523809523808,0.0,0.14285714285714285,0.09523809523809523,21,E00000041
E00000042,0.2,0.5,0.1,0.1,0.0,0.1,0.0,10,E00000042
E00000043,0.25,0.5,0.0,0.0,0.0,0.25,0.0,4,E00000043
E00000045,0.0,0.0,0.125,0.75,0.0,0.125,0.0,8,E00000045
E00000046,0.0,0.0,0.75,0.08333333333333333,0.0,0.16666666666666666,0.0,12,E00000046
E00000048,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,E00000048
E00000049,0.0,0.0,0.0,0.6818181818181818,0.0,0.0,0.3181818181818182,22,E00000049
E00000050,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,3,E00000050
E00000051,0.0,0.0,0.0625,0.0625,0.0,0.0,0.875,16,E00000051
E00000052,0.0,0.25,0.0,0.3125,0.1875,0.25,0.0,16,E00000052
E00000053,0.0,0.0,0.1111111111111111,0.3333333333333333,0.05555555555555555,0.1111111111111111,0.3888888888888889,18,E00000053
E00000054,0.041666666666666664,0.0,0.125,0.041666666666666664,0.0,0.0,0.7916666666666666,24,E00000054
E00000055,0.0,0.0,0.0,0.7241379310344828,0.0,0.10344827586206896,0.1724137931034483,29,E00000055
E00000056,0.02631578947368421,0.05263157894736842,0.0,0.0,0.13157894736842105,0.7894736842105263,0.0,38,E00000056
E00000057,0.0,0.125,0.5,0.25,0.0,0.125,0.0,8,E00000057
E00000059,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,E00000059
E00000060,0.0,0.0,0.06666666666666667,0.7333333333333333,0.0,0.0,0.2,15,E00000060
E00000061,0.0,0.35294117647058826,0.23529411764705882,0.0,0.0,0.4117647058823529,0.0,17,E00000061
E00000062,0.4166666666666667,0.03333333333333333,0.15,0.016666666666666666,0.11666666666666667,0.26666666666666666,0.0,60,E00000062
E00000063,0.0,0.0,0.05,0.05,0.0,0.0,0.9,20,E00000063
E00000064,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,0.7142857142857143,14,E00000064
E00000065,0.0,0.13043478260869565,0.2608695652173913,0.043478260869565216,0.0,0.08695652173913043,0.4782608695652174,23,E00000065
E00000066,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.9090909090909091,22,E00000066
E00000067,0.0,0.0,0.0,0.375,0.0,0.0,0.625,8,E00000067
E00000068,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.9333333333333333,15,E00000068
E00000069,0.0,0.0,0.8181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.0,11,E00000069
E00000070,0.0,0.0,0.034482758620689655,0.6206896551724138,0.0,0.27586206896551724,0.06896551724137931,29,E00000070
E00000071,0.0,0.0,0.0,0.7692307692307693,0.0,0.23076923076923078,0.0,13,E00000071
E00000072,0.0,0.0,0.0,0.6818181818181818,0.045454545454545456,0.2727272727272727,0.0,22,E00000072
E00000073,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,E00000073
E00000074,0.0,0.0,0.0,0.8666666666666667,0.0,0.13333333333333333,0.0,15,E00000074
E00000075,0.0,0.043478260869565216,0.0,0.7391304347826086,0.0,0.21739130434782608,0.0,23,E00000075
E00000076,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10,E00000076
E00000077,0.0,0.038461538461538464,0.0,0.46153846153846156,0.0,0.5,0.0,26,E00000077
E00000078,0.0,0.0,0.0,0.8260869565217391,0.0,0.17391304347826086,0.0,23,E00000078
E00000079,0.0,0.058823529411764705,0.0,0.7058823529411765,0.0,0.20588235294117646,0.029411764705882353,34,E00000079
E00000080,0.0,0.0,0.0,0.21875,0.34375,0.40625,0.03125,32,E00000080
E00000081,0.0,0.034482758620689655,0.0,0.6896551724137931,0.0,0.2413793103448276,0.034482758620689655,29,E00000081
E00000082,0.0,0.0,0.06666666666666667,0.7333333333333333,0.0,0.2,0.0,15,E00000082
E00000083,0.0,0.0,0.0,0.65,0.0,0.35,0.0,20,E00000083
E00000084,0.0,0.0,0.0,0.7272727272727273,0.0,0.22727272727272727,0.045454545454545456,22,E00000084
E00000085,0.0,0.0,0.0,0.47368421052631576,0.0,0.5263157894736842,0.0,19,E00000085
E00000086,0.0,0.0,0.0,0.9047619047619048,0.0,0.09523809523809523,0.0,21,E00000086
E00000087,0.0,0.0,0.0,0.7333333333333333,0.0,0.26666666666666666,0.0,15,E00000087
E00000088,0.0,0.0625,0.0,0.6875,0.0,0.25,0.0,16,E00000088
E00000089,0.0,0.0,0.0,0.7407407407407407,0.037037037037037035,0.2222222222222222,0.0,27,E00000089
