LSOA11CD,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Green space,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Low-density,count,lsoa
E01000001,0.2564102564102564,0.0,0.02564102564102564,0.717948717948718,0.0,39,E01000001
E01000002,0.12903225806451613,0.0,0.03225806451612903,0.8387096774193549,0.0,31,E01000002
E01000003,0.1111111111111111,0.0,0.0,0.8888888888888888,0.0,9,E01000003
E01000005,0.5377358490566038,0.018867924528301886,0.0660377358490566,0.3490566037735849,0.02830188679245283,106,E01000005
E01000006,0.0,0.0,0.1794871794871795,0.3974358974358974,0.4230769230769231,78,E01000006
E01000007,0.14953271028037382,0.102803738317757,0.4392523364485981,0.17757009345794392,0.1308411214953271,107,E01000007
E01000008,0.019230769230769232,0.038461538461538464,0.8653846153846154,0.038461538461538464,0.038461538461538464,52,E01000008
E01000009,0.09782608695652174,0.03260869565217391,0.11956521739130435,0.5869565217391305,0.16304347826086957,92,E01000009
E01000010,0.2568306010928962,0.10382513661202186,0.33879781420765026,0.2459016393442623,0.0546448087431694,183,E01000010
E01000011,0.05063291139240506,0.0,0.0,0.8607594936708861,0.08860759493670886,79,E01000011
E01000012,0.05333333333333334,0.06666666666666667,0.14666666666666667,0.56,0.17333333333333334,75,E01000012
E01000013,0.12213740458015267,0.030534351145038167,0.2366412213740458,0.007633587786259542,0.6030534351145038,131,E01000013
E01000014,0.0,0.017964071856287425,0.47305389221556887,0.05389221556886228,0.4550898203592814,167,E01000014
E01000015,0.009523809523809525,0.009523809523809525,0.38095238095238093,0.009523809523809525,0.5904761904761905,105,E01000015
E01000016,0.028037383177570093,0.018691588785046728,0.205607476635514,0.018691588785046728,0.7289719626168224,107,E01000016
E01000017,0.0,0.01818181818181818,0.32727272727272727,0.00909090909090909,0.6454545454545455,110,E01000017
E01000018,0.0,0.018518518518518517,0.2222222222222222,0.018518518518518517,0.7407407407407407,108,E01000018
E01000019,0.0,0.1349206349206349,0.20634920634920634,0.03968253968253968,0.6190476190476191,126,E01000019
E01000020,0.0,0.07526881720430108,0.23655913978494625,0.021505376344086023,0.6666666666666666,93,E01000020
E01000021,0.0898876404494382,0.10112359550561797,0.3707865168539326,0.033707865168539325,0.4044943820224719,89,E01000021
E01000022,0.0,0.10526315789473684,0.2781954887218045,0.05263157894736842,0.5639097744360902,133,E01000022
E01000023,0.06578947368421052,0.13157894736842105,0.34210526315789475,0.02631578947368421,0.4342105263157895,76,E01000023
E01000024,0.0,0.18,0.31,0.03,0.48,100,E01000024
E01000025,0.0,0.06542056074766354,0.2523364485981308,0.04672897196261682,0.6355140186915887,107,E01000025
E01000027,0.007142857142857143,0.02619047619047619,0.7333333333333333,0.004761904761904762,0.22857142857142856,420,E01000027
E01000028,0.0,0.2676056338028169,0.30985915492957744,0.056338028169014086,0.36619718309859156,71,E01000028
E01000029,0.0,0.005291005291005291,0.25396825396825395,0.005291005291005291,0.7354497354497355,189,E01000029
E01000030,0.0,0.09302325581395349,0.586046511627907,0.018604651162790697,0.3023255813953488,215,E01000030
E01000031,0.0,0.00510204081632653,0.46938775510204084,0.11734693877551021,0.40816326530612246,196,E01000031
E01000032,0.07909604519774012,0.005649717514124294,0.22033898305084745,0.0903954802259887,0.6045197740112994,177,E01000032
E01000033,0.0,0.08823529411764706,0.22058823529411764,0.058823529411764705,0.6323529411764706,68,E01000033
E01000034,0.0,0.011428571428571429,0.4742857142857143,0.022857142857142857,0.49142857142857144,175,E01000034
E01000035,0.024390243902439025,0.032520325203252036,0.4146341463414634,0.0975609756097561,0.43089430894308944,123,E01000035
E01000036,0.0,0.0,0.17886178861788618,0.18699186991869918,0.6341463414634146,123,E01000036
E01000037,0.005291005291005291,0.005291005291005291,0.12169312169312169,0.015873015873015872,0.8518518518518519,189,E01000037
E01000038,0.034722222222222224,0.027777777777777776,0.19444444444444445,0.034722222222222224,0.7083333333333334,144,E01000038
E01000039,0.006060606060606061,0.0,0.45454545454545453,0.024242424242424242,0.5151515151515151,165,E01000039
E01000040,0.047619047619047616,0.01904761904761905,0.13333333333333333,0.1523809523809524,0.6476190476190476,105,E01000040
E01000041,0.0,0.109375,0.1875,0.046875,0.65625,64,E01000041
E01000042,0.0,0.08737864077669903,0.3786407766990291,0.019417475728155338,0.5145631067961165,103,E01000042
E01000043,0.007751937984496124,0.031007751937984496,0.3333333333333333,0.015503875968992248,0.6124031007751938,129,E01000043
E01000044,0.0,0.00819672131147541,0.16393442622950818,0.6475409836065574,0.18032786885245902,122,E01000044
E01000045,0.09803921568627451,0.03431372549019608,0.4362745098039216,0.0392156862745098,0.39215686274509803,204,E01000045
E01000046,0.0,0.08247422680412371,0.28865979381443296,0.061855670103092786,0.5670103092783505,97,E01000046
E01000048,0.0,0.16666666666666666,0.3333333333333333,0.4444444444444444,0.05555555555555555,18,E01000048
E01000049,0.0,0.06976744186046512,0.37209302325581395,0.20930232558139536,0.3488372093023256,86,E01000049
E01000050,0.03614457831325301,0.10843373493975904,0.14457831325301204,0.46987951807228917,0.24096385542168675,83,E01000050
E01000051,0.07142857142857142,0.35714285714285715,0.5,0.07142857142857142,0.0,14,E01000051
E01000052,0.012121212121212121,0.012121212121212121,0.30303030303030304,0.3212121212121212,0.3515151515151515,165,E01000052
E01000053,0.037383177570093455,0.09345794392523364,0.4672897196261682,0.06542056074766354,0.3364485981308411,107,E01000053
E01000054,0.0,0.04310344827586207,0.1810344827586207,0.034482758620689655,0.7413793103448276,116,E01000054
E01000055,0.0,0.021052631578947368,0.35789473684210527,0.021052631578947368,0.6,95,E01000055
E01000056,0.0,0.03508771929824561,0.3508771929824561,0.05263157894736842,0.5614035087719298,114,E01000056
E01000057,0.07058823529411765,0.011764705882352941,0.25882352941176473,0.08235294117647059,0.5764705882352941,85,E01000057
E01000058,0.0,0.12871287128712872,0.2079207920792079,0.1485148514851485,0.5148514851485149,101,E01000058
E01000059,0.0,0.09433962264150944,0.2641509433962264,0.009433962264150943,0.6320754716981132,106,E01000059
E01000060,0.0136986301369863,0.2146118721461187,0.4611872146118721,0.0228310502283105,0.2876712328767123,219,E01000060
E01000061,0.019230769230769232,0.14423076923076922,0.6826923076923077,0.09615384615384616,0.057692307692307696,104,E01000061
E01000062,0.0,0.11788617886178862,0.22357723577235772,0.06910569105691057,0.5894308943089431,246,E01000062
E01000063,0.0,0.051094890510948905,0.2773722627737226,0.021897810218978103,0.6496350364963503,137,E01000063
E01000064,0.08148148148148149,0.0962962962962963,0.24444444444444444,0.022222222222222223,0.5555555555555556,135,E01000064
E01000065,0.03048780487804878,0.018292682926829267,0.4329268292682927,0.06707317073170732,0.45121951219512196,164,E01000065
E01000066,0.0,0.11387900355871886,0.2704626334519573,0.046263345195729534,0.5693950177935944,281,E01000066
E01000067,0.0,0.059113300492610835,0.1724137931034483,0.13793103448275862,0.6305418719211823,203,E01000067
E01000068,0.014285714285714285,0.0,0.22857142857142856,0.14285714285714285,0.6142857142857143,70,E01000068
E01000069,0.007352941176470588,0.0,0.1323529411764706,0.17647058823529413,0.6838235294117647,136,E01000069
E01000070,0.053691275167785234,0.0,0.3087248322147651,0.16778523489932887,0.4697986577181208,149,E01000070
E01000071,0.012903225806451613,0.04516129032258064,0.3032258064516129,0.06451612903225806,0.5741935483870968,155,E01000071
E01000072,0.10638297872340426,0.06382978723404255,0.2978723404255319,0.07446808510638298,0.4574468085106383,94,E01000072
