OA11CD,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles
E00000130,0,1,0,0,1,1,0,1,1,0,1
E00000131,0,1,1,1,0,1,0,1,1,1,1
E00000132,0,1,0,0,0,1,1,1,1,0,1
E00000133,1,1,0,0,1,1,0,1,1,0,1
E00000134,0,1,0,0,1,1,0,1,1,0,1
E00000135,0,0,0,0,1,1,0,1,0,0,1
E00000136,0,1,0,1,0,1,0,1,1,1,0
E00000137,1,1,0,1,1,1,1,1,1,0,1
E00000138,1,1,0,0,1,0,0,1,1,0,0
E00000139,0,1,1,0,0,1,0,1,1,0,0
E00000140,1,1,0,0,0,1,0,1,1,0,1
E00000141,1,1,1,0,0,0,1,1,1,0,1
E00000142,0,0,1,0,0,0,1,1,0,0,0
E00000143,0,0,0,0,0,1,1,1,0,0,0
E00000144,0,0,0,0,0,1,0,1,1,0,0
E00000145,0,0,0,0,1,1,0,1,0,0,0
E00000146,0,0,0,0,0,1,1,1,1,1,0
E00000147,1,0,0,0,0,1,0,0,0,0,0
E00000148,1,0,0,1,0,1,1,0,0,1,1
E00000149,0,0,0,0,0,1,0,0,0,1,1
E00000150,0,1,1,0,1,1,0,1,1,0,0
E00000151,0,0,0,0,0,0,1,0,0,0,0
E00000152,1,1,0,1,1,1,0,1,1,1,1
E00000153,0,0,0,0,0,1,0,1,0,1,0
E00000154,1,0,0,0,0,1,0,1,1,1,0
E00000155,1,1,0,0,0,1,0,1,1,1,1
E00000156,0,0,0,0,0,0,1,0,0,0,0
E00000157,1,1,0,0,1,1,1,1,1,0,0
E00000158,0,1,0,0,0,0,1,1,1,0,0
E00000159,0,1,1,0,0,1,1,1,1,0,0
E00000160,0,1,0,0,1,0,0,1,1,0,0
E00000161,0,1,0,0,1,0,0,1,1,0,1
E00000162,0,1,0,1,0,1,1,1,1,0,1
E00000163,0,1,1,0,0,0,1,1,0,0,0
E00000164,0,1,1,0,0,1,1,0,1,1,1
E00000165,0,1,0,0,1,1,0,1,1,0,0
E00000166,1,1,1,1,1,1,1,1,1,1,1
E00000167,0,1,1,0,1,1,0,0,1,1,1
E00000168,0,1,0,0,1,1,0,1,1,0,1
E00000169,0,1,1,1,1,1,0,1,1,0,1
E00000170,0,0,0,0,1,1,0,1,1,0,0
E00000171,0,0,0,0,1,0,1,1,1,0,0
E00000172,0,1,0,0,0,1,0,1,0,0,1
E00000173,1,0,0,0,0,0,0,0,0,0,0
E00000174,0,0,0,0,0,1,0,0,1,1,1
E00000175,1,0,0,0,0,0,0,1,0,0,0
E00000176,0,1,0,0,0,1,0,1,0,1,0
E00000177,1,1,0,1,0,0,0,1,1,0,1
E00000178,0,0,0,1,0,1,0,0,1,1,0
E00000179,0,0,0,0,0,1,0,0,1,1,1
E00000180,0,0,1,1,0,0,1,1,0,1,0
E00000181,0,0,0,0,0,1,0,0,0,1,0
E00000182,0,0,0,0,1,1,0,1,1,1,1
E00000183,1,0,1,0,0,1,0,1,0,0,1
E00000184,0,0,0,0,0,1,0,1,1,1,0
E00000185,0,0,0,0,1,1,0,1,0,1,0
E00000186,0,0,0,0,0,1,0,1,1,0,1
E00000187,0,1,0,1,1,1,0,1,1,0,1
E00000188,0,1,0,0,1,1,0,0,0,0,0
E00000189,0,0,0,0,0,1,0,1,0,0,0
E00000190,1,0,0,1,0,1,0,1,1,1,1
E00000191,1,1,1,1,1,1,1,1,1,0,1
E00000192,0,0,1,1,1,1,0,1,1,1,1
E00000193,1,0,0,1,1,1,1,1,1,0,1
E00000194,0,0,0,0,1,1,1,1,1,0,0
E00000195,0,0,1,0,1,0,1,0,1,0,0
E00000196,0,0,1,1,1,1,0,0,1,1,1
E00000197,0,0,0,0,0,0,1,0,0,0,0
E00000199,0,0,0,0,0,0,0,1,1,0,0
E00000200,0,1,0,0,1,1,0,1,1,0,1
E00000201,0,0,1,1,0,0,1,0,1,1,0
E00000202,0,1,1,0,1,1,1,1,1,0,0
E00000203,0,1,0,1,1,1,0,0,0,0,1
E00000204,0,1,1,0,1,1,1,1,1,0,1
E00000205,0,1,1,0,1,0,0,1,0,0,1
E00000206,0,1,1,1,0,1,0,1,1,0,1
E00000207,1,1,0,0,1,1,1,1,1,1,1
E00000208,0,1,0,1,1,1,0,1,1,0,0
E00000209,0,1,0,1,1,1,0,1,0,0,1
E00000210,0,1,0,0,1,1,0,0,0,0,1
E00000211,0,1,1,1,1,1,1,1,0,1,1
E00000212,0,1,1,1,0,1,0,1,0,0,1
E00000213,0,0,0,0,1,1,0,0,0,1,1
E00000214,1,0,1,1,1,1,0,1,1,0,1
E00000215,0,1,1,1,1,1,0,1,1,1,1
E00000216,1,1,1,0,0,1,0,1,1,1,1
E00000217,0,1,0,0,0,1,0,1,1,0,1
E00000218,0,1,0,0,0,1,0,1,0,1,1
E00000219,1,1,0,0,1,1,0,1,1,1,1
E00000220,0,0,1,0,0,1,0,0,1,1,0
E00000221,0,1,1,0,1,1,1,1,1,0,0
E00000222,0,0,0,1,0,1,0,1,0,1,0
E00000223,1,1,1,1,0,0,0,1,1,1,1
E00000224,0,1,1,0,1,1,0,1,1,0,0
E00000225,0,0,0,1,0,1,1,1,1,1,1
E00000226,1,0,0,0,0,0,0,0,0,0,0
E00000227,0,0,0,0,0,0,0,1,0,0,0
E00000228,0,0,0,1,0,1,0,1,0,1,0
E00000229,0,0,0,1,0,1,0,0,1,1,1
E00000230,0,1,0,0,0,1,0,0,1,1,1
E00000231,1,1,0,0,1,1,0,1,1,0,1
E00000232,0,1,0,0,0,1,1,0,0,0,1
E00000234,0,0,0,0,0,1,1,0,0,1,1
E00000235,1,1,1,1,0,0,0,1,0,1,1
E00000236,0,0,0,1,0,1,1,0,1,1,0
E00000237,0,0,1,0,1,1,1,1,1,1,1
E00000238,1,1,0,1,0,1,1,0,0,1,1
E00000239,1,1,1,1,1,0,0,1,1,0,1
E00000240,1,1,0,1,0,0,1,0,0,1,0
E00000241,1,1,1,1,1,1,1,1,1,1,1
E00000242,0,1,1,1,1,0,0,1,1,0,1
E00000243,0,0,1,0,0,0,1,1,0,0,1
E00000244,0,1,0,0,0,1,1,1,0,0,0
E00000245,1,1,1,1,1,1,1,1,1,1,1
E00000246,1,1,1,0,0,0,0,0,0,1,0
E00000247,0,0,1,0,0,0,1,1,0,1,1
E00000248,1,1,1,1,0,0,0,1,1,0,0
E00000249,1,1,1,1,0,1,0,0,1,1,1
E00000250,1,1,1,1,1,1,1,1,1,1,0
E00000251,1,1,1,1,0,0,1,1,0,1,1
E00000252,0,0,1,1,1,1,1,0,0,1,1
E00000253,1,1,1,1,0,0,1,1,1,0,1
E00000255,0,0,1,1,0,1,0,0,1,1,0
E00000256,1,1,1,1,1,1,1,1,1,1,1
E00000257,0,0,0,1,1,1,0,0,1,1,1
E00000258,1,1,1,1,1,0,1,0,1,1,0
E00000259,0,0,0,1,0,1,0,1,1,1,0
E00000260,0,0,0,1,0,0,0,0,0,1,1
E00000261,1,0,0,0,1,1,1,0,1,1,1
E00000263,0,1,1,1,0,0,0,0,0,0,0
E00000264,1,1,1,1,1,1,1,1,1,1,1
E00000265,0,0,0,0,0,1,1,1,1,0,1
E00000266,0,1,0,1,1,1,0,1,0,0,1
E00000267,0,1,1,0,1,1,0,1,0,0,1
E00000268,0,1,1,0,1,1,0,1,1,1,1
E00000269,0,0,1,0,0,1,1,1,0,0,1
E00000270,0,1,1,0,0,1,0,1,0,0,0
E00000271,0,1,0,0,1,1,1,1,1,1,0
E00000272,0,1,1,0,0,1,1,0,0,1,0
E00000273,0,1,0,1,1,1,1,1,1,1,1
E00000274,0,1,0,0,1,1,0,1,1,0,1
E00000275,0,1,0,1,1,1,0,1,1,0,1
E00000276,0,0,0,0,0,1,1,1,1,0,0
E00000277,0,1,0,1,1,1,0,1,1,0,1
E00000278,1,1,1,0,1,1,0,1,0,0,1
E00000279,0,1,0,0,1,1,1,1,1,0,0
E00000280,1,1,0,1,0,1,0,1,1,1,1
E00000282,1,1,0,1,0,1,0,1,1,0,1
E00000283,0,1,0,1,0,1,0,1,1,0,1
E00000284,0,1,0,1,0,1,0,1,1,1,1
E00000285,0,1,1,0,1,1,0,1,0,1,1
E00000286,0,1,0,0,1,1,0,0,1,1,0
E00000287,1,1,0,1,0,1,0,1,1,0,1
E00000288,1,1,1,0,0,1,0,1,1,1,1
E00000289,1,1,1,1,1,1,1,1,0,1,1
E00000290,1,1,0,1,1,1,0,1,0,0,0
E00000291,1,0,1,0,0,1,0,1,0,1,1
E00000292,0,1,0,1,1,1,0,1,0,1,1
E00000293,0,1,0,1,0,1,1,1,0,0,1
E00000294,0,1,1,0,1,1,0,0,1,0,1
E00000295,0,1,0,0,1,1,0,1,1,1,1
E00000296,1,1,1,0,0,1,0,1,0,0,1
E00000297,0,1,1,0,0,1,0,1,1,1,1
E00000298,0,1,1,0,1,1,0,1,1,0,1
E00000299,0,1,0,0,0,1,0,1,1,0,0
E00000300,1,1,1,0,0,0,0,1,0,0,0
E00000301,0,1,1,1,0,0,0,0,0,0,0
E00000302,0,0,0,0,1,1,0,1,0,0,1
E00000303,0,1,0,0,0,1,0,1,0,0,1
E00000304,1,1,0,0,0,0,0,1,1,0,1
E00000305,0,1,0,1,0,0,1,0,0,0,0
E00000306,1,1,1,0,0,1,0,1,0,0,1
E00000307,0,1,0,0,0,1,0,1,1,0,1
E00000308,0,0,0,0,0,0,0,0,0,0,0
E00000309,1,1,1,1,0,0,1,1,1,0,1
E00000310,0,1,0,1,1,1,0,1,1,0,0
E00000311,0,1,0,0,0,1,0,1,0,1,0
E00000312,0,1,0,0,0,1,0,1,0,0,0
E00000313,0,0,0,0,0,1,0,0,0,0,0
E00000314,0,1,0,0,1,1,0,0,1,0,1
E00000315,1,1,1,0,1,1,0,1,0,0,1
E00000316,1,0,1,0,0,1,1,1,1,1,1
E00000317,1,1,1,0,0,1,0,1,0,0,1
E00000318,1,1,1,0,0,1,0,1,0,0,1
E00000319,0,1,1,0,0,1,0,1,1,0,1
E00000320,0,0,0,1,0,1,0,1,0,0,0
E00000321,0,0,1,0,1,1,0,1,1,0,1
E00000322,0,0,0,0,1,1,0,1,1,0,1
E00000323,1,1,1,1,1,1,0,1,1,0,1
E00000324,0,1,1,0,1,1,0,1,0,0,1
E00000325,0,0,0,0,0,1,0,1,0,0,1
E00000326,1,1,0,1,1,0,0,1,1,0,0
E00000327,0,1,1,1,0,0,1,1,0,0,0
E00000328,1,1,1,1,0,0,1,1,1,0,1
E00000329,1,1,1,1,1,0,1,1,1,1,1
E00000330,0,1,1,1,0,0,0,1,0,0,1
E00000331,0,1,0,0,0,1,1,0,0,0,0
E00000332,0,1,0,0,0,1,0,0,1,1,0
E00000333,0,0,0,0,0,1,0,0,0,1,0
E00000334,0,0,0,0,0,1,0,1,0,1,0
E00000335,0,0,0,0,1,1,0,0,0,1,0
E00000336,0,0,0,0,1,1,0,1,1,1,1
E00000337,1,0,1,0,0,1,0,1,0,0,0
E00000338,0,0,0,0,0,1,0,1,0,0,0
E00000339,0,0,0,0,1,1,0,1,1,1,0
E00000340,0,0,0,0,1,1,1,0,0,1,0
E00000341,0,0,0,0,0,1,0,1,0,0,0
E00000342,0,0,0,0,1,1,0,0,0,1,1
E00000343,1,0,0,1,1,1,0,1,0,1,0
E00000344,0,0,1,1,1,1,1,0,1,1,1
E00000345,0,0,0,0,1,1,0,0,0,1,1
E00000346,0,0,0,0,0,1,1,1,1,1,1
E00000347,0,0,0,0,0,1,0,1,0,1,1
E00000348,0,1,1,1,1,1,0,0,1,0,1
E00000349,1,0,0,0,1,1,0,0,0,1,1
E00000350,0,0,1,0,0,1,1,1,1,1,0
E00000351,0,0,0,0,0,1,0,1,1,1,1
E00000352,0,1,1,0,0,0,0,0,0,0,0
E00000353,0,0,0,0,1,1,0,0,0,1,1
E00000354,0,1,1,0,0,1,1,1,0,0,0
E00000355,0,1,1,0,0,0,0,0,0,0,0
E00000356,0,0,0,0,0,1,0,0,0,1,1
E00000357,0,1,0,0,0,1,0,0,0,1,0
E00000358,0,1,1,0,0,0,0,0,0,0,0
E00000360,1,1,1,1,1,1,0,1,1,0,1
E00000361,1,1,0,0,1,1,0,1,1,1,1
E00000362,0,1,0,1,1,1,0,0,1,1,1
E00000363,1,1,0,0,1,1,0,1,0,0,1
E00000364,0,1,1,0,1,1,0,1,0,0,1
E00000365,1,1,1,1,0,1,1,1,0,0,1
