,Commercial,Estates,Green space,High-density,Low-density,lsoa
198,,,,,-10.948351890640502,E01000212
199,,,,,-10.713222710023068,E01000213
200,,,,,,E01000214
201,,,,,-14.256806475349517,E01000215
202,,,,,-17.323138708680887,E01000216
203,,,,,,E01000217
204,,,,,,E01000218
205,,,,,,E01000219
206,,,,,-18.202010755202245,E01000220
207,,-3.11645708037178,-17.260798250410076,,-3.877528704209949,E01000221
208,,,,,,E01000222
209,,,-10.658830807299722,,-7.70027837921436,E01000223
210,,,,,,E01000224
211,,,,,-11.92109451982111,E01000225
212,,,,,,E01000226
213,,,,,-14.715881495871791,E01000227
214,,,,,,E01000228
215,,,,,,E01000229
216,,,,,-13.638377037562009,E01000230
217,,,,0.9803921568627401,-10.720081135902639,E01000231
218,,,,,,E01000232
219,,,,,,E01000233
220,,,,,,E01000234
221,,,,,,E01000235
222,,,,,,E01000236
223,,,,,,E01000237
224,,,,,,E01000238
225,,,,,,E01000239
226,,0.79522862823061,,,-10.75933777863791,E01000240
227,,,,,,E01000241
228,,,,,-10.824684745006142,E01000242
229,,,,,,E01000243
230,,,,,,E01000244
231,,-10.180322128851541,,,,E01000245
232,,,,,,E01000246
233,,,,,,E01000247
234,,,,,,E01000248
235,,,,,,E01000249
236,,,,,-7.554733271662048,E01000250
237,,,,,,E01000251
238,,,,,,E01000252
239,,,,,,E01000253
240,,,,,,E01000254
241,,,,,,E01000255
242,,,,,,E01000256
243,,,,,,E01000257
244,,,,,,E01000258
245,,,,,,E01000259
246,,,-14.346076822853831,,,E01000260
247,,,,,,E01000261
248,,4.19587092297016,-10.799213509137182,3.41400647698358,,E01000262
249,,,,,,E01000263
250,,,-7.856373912263386,,,E01000264
251,,,,,,E01000265
252,,,,,,E01000266
253,,,,,-11.420454545454554,E01000267
254,,,,,,E01000268
255,,,,,,E01000269
256,,,,,,E01000270
257,,,,,,E01000271
258,,,,2.3316062176165797,-12.129591896140191,E01000272
259,,,,,,E01000273
260,,,,,-12.530721966205846,E01000274
261,,,,,,E01000275
262,,,,,,E01000276
263,,,,,,E01000277
264,,6.93768257059396,,,,E01000278
265,,,,,,E01000279
266,,,,,,E01000280
267,,7.9842243645924595,,,,E01000281
268,,,,,-10.170657858519135,E01000282
269,,,,,,E01000283
270,,,,,-10.298679748935863,E01000284
271,,,,,,E01000285
272,,,,-2.5,,E01000286
273,,,,-1.35135135135135,-16.81207523312787,E01000287
274,,,,,,E01000288
275,,,,,,E01000289
276,,,,,,E01000290
277,,,,8.16259398496241,-17.07236842105263,E01000291
278,,,-10.872029747868678,,,E01000292
279,,,,,,E01000293
280,,,,,,E01000294
281,-1.40845070422535,,,,,E01000295
282,,,,,,E01000296
283,,,,,,E01000297
284,,,,,,E01000298
285,,,,,7.74774774774775,E01000299
286,,,,,,E01000300
287,,,,,,E01000301
288,,,,,,E01000302
289,,,,,,E01000303
290,,,,,12.197519661222021,E01000304
291,,-0.7936507936507899,,,,E01000305
292,,,,,,E01000306
293,,,-14.388512115133558,,-8.659534498678639,E01000307
294,,,,,,E01000308
295,,,,,-10.126824294181375,E01000309
296,,,,,-9.936554973026368,E01000310
297,,-2.39520958083832,,,,E01000311
298,,4.40476190476191,,,-14.976190476190474,E01000312
299,,,,,,E01000313
300,,,,,-13.330715617944435,E01000314
301,,,,,,E01000315
302,,-3.93378081838131,,-4.72602297663611,,E01000316
303,,,,,,E01000317
304,,,,,,E01000318
305,,,,,,E01000319
306,,,,,,E01000320
307,,,,,,E01000321
308,,,,,,E01000322
309,,,,,,E01000323
310,,,,,,E01000324
311,,,,,,E01000325
312,,,,,,E01000326
313,,,,,,E01000327
314,,,,,,E01000328
315,,5.24227528089887,,,-12.510533707865171,E01000329
316,,,,,,E01000330
317,,,,,,E01000331
318,,,,,,E01000332
319,,,,,,E01000333
320,,,,,,E01000334
321,,,-7.968135754960642,,,E01000335
322,,,,,,E01000336
323,,,,,,E01000337
324,,,,,,E01000338
325,,,,,,E01000339
326,,,,,,E01000340
327,,,,,-11.043598456487928,E01000341
328,,,,,,E01000342
329,,,,,,E01000343
330,,,,,,E01000344
331,,,,,,E01000345
332,,,,,-13.05959543322755,E01000346
333,,,,,,E01000347
334,,,,,,E01000348
335,,,,,,E01000349
336,,,,,,E01000350
337,,,,,-10.235906862745104,E01000351
338,,,,,,E01000352
339,,1.02880658436214,,,,E01000353
340,,6.836599804586469,,,,E01000354
341,,,,,-10.31168706041045,E01000355
342,,,,,-10.712540148024033,E01000356
343,,1.6806722689075597,,,,E01000357
344,,,,,,E01000358
345,,1.26582278481012,,,-11.329113924050645,E01000359
346,,,,,,E01000360
347,,,,,,E01000361
348,,,,,,E01000362
349,,,,,-10.173143516737209,E01000363
350,,,,,,E01000364
351,2.7576673127351503,,,,,E01000365
352,,1.47783251231527,,,,E01000366
353,,,-9.26085088096261,,,E01000367
354,,,,,-14.868566765751591,E01000368
355,,2.87024117998804,,,,E01000369
356,,,,,,E01000370
357,,,,,,E01000371
358,,5.36552193131588,,,,E01000372
359,,,,,,E01000373
360,,,,,-9.600228943776688,E01000374
361,,,,,,E01000375
362,,3.59911406423035,,,,E01000376
363,,,,,,E01000377
364,,,,,-5.093989324669289,E01000378
365,,,,,,E01000379
366,,,,,-12.507033718564692,E01000380
367,,,,,-8.61393430549418,E01000381
368,,,,,,E01000382
369,,,,,-7.32141782511885,E01000383
370,,,,,,E01000384
371,,,,,,E01000385
372,,,,,,E01000386
373,,,,,,E01000387
374,,,,,,E01000388
375,,,,,,E01000389
376,,,,,-9.44574998567089,E01000390
377,,,,,,E01000391
378,,,,,,E01000392
379,,,,,-9.149169407201292,E01000393
380,,,,,,E01000394
381,,,,,,E01000395
382,,,,,,E01000396
383,,,,,,E01000398
384,,,,,-15.110168587281258,E01000399
385,,,,,,E01000400
386,,,,,-13.75864621353276,E01000401
387,,,,,,E01000402
388,,,,,,E01000403
389,,7.68796992481203,,,,E01000404
390,,,,,,E01000405
391,,2.62555639539767,,,,E01000406
392,,,,,-14.120809614168241,E01000407
393,,,-10.460533007832368,,,E01000408
394,,,,,,E01000409
395,,,,,,E01000410
396,,,,1.20481927710843,,E01000411
397,,,,,,E01000412
398,,,,,,E01000413
399,,,,,,E01000414
400,,,,,,E01000415
401,,,,,,E01000416
402,,-4.4767563060245905,12.752762143006045,,,E01000417
403,,,,,-9.953362788414342,E01000418
404,,,,,,E01000419
405,,,,,-11.04519774011299,E01000420
406,,,,,,E01000421
407,,,,,,E01000423
408,,,,,-10.91307066916822,E01000424
409,,,,,,E01000425
410,,,,,,E01000426
411,,,,,-8.74259839777081,E01000427
412,,,,,-3.97908684546615,E01000428
413,,,,,,E01000429
414,,,,,,E01000430
415,,,,,,E01000431
416,,6.5594059405940595,,,-11.444674872892698,E01000432
417,,,,,,E01000433
418,,,,,,E01000435
419,,,,,-12.141617493925722,E01000436
420,,,,,,E01000437
