LSOA11CD,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles
E01000115,0,0,0,0,1,1,1,1,0,0,0
E01000116,0,0,0,0,1,1,1,1,0,0,0
E01000117,0,0,0,0,1,1,0,1,1,0,0
E01000118,0,0,0,0,1,1,0,1,0,0,0
E01000119,0,0,0,0,1,1,0,1,1,0,1
E01000120,1,0,0,0,1,1,0,1,1,0,1
E01000121,0,1,0,0,1,1,1,1,1,0,1
E01000122,0,0,0,0,1,1,0,1,0,0,1
E01000123,0,0,1,0,0,0,1,0,0,1,0
E01000124,1,0,0,0,0,0,1,0,0,1,1
E01000125,0,1,0,1,0,0,1,1,1,0,0
E01000126,0,1,1,1,1,1,1,0,1,0,1
E01000127,0,1,1,0,1,1,1,1,0,0,1
E01000128,0,1,1,0,1,1,1,1,0,0,0
E01000129,1,0,0,0,0,1,0,0,0,0,0
E01000130,0,1,1,1,1,1,1,1,1,0,1
E01000131,0,1,1,0,1,1,1,1,0,0,1
E01000132,0,1,0,0,1,1,0,1,1,0,1
E01000133,0,1,1,0,1,1,0,1,1,0,0
E01000134,0,1,1,0,1,1,1,1,1,0,1
E01000135,0,0,1,0,1,1,1,1,1,1,0
E01000136,0,0,1,0,1,0,1,0,1,0,0
E01000137,1,1,1,1,1,1,1,1,1,1,1
E01000138,0,0,0,0,1,1,0,1,0,0,0
E01000139,1,1,1,0,1,0,1,1,0,0,0
E01000140,1,1,1,1,1,0,0,0,1,1,1
E01000141,1,0,1,1,0,0,0,0,0,1,0
E01000142,0,1,1,0,1,1,0,1,1,1,0
E01000143,1,1,1,1,1,1,0,1,1,1,1
E01000144,1,0,0,1,1,1,0,0,1,0,1
E01000145,0,0,0,0,1,1,0,1,1,1,1
E01000146,1,0,0,1,1,0,0,0,0,0,0
E01000147,0,0,1,0,1,1,0,1,0,0,1
E01000148,1,1,0,1,0,1,0,0,0,1,1
E01000150,0,0,0,0,0,1,0,0,0,0,0
E01000151,1,0,1,1,0,0,1,1,0,0,1
E01000152,0,1,1,1,1,0,1,1,1,0,1
E01000153,0,1,1,1,1,1,1,1,1,0,1
E01000154,1,1,1,1,1,1,1,1,0,0,1
E01000155,1,1,1,1,1,0,0,0,0,0,0
E01000156,1,0,0,0,1,1,0,0,1,1,1
E01000157,0,1,0,0,1,1,0,0,1,1,1
E01000158,0,1,1,0,1,1,1,1,0,1,1
E01000159,0,0,0,0,1,1,1,1,0,0,0
E01000160,1,1,0,0,0,1,1,0,1,1,1
E01000161,1,1,0,0,0,1,1,0,1,1,1
E01000162,1,0,0,0,1,1,0,1,0,0,1
E01000163,0,1,1,0,1,0,1,0,0,0,1
