,lsoa,hierarchical8_x,hierarchical8_y,same
244,E01000249,3,3,1
245,E01000250,3,3,1
246,E01000251,3,3,1
247,E01000252,9,9,1
248,E01000253,11,11,1
249,E01000254,11,11,1
250,E01000255,5,4,0
251,E01000256,4,4,1
252,E01000257,4,4,1
253,E01000258,4,4,1
254,E01000259,4,3,0
255,E01000260,4,5,0
256,E01000261,4,4,1
257,E01000262,11,4,0
258,E01000263,3,3,1
259,E01000264,3,3,1
260,E01000265,3,9,0
261,E01000266,3,3,1
262,E01000267,9,9,1
263,E01000268,3,3,1
264,E01000269,3,3,1
265,E01000270,3,9,0
266,E01000271,3,3,1
267,E01000272,9,3,0
268,E01000273,3,3,1
269,E01000274,9,9,1
270,E01000275,3,3,1
271,E01000276,9,9,1
272,E01000277,9,9,1
273,E01000278,3,9,0
274,E01000279,11,11,1
275,E01000280,3,3,1
276,E01000281,5,12,0
277,E01000282,9,3,0
278,E01000283,3,3,1
279,E01000284,3,3,1
280,E01000285,9,9,1
281,E01000286,9,3,0
282,E01000287,3,3,1
283,E01000288,3,3,1
284,E01000289,4,3,0
285,E01000290,11,11,1
286,E01000291,3,3,1
287,E01000292,3,9,0
288,E01000293,9,9,1
289,E01000294,3,3,1
290,E01000295,9,9,1
291,E01000296,3,3,1
292,E01000297,3,3,1
293,E01000298,3,3,1
294,E01000299,6,6,1
295,E01000300,3,3,1
296,E01000301,9,9,1
297,E01000302,3,3,1
298,E01000303,9,9,1
299,E01000304,3,3,1
300,E01000305,4,4,1
301,E01000306,3,6,0
302,E01000307,5,5,1
303,E01000308,4,4,1
304,E01000309,3,3,1
305,E01000310,3,3,1
306,E01000311,3,9,0
307,E01000312,9,9,1
308,E01000313,10,4,0
309,E01000314,9,3,0
310,E01000315,4,4,1
311,E01000316,4,4,1
312,E01000317,9,9,1
313,E01000318,9,9,1
314,E01000319,9,9,1
315,E01000320,9,9,1
316,E01000321,3,3,1
317,E01000322,3,9,0
318,E01000323,3,3,1
319,E01000324,9,9,1
320,E01000325,9,9,1
321,E01000326,9,9,1
322,E01000327,3,3,1
323,E01000328,9,9,1
324,E01000329,3,3,1
325,E01000330,3,3,1
326,E01000331,4,4,1
327,E01000332,3,3,1
328,E01000333,3,3,1
329,E01000334,3,3,1
330,E01000335,5,4,0
331,E01000336,10,10,1
332,E01000337,3,3,1
333,E01000338,3,3,1
334,E01000339,3,3,1
335,E01000340,9,9,1
336,E01000341,9,9,1
337,E01000342,3,9,0
338,E01000343,3,3,1
339,E01000344,9,9,1
340,E01000345,5,3,0
341,E01000346,3,3,1
342,E01000347,9,9,1
343,E01000348,9,9,1
344,E01000349,3,3,1
345,E01000350,3,3,1
346,E01000351,3,9,0
347,E01000352,4,5,0
348,E01000353,9,3,0
349,E01000354,3,9,0
350,E01000355,3,3,1
351,E01000356,9,3,0
352,E01000357,9,9,1
353,E01000358,3,9,0
354,E01000359,3,3,1
355,E01000360,10,10,1
356,E01000361,9,3,0
357,E01000362,3,3,1
358,E01000363,3,4,0
359,E01000364,4,4,1
360,E01000365,3,3,1
361,E01000366,9,9,1
362,E01000367,3,3,1
363,E01000368,3,9,0
364,E01000369,9,9,1
365,E01000370,3,9,0
366,E01000371,9,9,1
367,E01000372,3,3,1
368,E01000373,10,10,1
369,E01000374,4,5,0
370,E01000375,3,3,1
371,E01000376,3,3,1
372,E01000377,4,4,1
373,E01000378,3,4,0
374,E01000379,3,3,1
375,E01000380,3,4,0
376,E01000381,11,11,1
377,E01000382,3,3,1
378,E01000383,4,4,1
379,E01000384,3,3,1
380,E01000385,4,3,0
381,E01000386,11,11,1
382,E01000387,5,3,0
383,E01000388,9,9,1
384,E01000389,3,3,1
385,E01000390,4,5,0
386,E01000391,3,9,0
387,E01000392,3,3,1
388,E01000393,3,3,1
389,E01000394,3,9,0
390,E01000395,3,9,0
391,E01000396,3,3,1
392,E01000398,3,9,0
393,E01000399,3,3,1
394,E01000400,9,9,1
395,E01000401,9,3,0
396,E01000402,4,4,1
397,E01000403,5,5,1
398,E01000404,4,4,1
399,E01000405,11,4,0
400,E01000406,10,10,1
401,E01000407,3,3,1
402,E01000408,11,11,1
403,E01000409,9,9,1
404,E01000410,9,9,1
405,E01000411,9,9,1
406,E01000412,3,3,1
407,E01000413,3,3,1
408,E01000414,3,3,1
409,E01000415,9,9,1
410,E01000416,3,9,0
411,E01000417,4,4,1
412,E01000418,3,3,1
413,E01000419,3,9,0
414,E01000420,3,3,1
415,E01000421,3,3,1
416,E01000422,5,5,1
417,E01000423,3,3,1
418,E01000424,3,3,1
419,E01000425,3,9,0
420,E01000426,4,4,1
421,E01000427,3,3,1
422,E01000428,11,11,1
423,E01000429,3,9,0
424,E01000430,4,4,1
425,E01000431,3,3,1
426,E01000432,3,3,1
427,E01000433,3,3,1
428,E01000434,3,4,0
429,E01000435,3,3,1
430,E01000436,3,3,1
431,E01000437,9,9,1
432,E01000438,3,3,1
433,E01000439,3,3,1
434,E01000440,3,9,0
435,E01000441,3,3,1
436,E01000442,3,3,1
437,E01000443,3,3,1
438,E01000444,4,4,1
439,E01000445,3,3,1
440,E01000446,9,9,1
441,E01000447,4,4,1
442,E01000448,3,3,1
443,E01000449,3,3,1
444,E01000450,3,9,0
445,E01000451,9,9,1
446,E01000452,9,9,1
447,E01000453,9,9,1
448,E01000454,9,9,1
449,E01000455,9,9,1
450,E01000456,9,9,1
451,E01000457,3,3,1
452,E01000458,3,3,1
453,E01000459,3,3,1
454,E01000460,9,9,1
455,E01000461,3,3,1
456,E01000462,3,3,1
457,E01000463,9,9,1
458,E01000464,11,5,0
459,E01000465,5,5,1
460,E01000466,11,11,1
461,E01000467,4,4,1
462,E01000468,3,3,1
463,E01000469,4,11,0
464,E01000470,11,11,1
465,E01000471,9,9,1
466,E01000472,4,4,1
467,E01000473,10,3,0
468,E01000474,9,9,1
469,E01000475,4,4,1
470,E01000476,9,9,1
471,E01000477,3,9,0
472,E01000478,9,9,1
473,E01000479,5,5,1
474,E01000480,3,3,1
475,E01000481,4,4,1
476,E01000482,5,5,1
477,E01000483,5,5,1
478,E01000484,3,9,0
479,E01000485,3,3,1
480,E01000486,3,3,1
481,E01000487,3,3,1
482,E01000488,9,3,0
483,E01000489,3,3,1
484,E01000490,10,10,1
485,E01000491,3,3,1
486,E01000492,9,9,1
487,E01000493,9,3,0
488,E01000494,3,5,0
489,E01000495,5,3,0
490,E01000497,9,9,1
491,E01000498,3,3,1
492,E01000499,9,3,0
493,E01000501,3,7,0
494,E01000502,3,3,1
495,E01000503,9,9,1
496,E01000504,3,3,1
497,E01000505,9,9,1
498,E01000506,3,3,1
499,E01000507,9,9,1
500,E01000508,10,6,0
501,E01000509,9,9,1
502,E01000510,3,3,1
503,E01000511,9,3,0
504,E01000512,3,3,1
505,E01000513,9,9,1
506,E01000514,9,9,1
507,E01000515,5,5,1
