,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Terraced,count_x,lsoa,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Terraced,count_y,proportion_Commercial,proportion_Estates,proportion_High-density,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Terraced
3968,0.0,0.007042253521126761,0.007042253521126761,0.39436619718309857,0.36619718309859156,0.19014084507042253,0.035211267605633804,142,E01004069,0.0,0.007518796992481203,0.007518796992481203,0.45112781954887216,0.3157894736842105,0.18045112781954886,0.03759398496240601,133,0.0,0.00047654347135444187,0.00047654347135444187,0.05676162236577359,-0.05040770941438105,-0.00968971725087367,0.0023827173567722085
3969,0.0,0.08411214953271028,0.018691588785046728,0.42990654205607476,0.102803738317757,0.17757009345794392,0.18691588785046728,107,E01004070,0.0,0.09433962264150944,0.018867924528301886,0.41509433962264153,0.09433962264150944,0.16037735849056603,0.2169811320754717,106,0.0,0.010227473108799165,0.0001763357432551585,-0.01481220243343323,-0.008464115676247566,-0.017192734967377887,0.030065244225004423
3970,0.0,0.08108108108108109,0.05405405405405406,0.21621621621621623,0.02702702702702703,0.05405405405405406,0.5675675675675675,37,E01004071,0.0,0.05405405405405406,0.05405405405405406,0.21621621621621623,0.0,0.08108108108108109,0.5945945945945946,37,0.0,-0.02702702702702703,0.0,0.0,-0.02702702702702703,0.02702702702702703,0.027027027027027084
3971,0.0,0.025,0.025,0.575,0.075,0.0375,0.2625,80,E01004072,0.024390243902439025,0.024390243902439025,0.012195121951219513,0.5975609756097561,0.06097560975609756,0.04878048780487805,0.23170731707317074,82,0.024390243902439025,-0.0006097560975609762,-0.012804878048780489,0.022560975609756118,-0.014024390243902438,0.011280487804878052,-0.030792682926829268
3972,0.0,0.0,0.0,0.37333333333333335,0.05333333333333334,0.06666666666666667,0.5066666666666667,75,E01004073,0.0,0.012658227848101266,0.012658227848101266,0.3037974683544304,0.05063291139240506,0.0759493670886076,0.5443037974683544,79,0.0,0.012658227848101266,0.012658227848101266,-0.06953586497890296,-0.0027004219409282743,0.009282700421940931,0.037637130801687735
3973,0.04672897196261682,0.018691588785046728,0.037383177570093455,0.5981308411214953,0.07476635514018691,0.056074766355140186,0.16822429906542055,107,E01004074,0.056074766355140186,0.028037383177570093,0.037383177570093455,0.6074766355140186,0.06542056074766354,0.056074766355140186,0.14953271028037382,107,0.009345794392523366,0.009345794392523366,0.0,0.009345794392523366,-0.009345794392523366,0.0,-0.01869158878504673
3974,0.025210084033613446,0.0,0.03361344537815126,0.5294117647058824,0.14285714285714285,0.19327731092436976,0.07563025210084033,119,E01004075,0.02564102564102564,0.008547008547008548,0.02564102564102564,0.452991452991453,0.15384615384615385,0.24786324786324787,0.08547008547008547,117,0.0004309416074121941,0.008547008547008548,-0.007972419737125619,-0.07642031171442937,0.010989010989011005,0.054585936938878116,0.00983983336924514
3975,0.003937007874015748,0.023622047244094488,0.003937007874015748,0.2677165354330709,0.3228346456692913,0.3779527559055118,0.0,254,E01004076,0.0040650406504065045,0.028455284552845527,0.012195121951219513,0.25203252032520324,0.34552845528455284,0.35772357723577236,0.0,246,0.00012803277639075652,0.004833237308751039,0.008258114077203765,-0.015684015107867655,0.022693809615261518,-0.020229178669739445,0.0
3976,0.022900763358778626,0.03816793893129771,0.007633587786259542,0.6106870229007634,0.1297709923664122,0.183206106870229,0.007633587786259542,131,E01004077,0.015503875968992248,0.031007751937984496,0.007751937984496124,0.5813953488372093,0.14728682170542637,0.20930232558139536,0.007751937984496124,129,-0.007396887389786378,-0.007160186993313215,0.00011835019823658224,-0.02929167406355404,0.01751582933901416,0.026096218711166352,0.00011835019823658224
3977,0.008264462809917356,0.06611570247933884,0.049586776859504134,0.4132231404958678,0.19834710743801653,0.18181818181818182,0.08264462809917356,121,E01004078,0.008333333333333333,0.058333333333333334,0.06666666666666667,0.4583333333333333,0.18333333333333332,0.15833333333333333,0.06666666666666667,120,6.887052341597762e-05,-0.0077823691460055106,0.017079889807162532,0.045110192837465535,-0.015013774104683214,-0.023484848484848497,-0.01597796143250689
3978,0.0,0.0,0.0,0.8079470198675497,0.059602649006622516,0.11920529801324503,0.013245033112582781,151,E01004079,0.0,0.0,0.0,0.7467532467532467,0.06493506493506493,0.17532467532467533,0.012987012987012988,154,0.0,0.0,0.0,-0.06119377311430296,0.005332415928442413,0.056119377311430296,-0.0002580201255697936
3979,0.0,0.0,0.0,0.8105263157894737,0.031578947368421054,0.15789473684210525,0.0,95,E01004080,0.0,0.010416666666666666,0.010416666666666666,0.75,0.020833333333333332,0.20833333333333334,0.0,96,0.0,0.010416666666666666,0.010416666666666666,-0.06052631578947365,-0.010745614035087721,0.05043859649122809,0.0
3980,0.0,0.01680672268907563,0.025210084033613446,0.46218487394957986,0.15126050420168066,0.07563025210084033,0.2689075630252101,119,E01004081,0.0,0.016666666666666666,0.025,0.4166666666666667,0.14166666666666666,0.10833333333333334,0.2916666666666667,120,0.0,-0.0001400560224089631,-0.00021008403361344463,-0.04551820728291317,-0.009593837535014,0.032703081232493006,0.022759103641456613
3981,0.008547008547008548,0.008547008547008548,0.0,0.9230769230769231,0.017094017094017096,0.02564102564102564,0.017094017094017096,117,E01004082,0.008547008547008548,0.008547008547008548,0.0,0.8888888888888888,0.017094017094017096,0.042735042735042736,0.03418803418803419,117,0.0,0.0,0.0,-0.03418803418803429,0.0,0.017094017094017096,0.017094017094017096
3982,0.0,0.05555555555555555,0.05555555555555555,0.4722222222222222,0.1111111111111111,0.3055555555555556,0.0,36,E01004083,0.0,0.027777777777777776,0.05555555555555555,0.5,0.05555555555555555,0.3611111111111111,0.0,36,0.0,-0.027777777777777776,0.0,0.02777777777777779,-0.05555555555555555,0.055555555555555525,0.0
