LSOA11CD,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Green space,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Low-density,count,lsoa
E01000001,0.17142857142857143,0.0,0.0,0.22380952380952382,0.0,210,E01000001
E01000002,0.14857142857142858,0.0,0.002857142857142857,0.15428571428571428,0.002857142857142857,350,E01000002
E01000003,0.014285714285714285,0.014285714285714285,0.02857142857142857,0.2857142857142857,0.014285714285714285,70,E01000003
E01000005,0.30256410256410254,0.010256410256410256,0.02564102564102564,0.14102564102564102,0.0,390,E01000005
E01000006,0.0,0.005494505494505495,0.054945054945054944,0.2087912087912088,0.3076923076923077,182,E01000006
E01000007,0.07225433526011561,0.07803468208092486,0.0953757225433526,0.11849710982658959,0.04335260115606936,346,E01000007
E01000008,0.04455445544554455,0.06435643564356436,0.22772277227722773,0.01485148514851485,0.0049504950495049506,202,E01000008
E01000009,0.09836065573770492,0.03278688524590164,0.02459016393442623,0.319672131147541,0.036885245901639344,244,E01000009
E01000010,0.15289256198347106,0.04132231404958678,0.09917355371900827,0.1590909090909091,0.008264462809917356,484,E01000010
E01000011,0.006666666666666667,0.006666666666666667,0.02,0.62,0.07333333333333333,150,E01000011
E01000012,0.016483516483516484,0.08241758241758242,0.04945054945054945,0.26373626373626374,0.06593406593406594,182,E01000012
E01000013,0.07307692307692308,0.05384615384615385,0.15,0.007692307692307693,0.31153846153846154,260,E01000013
E01000014,0.003205128205128205,0.02564102564102564,0.34935897435897434,0.009615384615384616,0.3108974358974359,312,E01000014
E01000015,0.0,0.028037383177570093,0.24299065420560748,0.018691588785046728,0.3411214953271028,214,E01000015
E01000016,0.027777777777777776,0.05555555555555555,0.14285714285714285,0.01984126984126984,0.3333333333333333,252,E01000016
E01000017,0.0,0.028925619834710745,0.2190082644628099,0.01652892561983471,0.3347107438016529,242,E01000017
E01000018,0.0,0.04716981132075472,0.19811320754716982,0.0047169811320754715,0.33962264150943394,212,E01000018
E01000019,0.007751937984496124,0.1124031007751938,0.1821705426356589,0.023255813953488372,0.29069767441860467,258,E01000019
E01000020,0.0,0.07661290322580645,0.24596774193548387,0.020161290322580645,0.31451612903225806,248,E01000020
E01000021,0.042735042735042736,0.05555555555555555,0.20085470085470086,0.008547008547008548,0.1623931623931624,234,E01000021
E01000022,0.0,0.132,0.152,0.02,0.304,250,E01000022
E01000023,0.041401273885350316,0.11146496815286625,0.10828025477707007,0.07961783439490445,0.1464968152866242,314,E01000023
E01000024,0.0,0.10326086956521739,0.24456521739130435,0.010869565217391304,0.27717391304347827,184,E01000024
E01000025,0.009174311926605505,0.11467889908256881,0.16055045871559634,0.013761467889908258,0.30275229357798167,218,E01000025
E01000027,0.011730205278592375,0.06451612903225806,0.5102639296187683,0.010263929618768328,0.12609970674486803,682,E01000027
E01000028,0.0,0.22105263157894736,0.11578947368421053,0.05263157894736842,0.15263157894736842,190,E01000028
E01000029,0.005405405405405406,0.02702702702702703,0.22432432432432434,0.002702702702702703,0.4702702702702703,370,E01000029
E01000030,0.0,0.13073394495412843,0.31422018348623854,0.016055045871559634,0.1444954128440367,436,E01000030
E01000031,0.004608294930875576,0.018433179723502304,0.315668202764977,0.07603686635944701,0.24423963133640553,434,E01000031
E01000032,0.049689440993788817,0.031055900621118012,0.12422360248447205,0.07763975155279502,0.3136645962732919,322,E01000032
E01000033,0.0,0.08064516129032258,0.1827956989247312,0.03225806451612903,0.2903225806451613,186,E01000033
E01000034,0.0,0.027439024390243903,0.3384146341463415,0.021341463414634148,0.22560975609756098,328,E01000034
E01000035,0.038461538461538464,0.04358974358974359,0.15897435897435896,0.04871794871794872,0.1564102564102564,390,E01000035
E01000036,0.0,0.0,0.11023622047244094,0.19291338582677164,0.2952755905511811,254,E01000036
E01000037,0.003048780487804878,0.012195121951219513,0.14939024390243902,0.036585365853658534,0.5030487804878049,328,E01000037
E01000038,0.018656716417910446,0.041044776119402986,0.14925373134328357,0.029850746268656716,0.3843283582089552,268,E01000038
E01000039,0.0,0.00872093023255814,0.4069767441860465,0.029069767441860465,0.29069767441860467,344,E01000039
E01000040,0.030534351145038167,0.03816793893129771,0.09923664122137404,0.08396946564885496,0.22900763358778625,262,E01000040
E01000041,0.0045871559633027525,0.09174311926605505,0.15137614678899083,0.013761467889908258,0.3302752293577982,218,E01000041
E01000042,0.0,0.08680555555555555,0.1284722222222222,0.041666666666666664,0.20833333333333334,288,E01000042
E01000043,0.006329113924050633,0.06645569620253164,0.18037974683544303,0.0189873417721519,0.19936708860759494,316,E01000043
E01000044,0.0,0.0035714285714285713,0.10357142857142858,0.4142857142857143,0.10357142857142858,280,E01000044
E01000045,0.03614457831325301,0.050200803212851405,0.22088353413654618,0.014056224899598393,0.14859437751004015,498,E01000045
E01000046,0.0,0.06435643564356436,0.21287128712871287,0.0297029702970297,0.3217821782178218,202,E01000046
E01000048,0.0,0.140625,0.0625,0.109375,0.0625,64,E01000048
E01000049,0.0,0.05555555555555555,0.1712962962962963,0.10185185185185185,0.14814814814814814,216,E01000049
E01000050,0.026785714285714284,0.03125,0.06696428571428571,0.27232142857142855,0.05357142857142857,224,E01000050
E01000051,0.015625,0.09375,0.046875,0.109375,0.0,64,E01000051
E01000052,0.005555555555555556,0.011111111111111112,0.18611111111111112,0.2111111111111111,0.18333333333333332,360,E01000052
E01000053,0.018518518518518517,0.040740740740740744,0.31851851851851853,0.040740740740740744,0.2,270,E01000053
E01000054,0.0,0.05725190839694656,0.11068702290076336,0.03816793893129771,0.4083969465648855,262,E01000054
E01000055,0.005050505050505051,0.07575757575757576,0.21717171717171718,0.020202020202020204,0.3484848484848485,198,E01000055
E01000056,0.0,0.07258064516129033,0.2661290322580645,0.028225806451612902,0.27419354838709675,248,E01000056
E01000057,0.04716981132075472,0.1179245283018868,0.13679245283018868,0.05188679245283019,0.23113207547169812,212,E01000057
E01000058,0.0,0.13725490196078433,0.13725490196078433,0.058823529411764705,0.21568627450980393,204,E01000058
E01000059,0.0,0.09905660377358491,0.16037735849056603,0.04245283018867924,0.330188679245283,212,E01000059
E01000060,0.016597510373443983,0.17219917012448133,0.1950207468879668,0.035269709543568464,0.13485477178423236,482,E01000060
E01000061,0.009259259259259259,0.08950617283950617,0.2777777777777778,0.08333333333333333,0.009259259259259259,324,E01000061
