,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,OA11CD_,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Vehicles,proportion_Sheds,proportion_Terraced,proportion_Fences,proportion_Leafy green residential,proportion_High-density,proportion_Estates,proportion_Commercial
4737,,,1,,1,2,1,2,1,,1,E00004925,,0,1,,1,1,1,2,1,,1,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,
4738,,,,,2,2,,1,1,,1,E00004926,,,1,1,1,3,,1,1,,1,1.0,,0.0,0.0,0.0,,,-1.0,,,
4739,,0,1,,2,2,1,1,1,,0,E00004927,,0,1,,1,1,1,2,1,,1,-1.0,0.0,1.0,1.0,0.0,,0.0,-1.0,,0.0,
4740,1,,1,,1,2,2,1,1,1,1,E00004928,1,,1,,1,2,1,1,1,1,1,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
4741,,1,,1,1,2,1,1,1,1,1,E00004929,,,,1,1,1,1,1,1,1,1,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,
4742,,,1,1,1,2,,,1,,1,E00004930,,,,,1,2,,1,1,,1,0.0,,,0.0,0.0,,,0.0,,,
4743,1,,1,,1,2,,,1,1,1,E00004931,1,,,,1,2,1,1,1,1,2,0.0,,,1.0,0.0,0.0,,0.0,,,0.0
4744,1,,1,1,1,2,1,,1,1,1,E00004932,1,,,1,,2,,,,1,1,0.0,,,0.0,,0.0,,,0.0,,0.0
4745,1,,1,1,,1,,1,1,1,1,E00004933,1,,,1,1,1,,1,1,,1,0.0,,0.0,0.0,0.0,,,,0.0,,0.0
4746,,,1,,1,2,,,1,1,1,E00004934,,,1,1,1,2,,,,2,1,0.0,,,0.0,,1.0,0.0,0.0,,,
4747,,,1,,1,2,,1,1,1,1,E00004935,,,,,1,2,,1,,1,1,0.0,,0.0,0.0,,0.0,,0.0,,,
4748,1,,1,1,1,2,1,1,1,1,1,E00004936,1,1,,1,1,1,1,1,1,1,1,-1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
4749,,,1,1,1,2,1,1,1,,1,E00004937,0,,1,1,1,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,
4750,,,1,1,1,2,1,1,1,1,1,E00004938,,,,,1,2,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,
4751,,,1,1,1,3,,1,1,,1,E00004939,,1,1,,2,2,,1,1,,1,-1.0,,0.0,0.0,0.0,,0.0,1.0,,,
4752,,,1,1,1,2,,1,,,1,E00004940,,,,,1,2,,1,1,,1,0.0,,0.0,0.0,,,,0.0,,,
4753,1,,1,,1,2,1,2,1,,1,E00004941,1,,1,,1,1,1,1,1,,1,-1.0,0.0,-1.0,0.0,0.0,,0.0,0.0,,,0.0
4754,,1,2,,1,1,1,1,1,,1,E00004942,1,1,1,,1,1,1,1,1,,1,0.0,0.0,0.0,0.0,0.0,,-1.0,0.0,,0.0,
4755,,,1,,1,2,1,1,1,,1,E00004943,,,1,,1,2,,1,1,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,,,
4756,,1,1,1,1,2,,1,1,,1,E00004944,,1,1,1,1,1,,1,1,,2,-1.0,,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,
4757,,,1,,1,1,2,1,1,,1,E00004945,,1,1,,1,1,2,1,1,,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,
4758,,1,1,,1,2,1,1,1,,1,E00004946,,1,1,,1,1,1,1,1,,1,-1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,
4759,,,1,1,1,2,1,1,1,,1,E00004947,,1,1,1,1,1,,2,1,1,1,-1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,
4760,,1,,,1,3,1,1,1,,1,E00004948,,,1,,1,3,1,1,1,,1,0.0,0.0,0.0,0.0,0.0,,,0.0,,,
4761,,,1,,1,2,1,1,1,,1,E00004949,,,1,1,1,2,1,1,,,1,0.0,0.0,0.0,0.0,,,0.0,0.0,,,
4762,1,,1,,1,2,1,1,1,,1,E00004950,,1,1,1,1,1,,1,1,,1,-1.0,,0.0,0.0,0.0,,0.0,0.0,,,
4763,,,,,1,3,,1,1,,1,E00004951,,1,1,,1,3,,1,1,,1,0.0,,0.0,0.0,0.0,,,0.0,,,
4764,,,1,0,1,2,1,2,1,,1,E00004952,,,1,1,1,2,1,1,1,,1,0.0,0.0,-1.0,0.0,0.0,,0.0,0.0,1.0,,
4765,1,1,1,1,1,1,1,1,1,,1,E00004953,1,1,1,1,1,1,2,1,1,,1,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
4766,,1,1,1,1,2,1,1,1,,1,E00004954,,1,1,1,1,2,,1,1,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
4767,,1,1,0,1,2,1,1,1,,1,E00004955,0,1,1,,1,1,1,2,1,,1,-1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,
4768,,,,,,1,1,1,1,2,1,E00004956,,,,1,,1,1,,1,2,1,0.0,0.0,,0.0,0.0,0.0,,,,,
4769,1,,,1,,1,,,1,1,1,E00004957,1,,,1,,1,,,,1,2,0.0,,,1.0,,0.0,,,0.0,,0.0
4770,,,,1,1,1,,1,1,2,1,E00004958,,1,,,1,1,,1,,1,1,0.0,,0.0,0.0,,-1.0,,0.0,,,
4771,,,,,,1,,1,1,3,1,E00004959,,,,1,,1,,,1,3,1,0.0,,,0.0,0.0,0.0,,,,,
4772,,,,1,,1,,,1,2,1,E00004960,,1,,1,1,1,,1,1,2,1,0.0,,,0.0,0.0,0.0,,,0.0,,
4773,,,,,1,1,,,1,2,1,E00004961,,,,1,1,1,,,,2,1,0.0,,,0.0,,0.0,,0.0,,,
