,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Fences,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Leafy green residential,clusters_2011_cleanup_Low-density,clusters_2011_cleanup_Open green space,clusters_2011_cleanup_Other green,clusters_2011_cleanup_Sheds,clusters_2011_cleanup_Terraced,clusters_2011_cleanup_Vehicles,LSOA11CD_x,lsoa,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Fences,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Leafy green residential,clusters_2021_cleanup_Low-density,clusters_2021_cleanup_Open green space,clusters_2021_cleanup_Other green,clusters_2021_cleanup_Sheds,clusters_2021_cleanup_Terraced,clusters_2021_cleanup_Vehicles,LSOA11CD_y,proportion_Commercial,proportion_Estates,proportion_Fences,proportion_High-density,proportion_Leafy green residential,proportion_Low-density,proportion_Open green space,proportion_Other green,proportion_Sheds,proportion_Terraced,proportion_Vehicles
3882,0.016483516483516484,0.11538461538461539,0.10989010989010989,0.11538461538461539,0.02197802197802198,0.005494505494505495,0.054945054945054944,0.06593406593406594,0.08241758241758242,0.0,0.12637362637362637,E01003977,E01003977,0.01764705882352941,0.07058823529411765,0.07647058823529412,0.15294117647058825,0.01764705882352941,0.047058823529411764,0.0058823529411764705,0.052941176470588235,0.047058823529411764,0.01764705882352941,0.21176470588235294,E01003977,0.0011635423400129276,-0.044796380090497745,-0.033419521654815765,0.037556561085972856,-0.004330963154492568,0.04156431803490627,-0.049062702003878474,-0.012992889463477701,-0.03535875888817065,0.01764705882352941,0.08539107950872657
3883,0.034653465346534656,0.07920792079207921,0.12871287128712872,0.22277227722772278,0.019801980198019802,0.009900990099009901,0.07425742574257425,0.039603960396039604,0.054455445544554455,0.009900990099009901,0.06435643564356436,E01003978,E01003978,0.028925619834710745,0.05371900826446281,0.13636363636363635,0.23553719008264462,0.008264462809917356,0.0371900826446281,0.04132231404958678,0.06198347107438017,0.03305785123966942,0.008264462809917356,0.12396694214876033,E01003978,-0.005727845511823912,-0.025488912527616397,0.007650765076507637,0.012764912854921845,-0.011537517388102447,0.027289092545618197,-0.032935111692987476,0.022379510678340563,-0.021397594304885033,-0.0016365272890925455,0.059610506505195976
3884,0.059233449477351915,0.08013937282229965,0.07317073170731707,0.16376306620209058,0.0,0.0,0.04529616724738676,0.0313588850174216,0.06968641114982578,0.006968641114982578,0.05226480836236934,E01003979,E01003979,0.05821917808219178,0.0547945205479452,0.09931506849315068,0.1643835616438356,0.0136986301369863,0.003424657534246575,0.003424657534246575,0.0410958904109589,0.07191780821917808,0.003424657534246575,0.1095890410958904,E01003979,-0.0010142713951601379,-0.025344852274354443,0.02614433678583361,0.0006204954417450281,0.0136986301369863,0.003424657534246575,-0.04187150971314019,0.0097370053935373,0.0022313970693522978,-0.0035439835807360032,0.057324232733521066
3885,0.023809523809523808,0.08095238095238096,0.08571428571428572,0.13333333333333333,0.01904761904761905,0.05714285714285714,0.03333333333333333,0.05714285714285714,0.14285714285714285,0.023809523809523808,0.047619047619047616,E01003980,E01003980,0.009615384615384616,0.04326923076923077,0.09134615384615384,0.15865384615384615,0.019230769230769232,0.028846153846153848,0.0,0.08173076923076923,0.07211538461538461,0.052884615384615384,0.09134615384615384,E01003980,-0.014194139194139192,-0.03768315018315019,0.005631868131868126,0.025320512820512814,0.0001831501831501825,-0.028296703296703293,-0.03333333333333333,0.02458791208791209,-0.07074175824175824,0.029075091575091576,0.043727106227106224
3886,0.13043478260869565,0.03985507246376811,0.07971014492753623,0.2608695652173913,0.007246376811594203,0.0036231884057971015,0.014492753623188406,0.018115942028985508,0.028985507246376812,0.018115942028985508,0.021739130434782608,E01003981,E01003981,0.12037037037037036,0.018518518518518517,0.06172839506172839,0.21296296296296297,0.006172839506172839,0.0030864197530864196,0.030864197530864196,0.018518518518518517,0.043209876543209874,0.033950617283950615,0.08641975308641975,E01003981,-0.010064412238325285,-0.021336553945249595,-0.017981749865807833,-0.04790660225442833,-0.0010735373054213638,-0.0005367686527106819,0.016371443907675788,0.0004025764895330096,0.014224369296833062,0.015834675254965107,0.06468062265163714
3887,0.008928571428571428,0.14732142857142858,0.12053571428571429,0.12946428571428573,0.013392857142857142,0.0,0.03125,0.05803571428571429,0.03571428571428571,0.017857142857142856,0.12946428571428573,E01003983,E01003983,0.003703703703703704,0.11851851851851852,0.1037037037037037,0.10740740740740741,0.003703703703703704,0.007407407407407408,0.018518518518518517,0.07037037037037037,0.037037037037037035,0.022222222222222223,0.2,E01003983,-0.005224867724867724,-0.028802910052910052,-0.016832010582010587,-0.022056878306878316,-0.009689153439153438,0.007407407407407408,-0.012731481481481483,0.012334656084656087,0.0013227513227513227,0.004365079365079367,0.07053571428571428
3888,0.05704697986577181,0.050335570469798654,0.07046979865771812,0.10738255033557047,0.02348993288590604,0.050335570469798654,0.040268456375838924,0.06040268456375839,0.050335570469798654,0.12416107382550336,0.09060402684563758,E01003984,E01003984,0.03793103448275862,0.041379310344827586,0.06896551724137931,0.05862068965517241,0.020689655172413793,0.05172413793103448,0.017241379310344827,0.04482758620689655,0.06206896551724138,0.12413793103448276,0.1724137931034483,E01003984,-0.019115945383013193,-0.008956260124971069,-0.0015042814163388069,-0.048761860680398054,-0.0028002777134922482,0.0013885674612358276,-0.023027077065494096,-0.015575098356861841,0.011733395047442724,-2.3142791020600018e-05,0.08180976625781071
3889,0.06315789473684211,0.015789473684210527,0.13157894736842105,0.14210526315789473,0.015789473684210527,0.05263157894736842,0.02631578947368421,0.05789473684210526,0.042105263157894736,0.005263157894736842,0.08421052631578947,E01003986,E01003986,0.022222222222222223,0.027777777777777776,0.07777777777777778,0.16111111111111112,0.0,0.03333333333333333,0.05555555555555555,0.044444444444444446,0.06111111111111111,0.022222222222222223,0.25,E01003986,-0.04093567251461988,0.01198830409356725,-0.053801169590643266,0.019005847953216387,-0.015789473684210527,-0.019298245614035085,0.029239766081871343,-0.013450292397660817,0.019005847953216373,0.016959064327485382,0.16578947368421054
3890,0.014018691588785047,0.037383177570093455,0.06542056074766354,0.1542056074766355,0.06074766355140187,0.11214953271028037,0.014018691588785047,0.056074766355140186,0.14953271028037382,0.004672897196261682,0.07009345794392523,E01003987,E01003987,0.009009009009009009,0.0945945945945946,0.02702702702702703,0.08558558558558559,0.0045045045045045045,0.06756756756756757,0.02252252252252252,0.04504504504504504,0.04504504504504504,0.013513513513513514,0.22972972972972974,E01003987,-0.005009682579776038,0.057211417024501145,-0.038393533720636516,-0.06862002189104992,-0.05624315904689736,-0.0445819651427128,0.008503830933737475,-0.011029721310095143,-0.10448766523532878,0.008840616317251832,0.15963627178580453
3891,0.056,0.032,0.06,0.132,0.006,0.018,0.056,0.026,0.054,0.034,0.096,E01003988,E01003988,0.06521739130434782,0.009057971014492754,0.059782608695652176,0.11956521739130435,0.0036231884057971015,0.010869565217391304,0.021739130434782608,0.05253623188405797,0.02717391304347826,0.025362318840579712,0.17572463768115942,E01003988,0.009217391304347823,-0.02294202898550725,-0.00021739130434782206,-0.012434782608695655,-0.0023768115942028986,-0.007130434782608695,-0.03426086956521739,0.02653623188405797,-0.02682608695652174,-0.00863768115942029,0.07972463768115942
