OA11CD,Commercial,Estates,Fences,High-density,Leafy green residential,Low-density,Open green space,Other green,Sheds,Terraced,Vehicles
E00000001,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
E00000005,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
E00000007,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000013,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0
E00000014,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
E00000016,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,0.0
E00000017,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
E00000018,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
E00000019,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
E00000020,,,,,,,,,,,
E00000021,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000023,2.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0
E00000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000025,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000026,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000027,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000028,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000029,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000030,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000031,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
E00000032,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
E00000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E00000037,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0
E00000038,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
E00000039,2.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0
E00000040,0.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
E00000041,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
E00000042,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
E00000043,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0
