clusters,building_seg,vegetation_seg,car_seg,road_seg,sky_seg,sidewalk_seg,fence_seg,wall_seg,pole_seg,traffic sign_seg,terrain_seg,car,person_seg,traffic light_seg,truck_seg,bicycle_seg,bus_seg,train_seg,motorcycle_seg,person,truck
0,0.3895883651160182,0.08315174231756232,0.1452563744361661,0.13758085299478007,0.33617208974954754,0.08954597702897052,0.022951333742612618,0.016297354285109762,0.012466791597896001,0.0010902710298655986,0.003577934308288407,0.08201797120277146,0.002810844878278635,0.0004117506683549413,0.0003053437373871325,0.0017824967398736092,0.0001268831678042828,0.00017248331227282028,0.0015888525683365928,0.007380434873127306,0.005039514994045686
1,0.03459136346088101,0.32952710053558515,0.011848402674343944,0.23120386851879643,0.4574301017763342,0.06788569092902498,0.053358277292815635,0.01341114620627301,0.01273364213896754,0.0008893604413245657,0.12608889638829524,0.02058223623215279,0.0009134301831553181,0.00046023804515720867,0.0011086884753146867,0.00022486181555016736,0.00011088363886274553,0.00041642824255367337,0.00016823778607568074,0.005710156090278471,0.003226404598553681
2,0.11241720692085287,0.11439091676092766,0.020044323271852786,0.3220557197065475,0.6393391681338428,0.11010484015782009,0.019011296467399,0.009871713764303085,0.0168154293112296,0.0013141157514908104,0.06690921408077327,0.23596641327012446,0.0011656536495822658,0.000718387819884915,0.00016665251297043297,0.0005857719352261993,8.678888407773167e-05,0.00018573570413028118,0.00015736064517354295,0.0087973122560348,0.02636539594378524
3,0.21343481179818738,0.09485188653351065,0.019400145696997027,0.326109169454491,0.4833544174250122,0.14772386933010573,0.027701667192367465,0.011048059693696818,0.02193869542377542,0.0026154717684718546,0.013264432980786122,0.23131920055289917,0.004672621183839617,0.0033027330252763053,0.0005907894001466693,0.002621261956039912,0.0003138259201541213,0.00045159993723095296,0.0006164567693664494,0.04310465483401632,0.02990733296661448
4,0.18238221162913948,0.17289240298960903,0.05147121709042242,0.23909309515358929,0.517075083685968,0.08386793554151184,0.017545590770140642,0.018709114894241808,0.01363551480579042,0.0009707963627379996,0.04362473210572241,0.09814954833061403,0.0016519971776386316,0.0004219787652399815,0.00019132234164282485,0.0006453967287725203,7.308801487248e-05,0.00017595663089386846,0.0004000721660923958,0.004528428182373824,0.008452385689840424
5,0.14299577652757797,0.12340843856084896,0.08104521902536575,0.3033262117423476,0.5546854962026724,0.08905059631167299,0.018450958059001994,0.009058044051587022,0.011623636907719233,0.001099574567582462,0.018158733913517768,0.42596710713377134,0.001740468424143214,0.0004748603747973837,0.00033128074675047996,0.0010759363055566418,0.00014802047667355985,0.0001813433146429828,0.0007699248809440339,0.011019927500779902,0.04583751103661913
6,0.06299899434373953,0.22372076374775776,0.01813803236270012,0.3176079203784443,0.5059243632507919,0.09816806055275185,0.031933980710518325,0.009029129388189878,0.026263718198163907,0.003259768481159798,0.0748607883895154,0.19291219377924582,0.0019516752421178114,0.0040182869537219185,0.000427565550728529,0.0009194288091565341,0.0002723629699169911,0.00031151048243687607,0.00022385527455414392,0.016281045544051322,0.02975846407927333
7,0.20646231072967938,0.125858734214368,0.09485243540883052,0.2745055388578059,0.4700931129374673,0.058410377195196726,0.019199014547745558,0.008532306143936694,0.012402065713238389,0.0010016466864675852,0.02370356686807517,0.20429532858273952,0.0017021428071825385,0.0011800295831691586,0.00031275981651619864,0.0010045775757892763,0.000146463542009003,0.00011242466955369236,0.00045281221625422544,0.013830131133255562,0.019436323771240636
8,0.24514136441734127,0.08659834580568881,0.030771941746360824,0.26632247605886367,0.5468578558009489,0.0918416102860385,0.020990936932101367,0.016736677895469867,0.013756530236099506,0.0007817586763994211,0.040549524897963735,0.07551284464100876,0.0015556971862542815,0.00044916211343069303,0.0002190500166661363,0.0008250183198645016,6.16115593110845e-05,0.00017937761129583946,0.0004338831697987695,0.00403543948288467,0.006725792791945046
9,0.2265152454755413,0.08542125261841547,0.05199058172864595,0.2958164500143282,0.5433688257649327,0.07178527042314187,0.012337224277773017,0.010964147838081296,0.011909122637735397,0.0006660029957804918,0.02984297510837123,0.1741215940876487,0.0015022620157779836,0.00032631248943975743,0.0001749649827303472,0.0008584889563032373,5.444739659294194e-05,0.00013525790749701908,0.0004114948985987087,0.004157806752373118,0.014204835436126903
10,0.49617035260101017,0.06438460193975484,0.05239642342311425,0.18655531556753088,0.19980676464288663,0.10244813271469835,0.04320510740323189,0.011750138593989878,0.01396257304987601,0.0014248563235915593,0.01859774634072545,0.04410704732944787,0.0030169020202203325,0.0009299496542938697,0.0004956493490205057,0.0023365089186354678,0.00016356014572862617,0.000361116000106783,0.0010479485540309565,0.009513862267473215,0.004362699552327055
11,0.013599621674275817,0.6885000374453281,0.009928652795845368,0.14719968568011016,0.06649690956298031,0.040437021038933076,0.03728483065420585,0.019286662323238203,0.00662380796692484,0.0006318408393613559,0.07489389077807823,0.011106633081444165,0.0009619952546668466,0.00016273937106473405,0.00030138485608298936,0.0003400034510272013,3.978116911867019e-05,8.272492201316904e-05,9.18344053685649e-05,0.0021391203255183107,0.001319899244332494
12,0.17853053785989542,0.15818612954980898,0.020573877567529646,0.2257796257444954,0.5251935649275795,0.10246926969230453,0.06463409305924502,0.023348391444304437,0.01228539762910348,0.0010044117190353434,0.049006536747579967,0.044526524969759805,0.001407915881866634,0.0005166864094210878,0.00047499821908823103,0.000534253069398044,7.96470891375771e-05,0.0004393038521718813,0.00030929068849824983,0.004228974757746142,0.004942975635044065
13,0.2341640235702835,0.14018486430462004,0.056792300396690115,0.23418186729054405,0.42925833423512105,0.09876317304737467,0.03367759144989284,0.014799401102066567,0.014350828177887652,0.001102527865845273,0.060886945694014545,0.08713137912767084,0.0020184964277127804,0.0009174559721888235,0.0003473818082717181,0.0011583499832474213,0.0001122634212419285,0.00017477781169379108,0.0005303639814888592,0.009904032926282618,0.00765495320501501
14,0.24143770729401398,0.10013279441592783,0.211627556330798,0.11787217974335075,0.5280244988513803,0.045138927335358126,0.020034131915283568,0.011409303830606782,0.011542562657712627,0.0007144801442876723,0.01800997285128943,0.1383263806118395,0.0017451939341313388,0.00034937282889877864,0.00048433950626425656,0.000752621237897152,0.00024739661941430873,0.00017217763850886698,0.0005371270638160074,0.005953745301182727,0.015220500595947557
15,0.4504021805762938,0.03200307063749545,0.06052872085893184,0.24505451901105707,0.2517529483878304,0.14713608663443814,0.015560105359900411,0.0027293963381979673,0.0237937476241569,0.0031911087320699786,0.002863477205351615,0.08066235113193376,0.01252927207865201,0.005533741824491587,0.001488951322237276,0.00690971895282107,0.004205486405737938,0.0006406369546713797,0.0018392990879778374,0.08071132043808273,0.0161939844783806
16,0.1644593109912404,0.12631548742064055,0.09527528138550605,0.2764459946503102,0.47027111425857854,0.0678501092785585,0.031317799565560016,0.007716897925128678,0.015692589500492005,0.003043674125721231,0.023382317927942146,0.1609562101214929,0.00433007370133093,0.0027322894477219764,0.012451971757168674,0.001965647534665116,0.010056582239063984,0.0011008346711363348,0.0006126564427918626,0.025757565570518986,0.13936718818285115
17,0.2957227796085724,0.10270481191979729,0.022430420937207013,0.22488634129457666,0.35636558488576997,0.10101239182339863,0.09765595248170136,0.021268577407668052,0.02270897421043143,0.004163935675381146,0.01797890920732036,0.04149894092508095,0.005059601885098204,0.004747446368691423,0.007006568681304885,0.002570919415344565,0.0010057172767255543,0.002170522335916544,0.0006677261922062422,0.020611586157592933,0.009881588892310276
18,0.18897102444314154,0.22833536599481144,0.20905160074452525,0.11853309740666994,0.33770526533872525,0.04482421176939367,0.04286282465787237,0.011318276602626666,0.010783442019065675,0.001217838780933606,0.025477226799728196,0.13404827308354395,0.0022834410199948714,0.0005907291024384758,0.000993614463479539,0.0009762643118028973,0.00045635364623039325,0.0003426067009215065,0.0007718284175569883,0.010414747322779408,0.017039885726843205
19,0.08241535618814969,0.4269069638819591,0.015445722123496581,0.22417372185501952,0.17982863304873253,0.08915595935321512,0.06139826640759429,0.02057320368331903,0.013543824291044157,0.0013652348835489633,0.09376337857141524,0.06075505754168232,0.002299338460144715,0.0008064307380338514,0.00033758643480060987,0.000912619116554824,8.664511965409748e-05,0.00022160267864822613,0.0003242351516377273,0.009350681728697975,0.005102665955218276
