,distance,count
0,230.6203993678122,82606.0
1,185.24745518251964,51120.0
2,221.7124428784909,75082.0
3,208.65516698019948,62502.0
4,227.95755441834396,77518.0
5,218.98794229939034,73961.0
6,218.69119340507723,65121.0
7,187.25602397803513,52274.0
8,233.38511866694498,86328.0
9,234.5849831937643,85741.0
10,205.01064101854425,56087.0
11,163.4394296998699,43502.0
12,238.1684388566063,81118.0
13,178.876942763629,49897.0
14,213.95464727676375,68631.0
15,168.47244578995074,40230.0
16,162.1975646819597,34275.0
17,220.4770894852026,59184.0
18,206.44821742411418,55980.0
19,220.4600553100553,65676.0
