,lsoa,hierarchical8_x,hierarchical8_y,same
0,E01000001,1,1,1
1,E01000002,1,1,1
2,E01000003,2,2,1
3,E01000005,3,3,1
4,E01000006,4,4,1
5,E01000007,5,8,0
6,E01000008,6,23,0
7,E01000009,7,7,1
8,E01000010,8,3,0
9,E01000011,9,9,1
10,E01000012,10,10,1
11,E01000013,11,12,0
12,E01000014,11,11,1
13,E01000015,11,11,1
14,E01000016,12,12,1
15,E01000017,11,11,1
16,E01000018,12,12,1
17,E01000019,12,11,0
18,E01000020,11,11,1
19,E01000021,11,11,1
20,E01000022,11,12,0
21,E01000023,13,11,0
22,E01000024,11,11,1
23,E01000025,11,12,0
24,E01000027,5,5,1
25,E01000028,11,11,1
26,E01000029,11,11,1
27,E01000030,14,13,0
28,E01000031,5,5,1
29,E01000032,11,11,1
30,E01000033,11,11,1
31,E01000034,11,5,0
32,E01000035,11,11,1
33,E01000036,12,12,1
34,E01000037,12,12,1
35,E01000038,12,12,1
36,E01000039,5,5,1
37,E01000040,12,12,1
38,E01000041,12,12,1
39,E01000042,11,12,0
40,E01000043,11,11,1
41,E01000044,7,7,1
42,E01000045,13,13,1
43,E01000046,11,11,1
44,E01000048,2,8,0
45,E01000049,11,15,0
46,E01000050,7,7,1
47,E01000051,14,8,0
48,E01000052,15,4,0
49,E01000053,13,11,0
50,E01000054,12,12,1
51,E01000055,11,11,1
52,E01000056,11,11,1
53,E01000057,11,11,1
54,E01000058,11,12,0
55,E01000059,11,12,0
56,E01000060,13,13,1
57,E01000061,6,14,0
58,E01000062,11,12,0
59,E01000063,11,12,0
60,E01000064,11,11,1
61,E01000065,11,11,1
62,E01000066,12,12,1
63,E01000067,11,12,0
64,E01000068,11,12,0
65,E01000069,12,12,1
66,E01000070,12,11,0
67,E01000071,11,12,0
68,E01000072,11,11,1
69,E01000073,11,12,0
70,E01000074,12,11,0
71,E01000075,5,5,1
72,E01000076,12,12,1
73,E01000077,11,11,1
74,E01000078,11,12,0
75,E01000079,11,11,1
76,E01000080,11,11,1
77,E01000081,12,12,1
78,E01000082,11,12,0
79,E01000083,11,11,1
80,E01000084,11,11,1
81,E01000085,12,12,1
82,E01000086,11,11,1
83,E01000087,11,11,1
84,E01000088,12,12,1
85,E01000089,12,12,1
86,E01000090,14,5,0
87,E01000091,11,11,1
88,E01000092,14,14,1
89,E01000093,13,13,1
90,E01000094,16,14,0
91,E01000095,14,6,0
92,E01000096,6,14,0
93,E01000097,11,11,1
94,E01000098,11,11,1
95,E01000099,11,11,1
96,E01000100,11,11,1
97,E01000101,11,11,1
98,E01000102,11,11,1
99,E01000103,11,5,0
100,E01000104,5,14,0
101,E01000105,11,12,0
102,E01000106,13,11,0
103,E01000107,12,12,1
104,E01000108,12,11,0
105,E01000109,12,12,1
106,E01000110,4,12,0
107,E01000111,11,11,1
108,E01000112,15,11,0
109,E01000113,7,4,0
110,E01000114,11,12,0
111,E01000115,11,11,1
112,E01000116,11,12,0
113,E01000117,11,11,1
114,E01000118,11,11,1
115,E01000119,12,12,1
116,E01000120,12,12,1
117,E01000121,11,11,1
118,E01000122,11,11,1
119,E01000123,5,11,0
120,E01000124,5,5,1
121,E01000125,11,8,0
122,E01000126,14,8,0
123,E01000127,11,11,1
124,E01000128,12,11,0
125,E01000129,11,11,1
126,E01000130,11,11,1
127,E01000131,11,11,1
128,E01000132,11,12,0
129,E01000133,11,12,0
