OA11CD,Commercial,Estates,Fences,High-density,Leafy green residential,Low-density,Open green space,Other green,Sheds,Terraced,Vehicles
E00000082,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0
E00000083,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0
E00000084,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0
E00000085,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
E00000086,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
E00000087,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0
E00000088,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0
E00000089,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0
E00000090,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
E00000091,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0
E00000092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E00000093,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
E00000094,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0
E00000095,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0
E00000096,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
E00000097,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0
E00000098,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0
E00000099,1.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0
E00000100,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
E00000101,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
