LSOA11CD,clusters_2011_cleanup_Commercial,clusters_2011_cleanup_Estates,clusters_2011_cleanup_Green space,clusters_2011_cleanup_High-density,clusters_2011_cleanup_Low-density,count,lsoa
E01000001,0.2903225806451613,0.0,0.03225806451612903,0.6774193548387096,0.0,31,E01000001
E01000002,0.17391304347826086,0.0,0.0,0.8260869565217391,0.0,23,E01000002
E01000003,0.125,0.0,0.0,0.875,0.0,8,E01000003
E01000005,0.5666666666666667,0.011111111111111112,0.03333333333333333,0.37777777777777777,0.011111111111111112,90,E01000005
E01000006,0.0,0.0,0.18055555555555555,0.4166666666666667,0.4027777777777778,72,E01000006
E01000007,0.2191780821917808,0.136986301369863,0.3287671232876712,0.1917808219178082,0.1232876712328767,73,E01000007
E01000008,0.030303030303030304,0.030303030303030304,0.8484848484848485,0.030303030303030304,0.06060606060606061,33,E01000008
E01000009,0.10256410256410256,0.02564102564102564,0.07692307692307693,0.6538461538461539,0.14102564102564102,78,E01000009
E01000010,0.2916666666666667,0.10416666666666667,0.2708333333333333,0.2847222222222222,0.04861111111111111,144,E01000010
E01000011,0.05128205128205128,0.0,0.0,0.8717948717948718,0.07692307692307693,78,E01000011
E01000012,0.03076923076923077,0.06153846153846154,0.1076923076923077,0.6153846153846154,0.18461538461538463,65,E01000012
E01000013,0.13675213675213677,0.03418803418803419,0.23931623931623933,0.008547008547008548,0.5811965811965812,117,E01000013
E01000014,0.0,0.01935483870967742,0.4838709677419355,0.05161290322580645,0.44516129032258067,155,E01000014
E01000015,0.010638297872340425,0.010638297872340425,0.3191489361702128,0.010638297872340425,0.648936170212766,94,E01000015
E01000016,0.030612244897959183,0.02040816326530612,0.1836734693877551,0.02040816326530612,0.7448979591836735,98,E01000016
E01000017,0.0,0.020202020202020204,0.31313131313131315,0.010101010101010102,0.6565656565656566,99,E01000017
E01000018,0.0,0.021505376344086023,0.21505376344086022,0.021505376344086023,0.7419354838709677,93,E01000018
E01000019,0.0,0.1388888888888889,0.18518518518518517,0.046296296296296294,0.6296296296296297,108,E01000019
E01000020,0.0,0.0759493670886076,0.26582278481012656,0.02531645569620253,0.6329113924050633,79,E01000020
E01000021,0.08536585365853659,0.10975609756097561,0.32926829268292684,0.036585365853658534,0.43902439024390244,82,E01000021
E01000022,0.0,0.11965811965811966,0.28205128205128205,0.03418803418803419,0.5641025641025641,117,E01000022
E01000023,0.07246376811594203,0.14492753623188406,0.30434782608695654,0.028985507246376812,0.4492753623188406,69,E01000023
E01000024,0.0,0.17721518987341772,0.26582278481012656,0.012658227848101266,0.5443037974683544,79,E01000024
E01000025,0.0,0.07608695652173914,0.20652173913043478,0.05434782608695652,0.6630434782608695,92,E01000025
E01000027,0.007575757575757576,0.025252525252525252,0.73989898989899,0.005050505050505051,0.2222222222222222,396,E01000027
E01000028,0.0,0.2878787878787879,0.25757575757575757,0.06060606060606061,0.3939393939393939,66,E01000028
E01000029,0.0,0.00558659217877095,0.2346368715083799,0.00558659217877095,0.7541899441340782,179,E01000029
E01000030,0.0,0.10160427807486631,0.5347593582887701,0.0213903743315508,0.3422459893048128,187,E01000030
E01000031,0.0,0.0,0.4602272727272727,0.11363636363636363,0.42613636363636365,176,E01000031
E01000032,0.075,0.00625,0.19375,0.0875,0.6375,160,E01000032
E01000033,0.0,0.09375,0.21875,0.0625,0.625,64,E01000033
E01000034,0.0,0.006802721088435374,0.48299319727891155,0.027210884353741496,0.48299319727891155,147,E01000034
E01000035,0.010526315789473684,0.031578947368421054,0.3368421052631579,0.11578947368421053,0.5052631578947369,95,E01000035
E01000036,0.0,0.0,0.13333333333333333,0.19047619047619047,0.6761904761904762,105,E01000036
E01000037,0.005649717514124294,0.005649717514124294,0.11299435028248588,0.01694915254237288,0.8587570621468926,177,E01000037
E01000038,0.03816793893129771,0.030534351145038167,0.16030534351145037,0.030534351145038167,0.7404580152671756,131,E01000038
E01000039,0.006329113924050633,0.0,0.45569620253164556,0.02531645569620253,0.5126582278481012,158,E01000039
E01000040,0.05813953488372093,0.023255813953488372,0.12790697674418605,0.1511627906976744,0.6395348837209303,86,E01000040
E01000041,0.0,0.11475409836065574,0.16393442622950818,0.04918032786885246,0.6721311475409836,61,E01000041
E01000042,0.0,0.07575757575757576,0.30303030303030304,0.030303030303030304,0.5909090909090909,66,E01000042
E01000043,0.009523809523809525,0.0380952380952381,0.3238095238095238,0.009523809523809525,0.6190476190476191,105,E01000043
E01000044,0.0,0.008849557522123894,0.11504424778761062,0.6991150442477876,0.17699115044247787,113,E01000044
E01000045,0.12903225806451613,0.025806451612903226,0.36774193548387096,0.04516129032258064,0.432258064516129,155,E01000045
E01000046,0.0,0.07865168539325842,0.30337078651685395,0.056179775280898875,0.5617977528089888,89,E01000046
E01000048,0.0,0.16666666666666666,0.3333333333333333,0.5,0.0,12,E01000048
E01000049,0.0,0.07142857142857142,0.3142857142857143,0.24285714285714285,0.37142857142857144,70,E01000049
E01000050,0.04285714285714286,0.07142857142857142,0.08571428571428572,0.5428571428571428,0.2571428571428571,70,E01000050
E01000051,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.0,7,E01000051
E01000052,0.0136986301369863,0.0136986301369863,0.2945205479452055,0.3493150684931507,0.3287671232876712,146,E01000052
E01000053,0.031578947368421054,0.09473684210526316,0.49473684210526314,0.06315789473684211,0.3157894736842105,95,E01000053
E01000054,0.0,0.05154639175257732,0.18556701030927836,0.030927835051546393,0.7319587628865979,97,E01000054
E01000055,0.0,0.023809523809523808,0.34523809523809523,0.023809523809523808,0.6071428571428571,84,E01000055
E01000056,0.0,0.02,0.31,0.06,0.61,100,E01000056
E01000057,0.08823529411764706,0.014705882352941176,0.22058823529411764,0.10294117647058823,0.5735294117647058,68,E01000057
E01000058,0.0,0.13186813186813187,0.23076923076923078,0.16483516483516483,0.4725274725274725,91,E01000058
E01000059,0.0,0.08080808080808081,0.26262626262626265,0.010101010101010102,0.6464646464646465,99,E01000059
E01000060,0.010526315789473684,0.21578947368421053,0.4368421052631579,0.02631578947368421,0.3105263157894737,190,E01000060
E01000061,0.02531645569620253,0.16455696202531644,0.7341772151898734,0.05063291139240506,0.02531645569620253,79,E01000061
E01000062,0.0,0.08796296296296297,0.2222222222222222,0.07407407407407407,0.6157407407407407,216,E01000062
E01000063,0.0,0.05405405405405406,0.2072072072072072,0.02702702702702703,0.7117117117117117,111,E01000063
E01000064,0.06666666666666667,0.08333333333333333,0.24166666666666667,0.025,0.5833333333333334,120,E01000064
E01000065,0.023622047244094488,0.015748031496062992,0.4094488188976378,0.06299212598425197,0.4881889763779528,127,E01000065
E01000066,0.0,0.12109375,0.25,0.05078125,0.578125,256,E01000066
E01000067,0.0,0.05263157894736842,0.1286549707602339,0.15789473684210525,0.6608187134502924,171,E01000067
E01000068,0.01694915254237288,0.0,0.2033898305084746,0.15254237288135594,0.6271186440677966,59,E01000068
E01000069,0.007692307692307693,0.0,0.12307692307692308,0.18461538461538463,0.6846153846153846,130,E01000069
E01000070,0.05511811023622047,0.0,0.31496062992125984,0.15748031496062992,0.47244094488188976,127,E01000070
E01000071,0.016129032258064516,0.04838709677419355,0.22580645161290322,0.07258064516129033,0.6370967741935484,124,E01000071
E01000072,0.11235955056179775,0.06741573033707865,0.30337078651685395,0.07865168539325842,0.43820224719101125,89,E01000072
E01000073,0.0,0.0761904761904762,0.1523809523809524,0.047619047619047616,0.7238095238095238,105,E01000073
E01000074,0.0,0.08771929824561403,0.18421052631578946,0.05263157894736842,0.6754385964912281,114,E01000074
E01000075,0.03271028037383177,0.03271028037383177,0.45794392523364486,0.02336448598130841,0.4532710280373832,214,E01000075
E01000076,0.0,0.0761904761904762,0.20952380952380953,0.01904761904761905,0.6952380952380952,105,E01000076
E01000077,0.03508771929824561,0.07017543859649122,0.30701754385964913,0.07894736842105263,0.5087719298245614,114,E01000077
E01000078,0.019230769230769232,0.0673076923076923,0.3076923076923077,0.009615384615384616,0.5961538461538461,104,E01000078
E01000079,0.006578947368421052,0.02631578947368421,0.3881578947368421,0.02631578947368421,0.5526315789473685,152,E01000079
E01000080,0.0,0.04918032786885246,0.32786885245901637,0.01639344262295082,0.6065573770491803,61,E01000080
E01000081,0.0,0.014925373134328358,0.208955223880597,0.014925373134328358,0.7611940298507462,134,E01000081
E01000082,0.018018018018018018,0.036036036036036036,0.22522522522522523,0.0990990990990991,0.6216216216216216,111,E01000082
E01000083,0.022988505747126436,0.04597701149425287,0.3563218390804598,0.0,0.5747126436781609,87,E01000083
E01000084,0.06930693069306931,0.0594059405940594,0.27722772277227725,0.07920792079207921,0.5148514851485149,101,E01000084
E01000085,0.058823529411764705,0.08403361344537816,0.19327731092436976,0.10084033613445378,0.5630252100840336,119,E01000085
E01000086,0.0,0.08,0.13333333333333333,0.10666666666666667,0.68,75,E01000086
E01000087,0.051094890510948905,0.0364963503649635,0.48175182481751827,0.029197080291970802,0.40145985401459855,137,E01000087
E01000088,0.0,0.012048192771084338,0.1686746987951807,0.04819277108433735,0.7710843373493976,83,E01000088
E01000089,0.0,0.0,0.08490566037735849,0.09433962264150944,0.8207547169811321,106,E01000089
E01000090,0.014084507042253521,0.0,0.6795774647887324,0.028169014084507043,0.27816901408450706,284,E01000090
E01000091,0.0,0.13793103448275862,0.41379310344827586,0.034482758620689655,0.41379310344827586,87,E01000091
E01000092,0.022058823529411766,0.04411764705882353,0.6617647058823529,0.0625,0.20955882352941177,272,E01000092
E01000093,0.0,0.16,0.45,0.04,0.35,100,E01000093
E01000094,0.0,0.06593406593406594,0.7252747252747253,0.01098901098901099,0.1978021978021978,91,E01000094
E01000095,0.002364066193853428,0.016548463356973995,0.7683215130023641,0.018912529550827423,0.1938534278959811,423,E01000095
E01000096,0.03260869565217391,0.07608695652173914,0.6956521739130435,0.010869565217391304,0.18478260869565216,92,E01000096
E01000097,0.0,0.16363636363636364,0.3090909090909091,0.02727272727272727,0.5,110,E01000097
E01000098,0.05217391304347826,0.1826086956521739,0.19130434782608696,0.034782608695652174,0.5391304347826087,115,E01000098
E01000099,0.0,0.047619047619047616,0.373015873015873,0.0,0.5793650793650794,126,E01000099
E01000100,0.0,0.031578947368421054,0.4105263157894737,0.010526315789473684,0.5473684210526316,95,E01000100
E01000101,0.036585365853658534,0.0,0.2804878048780488,0.036585365853658534,0.6463414634146342,82,E01000101
E01000102,0.0196078431372549,0.058823529411764705,0.30392156862745096,0.0392156862745098,0.5784313725490197,102,E01000102
E01000103,0.0,0.007692307692307693,0.46153846153846156,0.038461538461538464,0.49230769230769234,130,E01000103
E01000104,0.0,0.17333333333333334,0.5333333333333333,0.04,0.25333333333333335,75,E01000104
E01000105,0.012345679012345678,0.13580246913580246,0.14814814814814814,0.12345679012345678,0.5802469135802469,81,E01000105
