"","clusters_2011_cleanup_Commercial","clusters_2011_cleanup_Estates","clusters_2011_cleanup_High.density","clusters_2011_cleanup_Low.density","clusters_2011_cleanup_Open.green.space","clusters_2011_cleanup_Other.green","clusters_2011_cleanup_Terraced","hierarchical8","LSOA11CD"
"784",0.322981366459627,0.0186335403726708,0.0434782608695652,0.298136645962733,0.0248447204968944,0.062111801242236,0.229813664596273,5,"E01000799"
"785",0,0.0198675496688742,0.0927152317880795,0.28476821192053,0.165562913907285,0.231788079470199,0.205298013245033,6,"E01000800"
"786",0.0205479452054795,0.0136986301369863,0.0410958904109589,0.684931506849315,0.0547945205479452,0.164383561643836,0.0205479452054795,3,"E01000801"
"787",0.038961038961039,0.00649350649350649,0.12987012987013,0.25974025974026,0.012987012987013,0.051948051948052,0.5,5,"E01000802"
"788",0.00694444444444444,0.0625,0.0416666666666667,0.236111111111111,0.0694444444444444,0.111111111111111,0.472222222222222,5,"E01000803"
"789",0.012396694214876,0.00413223140495868,0.0165289256198347,0.487603305785124,0.0371900826446281,0.43801652892562,0.00413223140495868,6,"E01000804"
"790",0.0409356725146199,0.0701754385964912,0.16374269005848,0.374269005847953,0.0350877192982456,0.0350877192982456,0.280701754385965,5,"E01000805"
"791",0.16504854368932,0.0194174757281553,0.184466019417476,0.16504854368932,0.116504854368932,0.174757281553398,0.174757281553398,6,"E01000806"
"792",0.14963503649635,0.0109489051094891,0,0.467153284671533,0.0510948905109489,0.321167883211679,0,6,"E01000807"
"793",0,0,0,0.559485530546624,0.154340836012862,0.286173633440514,0,6,"E01000808"
"794",0,0.00344827586206897,0.00344827586206897,0.562068965517241,0.0551724137931034,0.375862068965517,0,6,"E01000809"
"795",0,0.00313479623824451,0,0.601880877742947,0.0846394984326019,0.310344827586207,0,3,"E01000810"
"796",0,0.0165289256198347,0.00826446280991736,0.706611570247934,0.0247933884297521,0.243801652892562,0,3,"E01000811"
"797",0.03125,0.0170454545454545,0.0227272727272727,0.465909090909091,0.159090909090909,0.275568181818182,0.0284090909090909,6,"E01000812"
"798",0.00704225352112676,0,0.0105633802816901,0.482394366197183,0.0669014084507042,0.433098591549296,0,6,"E01000813"
"799",0,0.00887573964497041,0.00591715976331361,0.618343195266272,0.0887573964497041,0.27810650887574,0,6,"E01000814"
"800",0,0.00655737704918033,0,0.659016393442623,0.0786885245901639,0.255737704918033,0,3,"E01000815"
"801",0,0.00833333333333333,0.0375,0.695833333333333,0.0208333333333333,0.229166666666667,0.00833333333333333,3,"E01000816"
"802",0,0,0,0.706521739130435,0.144927536231884,0.144927536231884,0.0036231884057971,3,"E01000818"
"803",0.0311284046692607,0.0272373540856031,0.0544747081712062,0.513618677042802,0.116731517509728,0.186770428015564,0.0700389105058366,3,"E01000819"
"804",0.0333333333333333,0.0619047619047619,0.0333333333333333,0.442857142857143,0.0619047619047619,0.266666666666667,0.1,6,"E01000820"
"805",0.00675675675675676,0.0405405405405405,0.0337837837837838,0.418918918918919,0.0945945945945946,0.155405405405405,0.25,3,"E01000822"
"806",0.0238095238095238,0.00952380952380952,0.0714285714285714,0.480952380952381,0.0904761904761905,0.128571428571429,0.195238095238095,3,"E01000823"
"807",0.0633802816901408,0.0422535211267606,0.154929577464789,0.443661971830986,0.00704225352112676,0.0915492957746479,0.197183098591549,3,"E01000824"
"808",0.032051282051282,0.0961538461538462,0.0897435897435897,0.487179487179487,0.0448717948717949,0.147435897435897,0.102564102564103,3,"E01000825"
"809",0,0,0.00261096605744125,0.4177545691906,0.10443864229765,0.475195822454308,0,6,"E01000826"
"810",0.0174927113702624,0.0204081632653061,0.0145772594752187,0.399416909620991,0.14868804664723,0.399416909620991,0,6,"E01000827"
"811",0,0.00766283524904215,0.0229885057471264,0.371647509578544,0.145593869731801,0.452107279693487,0,6,"E01000828"
"812",0,0.0473933649289099,0.004739336492891,0.644549763033175,0.042654028436019,0.227488151658768,0.033175355450237,3,"E01000829"
"813",0,0.00436681222707424,0.00218340611353712,0.502183406113537,0.150655021834061,0.34061135371179,0,6,"E01000830"
"814",0,0.0390879478827362,0,0.495114006514658,0.11400651465798,0.351791530944625,0,6,"E01000831"
"815",0.00735294117647059,0.00490196078431373,0,0.458333333333333,0.286764705882353,0.242647058823529,0,6,"E01000832"
"816",0,0,0,0.588679245283019,0.0867924528301887,0.324528301886792,0,3,"E01000833"
"817",0,0,0,0.677824267782427,0.0251046025104603,0.297071129707113,0,3,"E01000834"
"818",0.173770491803279,0.00327868852459016,0.0622950819672131,0.547540983606557,0.0163934426229508,0.177049180327869,0.019672131147541,6,"E01000835"
"819",0,0,0,0.660377358490566,0.00943396226415094,0.330188679245283,0,3,"E01000836"
"820",0,0.0476190476190476,0.0317460317460317,0.496031746031746,0.0674603174603175,0.353174603174603,0.00396825396825397,6,"E01000837"
"821",0,0.00617283950617284,0,0.570987654320988,0.169753086419753,0.253086419753086,0,6,"E01000838"
"822",0,0.00819672131147541,0,0.770491803278688,0.0491803278688525,0.172131147540984,0,3,"E01000839"
"823",0,0,0.00719424460431655,0.369304556354916,0.323741007194245,0.299760191846523,0,6,"E01000840"
"824",0.0752351097178683,0,0.00626959247648903,0.652037617554859,0.0626959247648903,0.200626959247649,0.00313479623824451,3,"E01000841"
"825",0,0.133333333333333,0.106666666666667,0.2,0,0.0266666666666667,0.533333333333333,5,"E01000842"
"826",0.0689655172413793,0.0689655172413793,0.0344827586206897,0.293103448275862,0.0172413793103448,0.0689655172413793,0.448275862068966,5,"E01000843"
"827",0.037037037037037,0.0740740740740741,0.0740740740740741,0.259259259259259,0.0185185185185185,0.148148148148148,0.388888888888889,5,"E01000844"
"828",0.259259259259259,0.123456790123457,0.0740740740740741,0.222222222222222,0.0987654320987654,0.0864197530864197,0.135802469135802,6,"E01000845"
"829",0.0487804878048781,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.219512195121951,0.390243902439024,0.0487804878048781,4,"E01000846"
"830",0.0909090909090909,0.0909090909090909,0.0545454545454545,0.2,0.272727272727273,0.127272727272727,0.163636363636364,6,"E01000847"
"831",0.116279069767442,0.0930232558139535,0.0813953488372093,0.255813953488372,0.0697674418604651,0.0232558139534884,0.36046511627907,5,"E01000848"
"832",0.130434782608696,0.0579710144927536,0.0434782608695652,0.130434782608696,0.0144927536231884,0.0434782608695652,0.579710144927536,5,"E01000849"
