LSOA11CD,clusters_2021_cleanup_Commercial,clusters_2021_cleanup_Estates,clusters_2021_cleanup_Green space,clusters_2021_cleanup_High-density,clusters_2021_cleanup_Low-density,count,lsoa
E01000001,0.4473684210526316,0.0,0.0,0.5526315789473685,0.0,38,E01000001
E01000002,0.4642857142857143,0.0,0.0,0.5357142857142857,0.0,28,E01000002
E01000003,0.1111111111111111,0.0,0.0,0.8888888888888888,0.0,9,E01000003
E01000005,0.6904761904761905,0.0,0.023809523809523808,0.2857142857142857,0.0,84,E01000005
E01000006,0.0,0.0,0.09230769230769231,0.38461538461538464,0.5230769230769231,65,E01000006
E01000007,0.208955223880597,0.19402985074626866,0.208955223880597,0.29850746268656714,0.08955223880597014,67,E01000007
E01000008,0.10714285714285714,0.07142857142857142,0.75,0.07142857142857142,0.0,28,E01000008
E01000009,0.1875,0.0375,0.025,0.7,0.05,80,E01000009
E01000010,0.2903225806451613,0.10483870967741936,0.21774193548387097,0.3629032258064516,0.024193548387096774,124,E01000010
E01000011,0.0,0.0,0.025974025974025976,0.8831168831168831,0.09090909090909091,77,E01000011
E01000012,0.03278688524590164,0.11475409836065574,0.09836065573770492,0.6065573770491803,0.14754098360655737,61,E01000012
E01000013,0.13131313131313133,0.09090909090909091,0.25252525252525254,0.0,0.5252525252525253,99,E01000013
E01000014,0.0,0.041666666666666664,0.4583333333333333,0.020833333333333332,0.4791666666666667,144,E01000014
E01000015,0.0,0.05263157894736842,0.35789473684210527,0.031578947368421054,0.5578947368421052,95,E01000015
E01000016,0.036585365853658534,0.0975609756097561,0.1951219512195122,0.04878048780487805,0.6219512195121951,82,E01000016
E01000017,0.0,0.05333333333333334,0.29333333333333333,0.0,0.6533333333333333,75,E01000017
E01000018,0.0,0.0963855421686747,0.2289156626506024,0.012048192771084338,0.6626506024096386,83,E01000018
E01000019,0.010869565217391304,0.1956521739130435,0.25,0.03260869565217391,0.5108695652173914,92,E01000019
E01000020,0.0,0.13333333333333333,0.32,0.02666666666666667,0.52,75,E01000020
E01000021,0.09722222222222222,0.125,0.3472222222222222,0.0,0.4305555555555556,72,E01000021
E01000022,0.0,0.22772277227722773,0.26732673267326734,0.0297029702970297,0.4752475247524752,101,E01000022
E01000023,0.09836065573770492,0.2459016393442623,0.21311475409836064,0.03278688524590164,0.4098360655737705,61,E01000023
E01000024,0.0,0.20270270270270271,0.28378378378378377,0.02702702702702703,0.4864864864864865,74,E01000024
E01000025,0.0,0.19148936170212766,0.22340425531914893,0.010638297872340425,0.574468085106383,94,E01000025
E01000027,0.015748031496062992,0.08923884514435695,0.7244094488188977,0.010498687664041995,0.16010498687664043,381,E01000027
E01000028,0.0,0.463768115942029,0.18840579710144928,0.08695652173913043,0.2608695652173913,69,E01000028
E01000029,0.01098901098901099,0.027472527472527472,0.26373626373626374,0.0,0.6978021978021978,182,E01000029
E01000030,0.0,0.2545454545454545,0.4484848484848485,0.030303030303030304,0.26666666666666666,165,E01000030
E01000031,0.0,0.023391812865497075,0.43859649122807015,0.11695906432748537,0.42105263157894735,171,E01000031
E01000032,0.07633587786259542,0.061068702290076333,0.16793893129770993,0.1450381679389313,0.549618320610687,131,E01000032
E01000033,0.0,0.1724137931034483,0.27586206896551724,0.05172413793103448,0.5,58,E01000033
E01000034,0.0,0.05303030303030303,0.5757575757575758,0.03787878787878788,0.3333333333333333,132,E01000034
E01000035,0.022222222222222223,0.05555555555555555,0.35555555555555557,0.12222222222222222,0.4444444444444444,90,E01000035
E01000036,0.0,0.0,0.15315315315315314,0.36036036036036034,0.4864864864864865,111,E01000036
E01000037,0.0058823529411764705,0.023529411764705882,0.18235294117647058,0.041176470588235294,0.7470588235294118,170,E01000037
E01000038,0.024390243902439025,0.04878048780487805,0.2601626016260163,0.032520325203252036,0.6341463414634146,123,E01000038
E01000039,0.0,0.02097902097902098,0.4405594405594406,0.03496503496503497,0.5034965034965035,143,E01000039
E01000040,0.039473684210526314,0.09210526315789473,0.15789473684210525,0.18421052631578946,0.5263157894736842,76,E01000040
E01000041,0.0,0.12727272727272726,0.2727272727272727,0.03636363636363636,0.5636363636363636,55,E01000041
