"","LSOA11CD","clusters_2021_cleanup_Commercial","clusters_2021_cleanup_Estates","clusters_2021_cleanup_High.density","clusters_2021_cleanup_Low.density","clusters_2021_cleanup_Open.green.space","clusters_2021_cleanup_Other.green","clusters_2021_cleanup_Terraced","count","lsoa","hierarchical8"
"1","E01000001",0.444444444444444,0,0.511111111111111,0,0,0,0.0444444444444444,45,"E01000001",1
"2","E01000002",0.549019607843137,0,0.372549019607843,0.0196078431372549,0,0,0.0588235294117647,51,"E01000002",1
"3","E01000003",0.105263157894737,0.0526315789473684,0.631578947368421,0.0526315789473684,0.105263157894737,0.0526315789473684,0,19,"E01000003",2
"4","E01000005",0.71551724137931,0.00862068965517241,0.21551724137931,0,0.0258620689655172,0.0344827586206897,0,116,"E01000005",3
"5","E01000006",0,0,0.0338983050847458,0.610169491525424,0.00847457627118644,0.0677966101694915,0.279661016949153,118,"E01000006",4
"6","E01000007",0.141666666666667,0.166666666666667,0.308333333333333,0.125,0.0916666666666667,0.166666666666667,0,120,"E01000007",5
"7","E01000008",0.0405405405405405,0.0810810810810811,0.0405405405405405,0,0.121621621621622,0.716216216216216,0,74,"E01000008",16
"8","E01000009",0.169354838709677,0.0564516129032258,0.0725806451612903,0.112903225806452,0,0.0403225806451613,0.548387096774194,124,"E01000009",7
"9","E01000010",0.283653846153846,0.0721153846153846,0.192307692307692,0.0240384615384615,0.0576923076923077,0.230769230769231,0.139423076923077,208,"E01000010",6
"10","E01000011",0.00943396226415094,0,0.0188679245283019,0.122641509433962,0,0,0.849056603773585,106,"E01000011",8
"11","E01000012",0.037037037037037,0.0864197530864197,0.333333333333333,0.209876543209877,0,0.0740740740740741,0.259259259259259,81,"E01000012",13
"12","E01000013",0.111801242236025,0.0248447204968944,0.0062111801242236,0.658385093167702,0,0.198757763975155,0,161,"E01000013",4
"13","E01000014",0,0.00884955752212389,0.00442477876106195,0.539823008849557,0.190265486725664,0.256637168141593,0,226,"E01000014",4
"14","E01000015",0,0,0.0142857142857143,0.585714285714286,0.114285714285714,0.271428571428571,0.0142857142857143,140,"E01000015",4
"15","E01000016",0.0246913580246914,0.0185185185185185,0.0185185185185185,0.691358024691358,0.0185185185185185,0.209876543209877,0.0185185185185185,162,"E01000016",4
"16","E01000017",0,0.0132450331125828,0.0132450331125828,0.655629139072848,0.00662251655629139,0.311258278145695,0,151,"E01000017",4
"17","E01000018",0,0.0197368421052632,0.00657894736842105,0.703947368421053,0.00657894736842105,0.256578947368421,0.00657894736842105,152,"E01000018",4
"18","E01000019",0,0.0459770114942529,0.028735632183908,0.649425287356322,0.0114942528735632,0.252873563218391,0.0114942528735632,174,"E01000019",4
"19","E01000020",0,0.0548780487804878,0.0426829268292683,0.573170731707317,0.00609756097560976,0.323170731707317,0,164,"E01000020",4
"20","E01000021",0.087719298245614,0.043859649122807,0.0087719298245614,0.482456140350877,0.0087719298245614,0.359649122807018,0.0087719298245614,114,"E01000021",9
"21","E01000022",0,0.0869565217391304,0.0124223602484472,0.714285714285714,0,0.180124223602484,0.0062111801242236,161,"E01000022",4
