"","oa_name","clusters_2011_cleanup_Commercial","clusters_2011_cleanup_Estates","clusters_2011_cleanup_High.density","clusters_2011_cleanup_Low.density","clusters_2011_cleanup_Open.green.space","clusters_2011_cleanup_Other.green","clusters_2011_cleanup_Terraced","count","OA","hierarchical8"
"1","E00000007",0.413793103448276,0,0.482758620689655,0,0.0344827586206897,0,0.0689655172413793,29,"E00000007",1
"2","E00000013",0.5,0,0.5,0,0,0,0,2,"E00000013",2
"3","E00000019",0.333333333333333,0,0.666666666666667,0,0,0,0,3,"E00000019",1
"4","E00000021",0.529411764705882,0,0.470588235294118,0,0,0,0,17,"E00000021",3
"5","E00000023",0,0,1,0,0,0,0,1,"E00000023",2
"6","E00000024",0.512605042016807,0.0168067226890756,0.403361344537815,0,0,0.0504201680672269,0.0168067226890756,119,"E00000024",2
"7","E00000025",0.305970149253731,0,0.522388059701492,0,0.00746268656716418,0.0149253731343284,0.149253731343284,134,"E00000025",2
"8","E00000026",0.425,0.00833333333333333,0.466666666666667,0,0,0.025,0.075,120,"E00000026",4
"9","E00000027",0.479166666666667,0,0.4375,0,0,0.0208333333333333,0.0625,48,"E00000027",5
"10","E00000028",0.369230769230769,0,0.523076923076923,0.0153846153846154,0,0,0.0923076923076923,65,"E00000028",2
"11","E00000029",0.655172413793103,0.0229885057471264,0.241379310344828,0.0229885057471264,0.0114942528735632,0.0459770114942529,0,87,"E00000029",2
"12","E00000030",0.764705882352941,0,0.235294117647059,0,0,0,0,17,"E00000030",2
"13","E00000032",0,0,0.5,0.5,0,0,0,2,"E00000032",3
"14","E00000035",0.525139664804469,0.00558659217877095,0.363128491620112,0,0.0111731843575419,0.0111731843575419,0.0837988826815642,179,"E00000035",2
"15","E00000037",0.0434782608695652,0.0434782608695652,0.130434782608696,0.0434782608695652,0,0,0.739130434782609,23,"E00000037",5
"16","E00000038",0.0833333333333333,0,0,0.125,0,0,0.791666666666667,24,"E00000038",6
"17","E00000039",0,0.125,0.5,0.375,0,0,0,8,"E00000039",2
