,Unnamed: 0_x,matched,p,clusters_2011_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,keep
1,592019_d,14,0.15250050301524531,Low-density,592019,E00022108,E00022108,E01004392,813980,-0.0312633887777695,51.5858573740317,vPmeM1gxJyGYSj-P4km_Ig,51.5858705764723,-0.0312602089758034,6,2008,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,592019,592019_d,1
3,592018_d,14,0.005894249688196185,Low-density,592018,E00022108,E00022108,E01004392,813979,-0.0309941623366074,51.5859221349921,YW_2qqrQ_cnmn8vfx3LMiQ,51.58593792145351,-0.0309911483721345,8,2012,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,592018,592018_d,1
4,591927_d,14,0.4014738471508442,Low-density,591927,E00022108,E00022108,E01004392,813868,-0.0342849288921081,51.585078408154,sqKTWLzJpuUHnhcUH7C0lQ,51.5850785845445,-0.0342794919868806,6,2008,241.47456321769,41772219-2061-47D4-A39C-731C2BFA4134,591927,591927_d,1
5,591928_d,4,0.5057654232266777,Low-density,591928,E00022108,E00022108,E01004392,813869,-0.0345421267973359,51.5849968580892,T4C3l_QBNMG4DG8GuryHgg,51.5849965770955,-0.0345305401389641,7,2011,241.47456321769,41772219-2061-47D4-A39C-731C2BFA4134,591928,591928_d,1
7,592014_d,13,0.1826308104258989,Estates,592014,E00022108,E00022108,E01004392,813975,-0.0300760120125289,51.5859413148046,ZphodC5uVGc3rQN51vAKgQ,51.5859697830506,-0.0300560713880364,8,2012,154.384515679358,D0C62748-55DD-4522-99EB-3A7765CF0E5D,592014,592014_d,1
8,591925_d,0,0.07821039220553105,Terraced,591925,E00022108,E00022108,E01004392,813866,-0.0337705680639926,51.5852415526982,bfpUGHC5YGDgE_RXozljfA,51.58522828323781,-0.0337991688164024,6,2008,241.464348725365,41772219-2061-47D4-A39C-731C2BFA4134,591925,591925_d,1
11,592020_d,0,0.19042640102479846,Terraced,592020,E00022108,E00022108,E01004392,813981,-0.0315326144674053,51.58579261244471,YlEt91kj9mkVMk_f_wxnDg,51.585809397182295,-0.0315103097246766,6,2008,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,592020,592020_d,1
12,591923_d,0,0.3648017921255293,Terraced,591923,E00022108,E00022108,E01004392,813864,-0.0332368683172799,51.5853779883731,V3-g3Dnv5Vcl-qZrgibl5A,51.5853842128461,-0.0332480609955579,6,2008,241.461758073565,41772219-2061-47D4-A39C-731C2BFA4134,591923,591923_d,1
14,591915_d,6,0.17330266787911575,Other green,591915,E00022108,E00022108,E01004392,813856,-0.0351142215639333,51.58493993477239,yLNVTDwGFjMK2HiHyPlTHQ,51.5849667206964,-0.0351034605423434,8,2012,156.364045618863,7B64D543-C3AA-4964-9161-4081B1547B85,591915,591915_d,1
16,592017_d,8,0.39463391077653287,Low-density,592017,E00022108,E00022108,E01004392,813978,-0.0307249352263061,51.5859868954589,CX_y8YRatZdYW5Bl_P1uIg,51.5860051790088,-0.0307270139420145,6,2008,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,592017,592017_d,1
18,591924_d,0,0.31211556887756986,Terraced,591924,E00022108,E00022108,E01004392,813865,-0.0335052486193308,51.5853118833101,EZ6ZgFCS4IsmPab5hsx-Pw,51.5853031012222,-0.0335353164206815,6,2008,241.461758073565,41772219-2061-47D4-A39C-731C2BFA4134,591924,591924_d,1
19,592023_d,1,0.11604271207708416,Open green space,592023,E00022108,E00022108,E01004392,813984,-0.0323402870270837,51.5855983239246,2OIIBNGjrgTGGDUbFxpfZg,51.5855930851002,-0.0323778446779407,8,2012,246.899799394523,41772219-2061-47D4-A39C-731C2BFA4134,592023,592023_d,1
20,591999_d,9,0.009168527013386663,Low-density,591999,E00022080,E00022080,E01004392,813958,-0.0305249632878828,51.5852326793904,vIV-U66jAsW2IzC5fXufPw,51.5852258869448,-0.0305261101404491,8,2012,245.059494697242,1B53702C-44C1-422D-A0ED-BBB2D1CC99FC,591999,591999_d,1
