,Unnamed: 0.1,clusters,clusters_2011_edited,clusters_2011_cleanup,idx,oa_name,OA11CD,LSOA11CD,Unnamed: 0,xcoord,ycoord,panoid,lat,lon,month,year,azi,id
20,592085_b,18,0,High-density,592085,E00022087,E00022087,E01004392,814056,-0.0282168582214865,51.5850181920328,C8f0G20sZhAdZ8ACojdtbg,51.58501318756821,-0.0282171808492533,11,2008,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E
21,592074_d,18,0,High-density,592074,E00022087,E00022087,E01004392,814042,-0.0278711384184832,51.5859477188266,pOKavyuzGEOpRNAu488-nw,51.5859460006775,-0.0278642516803934,8,2012,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4
22,592074_b,18,0,High-density,592074,E00022087,E00022087,E01004392,814042,-0.0278711384184832,51.5859477188266,pOKavyuzGEOpRNAu488-nw,51.5859460006775,-0.0278642516803934,8,2012,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4
23,592657_d,10,1,Green space,592657,E00171483,E00171483,E01004392,814790,-0.0296368349232297,51.5819276185864,VrWoUjxu8QRRmjASUrWO5g,51.5819314813094,-0.0296422281496562,7,2011,249.591954570558,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
24,592657_b,11,13,Estates,592657,E00171483,E00171483,E01004392,814790,-0.0296368349232297,51.5819276185864,VrWoUjxu8QRRmjASUrWO5g,51.5819314813094,-0.0296422281496562,7,2011,249.591954570558,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
25,592704_b,6,10,High-density,592704,E00171483,E00171483,E01004392,814856,-0.0271589556606023,51.5822920001793,aStkvhlc2T1V4fVyrPBUoA,51.5823035156234,-0.0271022681071243,8,2012,259.541329895436,28EE9CE0-BAE7-4076-9824-4C22E006849A
26,592704_d,10,1,Green space,592704,E00171483,E00171483,E01004392,814856,-0.0271589556606023,51.5822920001793,aStkvhlc2T1V4fVyrPBUoA,51.5823035156234,-0.0271022681071243,8,2012,259.541329895436,28EE9CE0-BAE7-4076-9824-4C22E006849A
27,592701_d,10,1,Green space,592701,E00171483,E00171483,E01004392,814853,-0.02630421774914,51.582377582867096,Sh6nyo3-nltelqiRgKDvGA,51.5823906485726,-0.0262730075244339,8,2012,258.505004282196,28EE9CE0-BAE7-4076-9824-4C22E006849A
28,592654_d,10,1,Green space,592654,E00171483,E00171483,E01004392,814787,-0.0287880103594523,51.5820302420349,Br6ccPSQEHLRT9ggpRBOAQ,51.58205441045071,-0.0287898534217171,7,2011,258.498120561916,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
29,592654_b,6,10,High-density,592654,E00171483,E00171483,E01004392,814787,-0.0287880103594523,51.5820302420349,Br6ccPSQEHLRT9ggpRBOAQ,51.58205441045071,-0.0287898534217171,7,2011,258.498120561916,8AD61D4A-2097-4E6B-B2A1-95836A2E528D
30,592107_d,10,1,Green space,592107,E00171483,E00171483,E01004392,814079,-0.0286601323124377,51.5840081787187,Zc5poHRO8gfUtJaaClr6DQ,51.5839800920426,-0.02861542337021,8,2012,168.403419029417,E24B36A1-FF81-44C8-B151-9D03A2B6414A
31,592107_b,18,0,High-density,592107,E00171483,E00171483,E01004392,814079,-0.0286601323124377,51.5840081787187,Zc5poHRO8gfUtJaaClr6DQ,51.5839800920426,-0.02861542337021,8,2012,168.403419029417,E24B36A1-FF81-44C8-B151-9D03A2B6414A
32,592705_d,14,1,Green space,592705,E00171483,E00171483,E01004392,814857,-0.0274440487574531,51.5822641484822,g9A2YMQv2c0qT5X2F5wR3Q,51.5822737619664,-0.0274050295383891,8,2012,259.541329895436,28EE9CE0-BAE7-4076-9824-4C22E006849A
