,Unnamed: 0.1,clusters,clusters_2011_edited,clusters_2011_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,keep
0,592657_d,10,1,Green space,592657,E00171483,E00171483,E01004392,814790,-0.0296368349232297,51.5819276185864,VrWoUjxu8QRRmjASUrWO5g,51.5819314813094,-0.0296422281496562,7,2011,249.591954570558,8AD61D4A-2097-4E6B-B2A1-95836A2E528D,592657,592657_d,1
2,592701_d,10,1,Green space,592701,E00171483,E00171483,E01004392,814853,-0.02630421774914,51.582377582867096,Sh6nyo3-nltelqiRgKDvGA,51.5823906485726,-0.0262730075244339,8,2012,258.505004282196,28EE9CE0-BAE7-4076-9824-4C22E006849A,592701,592701_d,1
3,593101_d,3,11,Green space,593101,E00171483,E00171483,E01004392,815339,-0.0321493177388084,51.5813484230509,4Ta2__aPsP6zv1MWeI0DbA,51.5813443434772,-0.0321697083328713,8,2012,243.181669477184,562004DC-D9BC-4A6B-950E-910FC3B5FF9C,593101,593101_d,1
4,592700_d,14,1,Green space,592700,E00171483,E00171483,E01004392,814852,-0.0260199599485164,51.582408573906704,0i-xvtvpRNMidGjUeMgCBg,51.58239951516979,-0.0259992846681067,6,2008,258.541873147068,28EE9CE0-BAE7-4076-9824-4C22E006849A,592700,592700_d,1
5,592704_d,10,1,Green space,592704,E00171483,E00171483,E01004392,814856,-0.0271589556606023,51.5822920001793,aStkvhlc2T1V4fVyrPBUoA,51.5823035156234,-0.0271022681071243,8,2012,259.541329895436,28EE9CE0-BAE7-4076-9824-4C22E006849A,592704,592704_d,1
7,592702_d,14,1,Green space,592702,E00171483,E00171483,E01004392,814854,-0.026588752247355,51.5823476369685,HN-LOM8hkHrBH23D2pT5hQ,51.5823282230449,-0.026575952389171,6,2008,259.552835260008,28EE9CE0-BAE7-4076-9824-4C22E006849A,592702,592702_d,1
8,592658_d,3,11,Green space,592658,E00171483,E00171483,E01004392,814791,-0.0299099104163502,51.5818694907707,cG2uJ2jzcgR1g6vs1O2fQA,51.5818779742576,-0.0298928344601794,8,2012,249.594079545137,8AD61D4A-2097-4E6B-B2A1-95836A2E528D,592658,592658_d,1
9,592713_d,14,1,Green space,592713,E00171483,E00171483,E01004392,814866,-0.0260220441393736,51.5824162763106,hmG-13bxotqSLmitwgb5bg,51.5824309506244,-0.0260233053549555,8,2012,258.541873147068,28EE9CE0-BAE7-4076-9824-4C22E006849A,592713,592713_d,1
10,592656_d,14,1,Green space,592656,E00171483,E00171483,E01004392,814789,-0.029356466607969,51.5819680649588,HlynBZuwYk9YuKbiHZmtGg,51.58198273301189,-0.0293358346913311,7,2011,249.591954570558,8AD61D4A-2097-4E6B-B2A1-95836A2E528D,592656,592656_d,1
12,592663_d,3,11,Green space,592663,E00171483,E00171483,E01004392,814796,-0.0312752893065918,51.581578863286,Y8KjKHFVsQUcjuUQORAZOA,51.5815734593371,-0.0313183573030704,6,2008,245.77535275595295,8AD61D4A-2097-4E6B-B2A1-95836A2E528D,592663,592663_d,1
17,592699_d,1,15,Commercial,592699,E00171483,E00171483,E01004392,814851,-0.0279429755002802,51.5827567352188,DiBSRpbfAk0zojCe1wvI2Q,51.582804711788704,-0.0279512255809658,8,2012,174.805571092379,46AF11FF-3141-4DBF-8A05-EAF5D3F1AA20,592699,592699_d,1
20,592652_d,13,6,Green space,592652,E00171483,E00171483,E01004392,814785,-0.0282195526314557,51.5820924163398,WMPuunmBMyBY3JWR_u0hgg,51.5821348782392,-0.0281625350113488,6,2008,258.498120561916,8AD61D4A-2097-4E6B-B2A1-95836A2E528D,592652,592652_d,1
23,592727_d,1,15,Commercial,592727,E00171483,E00171483,E01004392,814884,-0.0280435500967828,51.582893752114494,iG7-33zncLg-iCWWhP0ZmQ,51.58282324514629,-0.0279649088653448,7,2011,153.88024384302602,46AF11FF-3141-4DBF-8A05-EAF5D3F1AA20,592727,592727_d,1
31,592017_d,9,8,Low-density,592017,E00022108,E00022108,E01004392,813978,-0.0307249352263061,51.5859868954589,CX_y8YRatZdYW5Bl_P1uIg,51.5860051790088,-0.0307270139420145,6,2008,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,592017,592017_d,1
33,592019_d,9,8,Low-density,592019,E00022108,E00022108,E01004392,813980,-0.0312633887777695,51.5858573740317,vPmeM1gxJyGYSj-P4km_Ig,51.5858705764723,-0.0312602089758034,6,2008,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,592019,592019_d,1
34,591927_d,18,0,High-density,591927,E00022108,E00022108,E01004392,813868,-0.0342849288921081,51.585078408154,sqKTWLzJpuUHnhcUH7C0lQ,51.5850785845445,-0.0342794919868806,6,2008,241.47456321769,41772219-2061-47D4-A39C-731C2BFA4134,591927,591927_d,1
35,591928_d,4,4,Low-density,591928,E00022108,E00022108,E01004392,813869,-0.0345421267973359,51.5849968580892,T4C3l_QBNMG4DG8GuryHgg,51.5849965770955,-0.0345305401389641,7,2011,241.47456321769,41772219-2061-47D4-A39C-731C2BFA4134,591928,591928_d,1
37,592020_d,11,13,Estates,592020,E00022108,E00022108,E01004392,813981,-0.0315326144674053,51.58579261244471,YlEt91kj9mkVMk_f_wxnDg,51.585809397182295,-0.0315103097246766,6,2008,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,592020,592020_d,1
38,592088_d,18,0,High-density,592088,E00022087,E00022087,E01004392,814059,-0.0274329060857734,51.5852470875015,hhp95KIESjEcQTfkZipSCQ,51.58524710358461,-0.0274435943118521,11,2008,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,592088,592088_d,1
