,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,idx_y.1,angle
45,791349_d,10,0.1809421913656423,High-density,791349,E00019815,E00019815,E01003940,855541,-0.0862439788488349,51.498239683189794,XB81l_FD6pTBkCPWNPCmmQ,51.4982391785494,-0.0862866787770229,4,2019,246.252701617219,997A0FF9-C8EF-44F3-9D83-BD1BAE732939,791349,791349_d,,d
46,791039_d,10,0.385088946274615,High-density,791039,E00019815,E00019815,E01003940,855195,-0.0866675431609851,51.4984026915313,9SypNhzgMuJnyQb_alF-pA,51.49816952056401,-0.0865810686991698,4,2019,246.252701617219,997A0FF9-C8EF-44F3-9D83-BD1BAE732939,791039,791039_d,,d
48,791316_d,10,0.2232382771862565,High-density,791316,E00019815,E00019815,E01003940,855504,-0.0860434439231438,51.4974045779015,gW7wOX6-TjK1x0FzNytahw,51.497409775822106,-0.0860090517062675,5,2021,302.387631346322,625308FF-A7CA-4B3F-A471-5FFE2972363A,791316,791316_d,,d
50,783370_d,6,0.3572838387459732,Other green,783370,E00019815,E00019815,E01003940,846846,-0.0858307797602892,51.4973154289298,Wtym3n85P0NblxaVegBCJw,51.4973417267446,-0.0858602909478361,11,2020,200.15912379245,4EC21291-C31C-40E8-9EE8-0DAA8D62E5A4,783370,783370_d,,d
51,791053_d,4,0.1088378199623957,Low-density,791053,E00019815,E00019815,E01003940,855211,-0.0858493627434165,51.4991465857791,2Z3F4JccfyFcJglA32KNog,51.4991831463344,-0.0858435545523608,11,2020,124.055687524611,CCC5DE3E-AA0C-491F-AC2B-BF29D65A6228,791053,791053_d,,d
52,791036_d,10,0.1783842623998549,High-density,791036,E00019815,E00019815,E01003940,855192,-0.0860861693653089,51.498472548940704,_ejIHDmSLDBgte_x9Gzdcg,51.4984959930559,-0.0861004759015933,11,2020,163.85566121971598,4425D14B-311F-43F5-A3C4-EE1123640151,791036,791036_d,,d
54,791315_d,13,0.4357697500286702,Estates,791315,E00019815,E00019815,E01003940,855503,-0.0862820106123272,51.4974998712711,Lu-lk69aCmC5fQbNY9Oa3A,51.4974910017354,-0.0863403646661832,3,2018,226.605043465833,625308FF-A7CA-4B3F-A471-5FFE2972363A,791315,791315_d,,d
57,791305_d,10,0.3909270513068731,High-density,791305,E00019815,E00019815,E01003940,855491,-0.0859866095733273,51.4970704766257,-d4f7-v0-FJxIYO8_HAlug,51.4973460883212,-0.0859268745567226,4,2019,302.387631346322,625308FF-A7CA-4B3F-A471-5FFE2972363A,791305,791305_d,,d
60,791056_d,13,0.3847429723222708,Estates,791056,E00019815,E00019815,E01003940,855214,-0.086851581179916,51.49884820891621,EUu5Oe6XeOT6WmwvFVBJGA,51.4988486376668,-0.0867804804574809,11,2020,125.087664092376,5C497036-E251-474F-95C4-FE8A9125DBCE,791056,791056_d,,d
61,791348_d,10,0.3364583226031314,High-density,791348,E00019815,E00019815,E01003940,855540,-0.0865105720269939,51.4981715933592,vbpVTQ-K-V7azjVRCVhGgA,51.498168969219,-0.0865675373293514,1,2018,246.252701617219,997A0FF9-C8EF-44F3-9D83-BD1BAE732939,791348,791348_d,,d
62,791052_d,8,0.1717827967711109,Low-density,791052,E00019815,E00019815,E01003940,855210,-0.0859554597518104,51.4989794364089,ukwhb6zu0U4NxjimixG2Ag,51.498988929428606,-0.0859564827167596,4,2019,199.021938755681,E238939B-5038-4C18-8C1B-8BB8138931E8,791052,791052_d,,d
63,783363_d,10,0.1897071221372922,High-density,783363,E00019815,E00019815,E01003940,846839,-0.0855674288331053,51.4991168426034,QKAGdN-w5U5hqgcq9hsvdA,51.4991211377789,-0.0855455274463183,6,2021,124.055687524611,CCC5DE3E-AA0C-491F-AC2B-BF29D65A6228,783363,783363_d,,d
64,781215_d,9,0.1936073003193895,Low-density,781215,E00020380,E00020380,E01004050,844478,-0.0779316366987059,51.4685937343744,GqAqC0E6zhBnHaQWUzLrjQ,51.46858448112761,-0.0778936657609061,2,2018,170.781488148383,2E2C62DC-1361-4427-89A2-3EDB1FDCA759,781215,781215_d,,d
65,781138_d,1,0.0346387040428474,Open green space,781138,E00020380,E00020380,E01004050,844394,-0.0772340325593783,51.46831281762779,CfrH0zlrms5EaW-wj2UGJw,51.4683065667186,-0.0772143030664833,9,2020,228.21548399138695,9C5107FC-45C2-466A-9554-56F5E46C2034,781138,781138_d,,d
69,781213_d,10,0.1890692489614124,High-density,781213,E00020380,E00020380,E01004050,844476,-0.0777785100968228,51.4682495907751,VuggF5loBREb1NGel89Owg,51.468295162579096,-0.0777354484698451,2,2018,157.362825149276,2E2C62DC-1361-4427-89A2-3EDB1FDCA759,781213,781213_d,,d
70,781226_d,4,0.001,Low-density,781226,E00020380,E00020380,E01004050,844491,-0.0774127827260062,51.4690292807113,awQCDkgiN8nAA0aSL6Fw6A,51.4690203132697,-0.0779364949528663,3,2019,186.70527455742905,2E2C62DC-1361-4427-89A2-3EDB1FDCA759,781226,781226_d,,d
74,781229_d,6,0.0312190169424265,Other green,781229,E00020380,E00020380,E01004050,844494,-0.0782243126972832,51.469144427258215,C0L0XweymDy94q5MaaXQMg,51.46914223764399,-0.0781563581201239,2,2018,106.840512064204,46A87152-F23F-4088-B930-EEDE0B92DEA2,781229,781229_d,,d
76,781217_d,8,0.1706979775289782,Low-density,781217,E00020380,E00020380,E01004050,844480,-0.0779829152187445,51.4689499933026,LgD-E9GefcCS1OIw-XsFiQ,51.4689399156923,-0.0779455775702971,2,2018,170.78429027491,2E2C62DC-1361-4427-89A2-3EDB1FDCA759,781217,781217_d,,d
80,780915_d,4,0.3055937000903777,Low-density,780915,E00020380,E00020380,E01004050,844154,-0.0768003191303108,51.468615793859215,LfT5-FyYoBorH3YtGTeHow,51.4686253161388,-0.0767383928871005,9,2020,183.359851137323,59AD12D2-870A-411F-8B8A-D93DBB7DD79F,780915,780915_d,,d
83,781216_d,10,0.0548266379504358,High-density,781216,E00020380,E00020380,E01004050,844479,-0.0779702668332851,51.46877189901,UKCXy7wfzrQAswfmSYlWJA,51.46875557651871,-0.0779335187274162,2,2018,170.78429027491,2E2C62DC-1361-4427-89A2-3EDB1FDCA759,781216,781216_d,,d
84,781137_d,1,0.1130269352307929,Open green space,781137,E00020380,E00020380,E01004050,844393,-0.0774554510719999,51.46819837564721,bv22-0Hx1cv70CrXWDXzIQ,51.4682018942231,-0.0774524075961573,9,2020,228.113911594782,9C5107FC-45C2-466A-9554-56F5E46C2034,781137,781137_d,,d
89,371237_d,0,0.1738683726609275,Terraced,371237,E00016908,E00016908,E01003336,401815,-0.0441618182568005,51.4603564782767,Lihi3AxooW1Lfi2lXzGwxg,51.4603725665316,-0.0441408470468459,4,2019,176.18592516571,DF5D9485-8128-45E8-8B85-53F473EFE9E1,371237,371237_d,,d
90,371295_d,10,0.5416216515041337,High-density,371295,E00016908,E00016908,E01003336,401876,-0.04502952404079,51.4605902283346,Qn39y-A8aD30ePjOMOIOPw,51.4605851013869,-0.0449822756293084,8,2020,182.38011714356605,16E14A27-7A68-43E2-B7A4-36A09455C36D,371295,371295_d,,d
91,371294_d,10,0.4103053040501967,High-density,371294,E00016908,E00016908,E01003336,401875,-0.0450491458623149,51.4604108568902,8x49T-etUnbqCWNAPLnIgQ,51.4604090267883,-0.0449962963126531,8,2020,182.38011714333305,16E14A27-7A68-43E2-B7A4-36A09455C36D,371294,371294_d,,d
92,371310_d,10,0.0957940212019954,High-density,371310,E00016908,E00016908,E01003336,401891,-0.043958144491644,51.4609325737226,oB1IbQPUFMU9XgA2eRe4XQ,51.46093794477321,-0.0439699995150482,4,2019,227.290610042639,DF5D9485-8128-45E8-8B85-53F473EFE9E1,371310,371310_d,,d
94,371235_d,13,0.2846986886246124,Estates,371235,E00016908,E00016908,E01003336,401813,-0.0441253612144552,51.4599987425743,ZekkceW4FfLVTqSYx02T4Q,51.4599918350628,-0.0440997473736223,3,2018,159.842148466982,DF5D9485-8128-45E8-8B85-53F473EFE9E1,371235,371235_d,,d
95,371296_d,10,0.1272321497022204,High-density,371296,E00016908,E00016908,E01003336,401877,-0.0450225087827197,51.460769899601296,jg-1YPDjXTONvdZLq99WJA,51.4607627722293,-0.0449866744002424,8,2020,182.38011714356605,16E14A27-7A68-43E2-B7A4-36A09455C36D,371296,371296_d,,d
96,371293_d,10,0.3116381757275345,High-density,371293,E00016908,E00016908,E01003336,401874,-0.045068767510924,51.460231485435706,p1zfbAuWvcFU7b3YyAXeDQ,51.460216438265,-0.0450245944450999,8,2020,183.094058060176,16E14A27-7A68-43E2-B7A4-36A09455C36D,371293,371293_d,,d
