,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,keep
43,753053_d,0,0.367662007728514,Terraced,753053,E00022087,E00022087,E01004392,814057,-0.0279555457613937,51.58509449650471,ciu4FsrifTes8FJSdIBISA,51.5850891455141,-0.0279628281513284,3,2018,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753053,753053_d,1
45,753052_d,0,0.27936455822966466,Terraced,753052,E00022087,E00022087,E01004392,814056,-0.0282168582214865,51.5850181920328,Ii5VYWBSI24ydsftj-0dhQ,51.5850201176561,-0.0282024456419822,3,2019,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753052,753052_d,1
46,753056_d,0,0.23791364817749283,Terraced,753056,E00022087,E00022087,E01004392,814060,-0.0271715798866579,51.5853233753771,UVXJ4uqKq2U2i1BvY4Ca2w,51.5853184848763,-0.0271688602764292,3,2019,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753056,753056_d,1
48,753047_d,0,0.31556408007852954,Terraced,753047,E00022087,E00022087,E01004392,814050,-0.0287921367081655,51.5843541417261,p4rmXfkMvKGTL1NKGtsE4w,51.5843851902277,-0.0287954462919538,3,2021,161.826196950708,912DFF91-9353-406E-B371-E569C271DF46,753047,753047_d,1
49,753040_d,0,0.3947659290126697,Terraced,753040,E00022087,E00022087,E01004392,814043,-0.0276059690670166,51.58601867957021,mAos0Wtdhpt5aO_wl0PTjA,51.5859821308084,-0.0277371364022253,3,2019,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4,753040,753040_d,1
52,753038_d,0,0.6203601067124802,Terraced,753038,E00022087,E00022087,E01004392,814041,-0.0281363069567642,51.585876757474296,jPmsgzmZaWknit4cd2aLiA,51.58587066818789,-0.0281431575579113,3,2019,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4,753038,753038_d,1
54,753102_d,0,0.44318176626949735,Terraced,753102,E00022087,E00022087,E01004392,814110,-0.0264352967941499,51.58553831091229,yxgnGf8Tm3_THvll3LFTkQ,51.5855371277925,-0.0264327832122493,3,2018,243.34620725288104,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753102,753102_d,1
55,753034_d,8,0.3766113627778058,Low-density,753034,E00022087,E00022087,E01004392,814036,-0.0291827226105422,51.5854958489884,W1pxdlkhEtPEnSmpVte22w,51.58550452011661,-0.029188912206242,3,2018,173.229691112426,D40B89C5-F2F8-4D1B-8EB1-66DBC489FD4C,753034,753034_d,1
56,753054_d,0,0.1923709867109642,Terraced,753054,E00022087,E00022087,E01004392,814058,-0.0276942314216189,51.58517079903361,K21uboDYeeL77Z-OwdL51g,51.585163958774,-0.0277028386105813,3,2018,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753054,753054_d,1
59,753055_d,0,0.219739036642273,Terraced,753055,E00022087,E00022087,E01004392,814059,-0.0274329060857734,51.5852470875015,2meC3Tiiyyqva8jl9pI8gg,51.5852451995728,-0.0274228367342951,3,2019,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753055,753055_d,1
60,753037_d,0,0.7217511209003369,Terraced,753037,E00022087,E00022087,E01004392,814040,-0.028401474681855,51.58580579551301,39lPBwq8ttwUG4yMX2_z8g,51.5858105561645,-0.0283640286459032,3,2018,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4,753037,753037_d,1
