,Unnamed: 0.1,clusters,clusters_2011_edited,clusters_2011_cleanup,idx,oa_name_x,OA11CD,LSOA11CD,panoid,lat,lon,oa_name_y
0,592082_b,10,1,Green space,592082,E00022087,E00022087,E01004392,qCA5UHXMl5kPmoEa9x1cXw,51.5843480269981,-0.028781038046757,E00022087
1,592082_d,18,0,High-density,592082,E00022087,E00022087,E01004392,qCA5UHXMl5kPmoEa9x1cXw,51.5843480269981,-0.028781038046757,E00022087
2,592083_b,10,1,Green space,592083,E00022087,E00022087,E01004392,UiZy0iQbJGsfzO_mNHjdyw,51.5845300095356,-0.0288682098329027,E00022087
3,592083_d,18,0,High-density,592083,E00022087,E00022087,E01004392,UiZy0iQbJGsfzO_mNHjdyw,51.5845300095356,-0.0288682098329027,E00022087
4,592092_d,19,19,,592092,E00022087,E00022087,E01004392,TEwX8OWvDqD8Zy86r9-scw,51.58425223452,-0.0284417056514796,E00022087
5,592092_b,0,12,,592092,E00022087,E00022087,E01004392,TEwX8OWvDqD8Zy86r9-scw,51.58425223452,-0.0284417056514796,E00022087
6,592068_b,19,19,,592068,E00022087,E00022087,E01004392,YsSL4RZrfssosJPnDjYySQ,51.5854366524062,-0.0291764219654174,E00022087
7,592068_d,12,18,,592068,E00022087,E00022087,E01004392,YsSL4RZrfssosJPnDjYySQ,51.5854366524062,-0.0291764219654174,E00022087
8,592081_d,7,3,,592081,E00022087,E00022087,E01004392,Qe6h-jpaoam2Tzmqqes4pA,51.5841891906337,-0.0287014252906872,E00022087
9,592081_b,7,3,,592081,E00022087,E00022087,E01004392,Qe6h-jpaoam2Tzmqqes4pA,51.5841891906337,-0.0287014252906872,E00022087
10,592088_d,18,0,High-density,592088,E00022087,E00022087,E01004392,hhp95KIESjEcQTfkZipSCQ,51.5852471035846,-0.0274435943118521,E00022087
11,592088_b,18,0,High-density,592088,E00022087,E00022087,E01004392,hhp95KIESjEcQTfkZipSCQ,51.5852471035846,-0.0274435943118521,E00022087
12,592251_d,0,12,,592251,E00022087,E00022087,E01004392,8ty2pJ34j5BhHbK9bNAIqA,51.5856116701066,-0.0261809817550883,E00022087
13,592251_b,18,0,High-density,592251,E00022087,E00022087,E01004392,8ty2pJ34j5BhHbK9bNAIqA,51.5856116701066,-0.0261809817550883,E00022087
14,592075_d,18,0,High-density,592075,E00022087,E00022087,E01004392,9voR7eQT-e5_KlklA0c6nw,51.5859766260171,-0.0277328990154397,E00022087
15,592075_b,18,0,High-density,592075,E00022087,E00022087,E01004392,9voR7eQT-e5_KlklA0c6nw,51.5859766260171,-0.0277328990154397,E00022087
16,592072_b,18,0,High-density,592072,E00022087,E00022087,E01004392,wS-AM65ctvG8qWdkcCGvcg,51.5858132099258,-0.0283927032187954,E00022087
17,592072_d,18,0,High-density,592072,E00022087,E00022087,E01004392,wS-AM65ctvG8qWdkcCGvcg,51.5858132099258,-0.0283927032187954,E00022087
18,592076_b,18,0,High-density,592076,E00022087,E00022087,E01004392,YDAkluo49-nNuN7f4S4Lpw,51.5860960885452,-0.0273150503432983,E00022087
19,592076_d,18,0,High-density,592076,E00022087,E00022087,E01004392,YDAkluo49-nNuN7f4S4Lpw,51.5860960885452,-0.0273150503432983,E00022087
20,592060_b,7,3,,592060,E00022087,E00022087,E01004392,N5lIzwBj7S7eKxmWYoIs7w,51.5855377096559,-0.0291987177885826,E00022087
21,592060_d,7,3,,592060,E00022087,E00022087,E01004392,N5lIzwBj7S7eKxmWYoIs7w,51.5855377096559,-0.0291987177885826,E00022087
22,592066_d,18,0,High-density,592066,E00022087,E00022087,E01004392,JDPPGL_DOV7QQt8hcWDtsA,51.5846681882025,-0.0289332229601574,E00022087
