,Unnamed: 0_x,matched,p,clusters_2011_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,keep
0,592019_b,0,0.2044505710928437,Terraced,592019,E00022108,E00022108,E01004392,813980,-0.0312633887777695,51.5858573740317,vPmeM1gxJyGYSj-P4km_Ig,51.5858705764723,-0.0312602089758034,6,2008,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,592019,592019_b,0
2,592018_b,14,0.2829577703240487,Low-density,592018,E00022108,E00022108,E01004392,813979,-0.0309941623366074,51.5859221349921,YW_2qqrQ_cnmn8vfx3LMiQ,51.58593792145351,-0.0309911483721345,8,2012,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,592018,592018_b,0
6,592014_b,0,0.273295981286525,Terraced,592014,E00022108,E00022108,E01004392,813975,-0.0300760120125289,51.5859413148046,ZphodC5uVGc3rQN51vAKgQ,51.5859697830506,-0.0300560713880364,8,2012,154.384515679358,D0C62748-55DD-4522-99EB-3A7765CF0E5D,592014,592014_b,0
9,591925_b,4,0.331054665326568,Low-density,591925,E00022108,E00022108,E01004392,813866,-0.0337705680639926,51.5852415526982,bfpUGHC5YGDgE_RXozljfA,51.58522828323781,-0.0337991688164024,6,2008,241.464348725365,41772219-2061-47D4-A39C-731C2BFA4134,591925,591925_b,0
10,592020_b,4,0.22808889785245745,Low-density,592020,E00022108,E00022108,E01004392,813981,-0.0315326144674053,51.58579261244471,YlEt91kj9mkVMk_f_wxnDg,51.585809397182295,-0.0315103097246766,6,2008,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,592020,592020_b,0
13,591923_b,8,0.22869033753467816,Low-density,591923,E00022108,E00022108,E01004392,813864,-0.0332368683172799,51.5853779883731,V3-g3Dnv5Vcl-qZrgibl5A,51.5853842128461,-0.0332480609955579,6,2008,241.461758073565,41772219-2061-47D4-A39C-731C2BFA4134,591923,591923_b,0
15,592017_b,4,0.21181454448882364,Low-density,592017,E00022108,E00022108,E01004392,813978,-0.0307249352263061,51.5859868954589,CX_y8YRatZdYW5Bl_P1uIg,51.5860051790088,-0.0307270139420145,6,2008,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,592017,592017_b,0
17,591924_b,8,0.3017093090725331,Low-density,591924,E00022108,E00022108,E01004392,813865,-0.0335052486193308,51.5853118833101,EZ6ZgFCS4IsmPab5hsx-Pw,51.5853031012222,-0.0335353164206815,6,2008,241.461758073565,41772219-2061-47D4-A39C-731C2BFA4134,591924,591924_b,0
21,591953_b,0,0.16080590293568875,Terraced,591953,E00022080,E00022080,E01004392,813899,-0.0338753253147731,51.5842713849799,SIhecttezXwVnjjjb7Z0fw,51.5842936111989,-0.0338239226643642,6,2008,140.527540151656,ADEB46BC-CD83-4634-8591-03D25F690633,591953,591953_b,0
22,591990_b,0,0.11676724782803027,Terraced,591990,E00022080,E00022080,E01004392,813949,-0.0320342469143612,51.583827343906,zLDU0KCJPcNYNfzzPHPkiw,51.5838248057228,-0.032008092258127,6,2008,159.102234501161,27AFCEC5-AD8E-4FDE-BFE3-1D34ACEF337A,591990,591990_b,0
