,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,idx_y.1,angle
39,665803_b,10,0.2639197012696884,High-density,665803,E00023976,E00023976,E01004737,719878,-0.130562939899859,51.48750673317328,P11r0z-LsdwsqP8zFk9MEw,51.487530309097394,-0.130626707649951,11,2020,199.427033743784,B4C63E80-3553-488B-A148-1E3898A1B4C6,665803,665803_b,,b
40,665776_b,10,0.0860607728023432,High-density,665776,E00023976,E00023976,E01004737,719850,-0.131140048005225,51.4872897183984,w-EOyGBnPh75qMVNP_ZQWw,51.48719481813421,-0.130811335502494,11,2020,200.580098862017,BC64E30F-AC99-4660-881D-D4A0C5701589,665776,665776_b,,b
41,668795_b,10,0.3491948576438172,High-density,668795,E00023976,E00023976,E01004737,723201,-0.131832734075523,51.48785524119822,uTtnjnHDwiZVcuB67po9ew,51.4876134223781,-0.130578775993434,11,2020,199.427033743784,B4C63E80-3553-488B-A148-1E3898A1B4C6,668795,668795_b,,b
42,668784_b,10,0.2078024933537549,High-density,668784,E00023976,E00023976,E01004737,723188,-0.131997883321033,51.4875125111938,COdn7iR760X2wIkamSAklA,51.487278569959294,-0.130765648973671,11,2020,200.580098862017,BC64E30F-AC99-4660-881D-D4A0C5701589,668784,668784_b,,b
44,791349_b,10,0.4776397293025572,High-density,791349,E00019815,E00019815,E01003940,855541,-0.0862439788488349,51.498239683189794,XB81l_FD6pTBkCPWNPCmmQ,51.4982391785494,-0.0862866787770229,4,2019,246.252701617219,997A0FF9-C8EF-44F3-9D83-BD1BAE732939,791349,791349_b,,b
47,791039_b,10,0.4284144428353352,High-density,791039,E00019815,E00019815,E01003940,855195,-0.0866675431609851,51.4984026915313,9SypNhzgMuJnyQb_alF-pA,51.49816952056401,-0.0865810686991698,4,2019,246.252701617219,997A0FF9-C8EF-44F3-9D83-BD1BAE732939,791039,791039_b,,b
49,791316_b,13,0.3752733288939207,Estates,791316,E00019815,E00019815,E01003940,855504,-0.0860434439231438,51.4974045779015,gW7wOX6-TjK1x0FzNytahw,51.497409775822106,-0.0860090517062675,5,2021,302.387631346322,625308FF-A7CA-4B3F-A471-5FFE2972363A,791316,791316_b,,b
53,791036_b,13,0.0592550631028927,Estates,791036,E00019815,E00019815,E01003940,855192,-0.0860861693653089,51.498472548940704,_ejIHDmSLDBgte_x9Gzdcg,51.4984959930559,-0.0861004759015933,11,2020,163.85566121971598,4425D14B-311F-43F5-A3C4-EE1123640151,791036,791036_b,,b
55,791315_b,10,0.4415880959553711,High-density,791315,E00019815,E00019815,E01003940,855503,-0.0862820106123272,51.4974998712711,Lu-lk69aCmC5fQbNY9Oa3A,51.4974910017354,-0.0863403646661832,3,2018,226.605043465833,625308FF-A7CA-4B3F-A471-5FFE2972363A,791315,791315_b,,b
56,783364_b,4,0.001,Low-density,783364,E00019815,E00019815,E01003940,846840,-0.0853330768069936,51.4990122999128,yeAvWxxkTCpZi98qmodjhA,51.4990183471627,-0.0853109954619612,5,2019,124.045666486578,CCC5DE3E-AA0C-491F-AC2B-BF29D65A6228,783364,783364_b,,b
