,Unnamed: 0.1,clusters,clusters_2021_edited,clusters_2021_cleanup,idx,oa_name_x,OA11CD,LSOA11CD,panoid,lat,lon,oa_name_y
40,753051_b,17,9,Low-density,753051,E00022087,E00022087,E01004392,yTktzPtmX9hsbm0FsAbbZw,51.584944581068,-0.02846144698164,E00022087
41,753051_d,5,5,,753051,E00022087,E00022087,E01004392,yTktzPtmX9hsbm0FsAbbZw,51.584944581068,-0.02846144698164,E00022087
42,753038_b,18,0,High-density,753038,E00022087,E00022087,E01004392,jPmsgzmZaWknit4cd2aLiA,51.5858706681879,-0.0281431575579113,E00022087
43,753038_d,18,0,High-density,753038,E00022087,E00022087,E01004392,jPmsgzmZaWknit4cd2aLiA,51.5858706681879,-0.0281431575579113,E00022087
44,753040_b,18,0,High-density,753040,E00022087,E00022087,E01004392,mAos0Wtdhpt5aO_wl0PTjA,51.5859821308084,-0.0277371364022253,E00022087
45,753040_d,18,0,High-density,753040,E00022087,E00022087,E01004392,mAos0Wtdhpt5aO_wl0PTjA,51.5859821308084,-0.0277371364022253,E00022087
46,753059_d,1,18,,753059,E00022087,E00022087,E01004392,FjiTYAo90j5drnyt8j51wQ,51.58424813638,-0.0284539139838443,E00022087
47,753059_b,1,18,,753059,E00022087,E00022087,E01004392,FjiTYAo90j5drnyt8j51wQ,51.58424813638,-0.0284539139838443,E00022087
48,753054_b,18,0,High-density,753054,E00022087,E00022087,E01004392,K21uboDYeeL77Z-OwdL51g,51.585163958774,-0.0277028386105813,E00022087
49,753054_d,18,0,High-density,753054,E00022087,E00022087,E01004392,K21uboDYeeL77Z-OwdL51g,51.585163958774,-0.0277028386105813,E00022087
50,753044_d,5,5,,753044,E00022087,E00022087,E01004392,upNKuTIXa3c0FKtECcCceA,51.5862974697376,-0.0265728290380656,E00022087
51,753044_b,5,5,,753044,E00022087,E00022087,E01004392,upNKuTIXa3c0FKtECcCceA,51.5862974697376,-0.0265728290380656,E00022087
52,753041_d,18,0,High-density,753041,E00022087,E00022087,E01004392,CBNV0h_dl5Zsjt5hyUztsg,51.5861129624341,-0.0272466586367684,E00022087
53,753041_b,18,0,High-density,753041,E00022087,E00022087,E01004392,CBNV0h_dl5Zsjt5hyUztsg,51.5861129624341,-0.0272466586367684,E00022087
54,753053_d,18,0,High-density,753053,E00022087,E00022087,E01004392,ciu4FsrifTes8FJSdIBISA,51.5850891455141,-0.0279628281513284,E00022087
55,753053_b,18,0,High-density,753053,E00022087,E00022087,E01004392,ciu4FsrifTes8FJSdIBISA,51.5850891455141,-0.0279628281513284,E00022087
56,753055_b,18,0,High-density,753055,E00022087,E00022087,E01004392,2meC3Tiiyyqva8jl9pI8gg,51.5852451995728,-0.0274228367342951,E00022087
57,753055_d,18,0,High-density,753055,E00022087,E00022087,E01004392,2meC3Tiiyyqva8jl9pI8gg,51.5852451995728,-0.0274228367342951,E00022087
58,753056_d,18,0,High-density,753056,E00022087,E00022087,E01004392,UVXJ4uqKq2U2i1BvY4Ca2w,51.5853184848763,-0.0271688602764292,E00022087
59,753056_b,18,0,High-density,753056,E00022087,E00022087,E01004392,UVXJ4uqKq2U2i1BvY4Ca2w,51.5853184848763,-0.0271688602764292,E00022087
60,753726_d,15,11,Green space,753726,E00171483,E00171483,E01004392,P5pjbWuJCVc5VO8LBCnQxA,51.5819769330994,-0.029331085566411,E00171483
61,753726_b,8,12,,753726,E00171483,E00171483,E01004392,P5pjbWuJCVc5VO8LBCnQxA,51.5819769330994,-0.029331085566411,E00171483
62,753730_d,8,12,,753730,E00171483,E00171483,E01004392,If5_bYwVXUOwDtPIXFPr7g,51.5817718372718,-0.0304383683261118,E00171483
63,753730_b,12,17,,753730,E00171483,E00171483,E01004392,If5_bYwVXUOwDtPIXFPr7g,51.5817718372718,-0.0304383683261118,E00171483
64,753787_d,15,11,Green space,753787,E00171483,E00171483,E01004392,s0rd8rSTCXWp-NocSax5og,51.5823560636071,-0.0265898089647179,E00171483
65,753787_b,7,10,High-density,753787,E00171483,E00171483,E01004392,s0rd8rSTCXWp-NocSax5og,51.5823560636071,-0.0265898089647179,E00171483
66,753773_d,15,11,Green space,753773,E00171483,E00171483,E01004392,n43scLw8dhlGpFAfuBZFTQ,51.5819106402165,-0.0298698638780239,E00171483
67,753773_b,13,3,,753773,E00171483,E00171483,E01004392,n43scLw8dhlGpFAfuBZFTQ,51.5819106402165,-0.0298698638780239,E00171483
68,753771_b,12,17,,753771,E00171483,E00171483,E01004392,VTvsXOFe5bIRXZ2J1DYM1w,51.5819824448465,-0.0294437438710287,E00171483
69,753771_d,15,11,Green space,753771,E00171483,E00171483,E01004392,VTvsXOFe5bIRXZ2J1DYM1w,51.5819824448465,-0.0294437438710287,E00171483
70,753731_b,7,10,High-density,753731,E00171483,E00171483,E01004392,GyxzUeTRbUX-K7rm3WwH4g,51.5817158043483,-0.0307166663232296,E00171483
71,753731_d,8,12,,753731,E00171483,E00171483,E01004392,GyxzUeTRbUX-K7rm3WwH4g,51.5817158043483,-0.0307166663232296,E00171483
72,753786_d,9,1,Green space,753786,E00171483,E00171483,E01004392,mvGePTd-p2cpRNMSGmyiNA,51.5823933827315,-0.0262995645890821,E00171483
73,753786_b,10,15,Commercial,753786,E00171483,E00171483,E01004392,mvGePTd-p2cpRNMSGmyiNA,51.5823933827315,-0.0262995645890821,E00171483
74,753727_d,6,11,Green space,753727,E00171483,E00171483,E01004392,-xxl7xDyW9KI327qBpleFw,51.5819530200501,-0.0296006187320991,E00171483
75,753727_b,12,17,,753727,E00171483,E00171483,E01004392,-xxl7xDyW9KI327qBpleFw,51.5819530200501,-0.0296006187320991,E00171483
76,753782_b,7,10,High-density,753782,E00171483,E00171483,E01004392,rDr-ZWNfdfLfMz3IHAu-yA,51.5823828180127,-0.0278980003677579,E00171483
77,753782_d,0,16,,753782,E00171483,E00171483,E01004392,rDr-ZWNfdfLfMz3IHAu-yA,51.5823828180127,-0.0278980003677579,E00171483
78,754242_d,6,11,Green space,754242,E00171483,E00171483,E01004392,zM2C_M_9XouUc3iWiycnog,51.581358059473,-0.0321574456859764,E00171483
79,754242_b,10,15,Commercial,754242,E00171483,E00171483,E01004392,zM2C_M_9XouUc3iWiycnog,51.581358059473,-0.0321574456859764,E00171483
80,753774_d,4,19,,753774,E00171483,E00171483,E01004392,IbJ7mYf7_XFqRPh9w3RFFA,51.5818566186161,-0.0301368530333088,E00171483
81,753774_b,7,10,High-density,753774,E00171483,E00171483,E01004392,IbJ7mYf7_XFqRPh9w3RFFA,51.5818566186161,-0.0301368530333088,E00171483
82,753732_d,12,17,,753732,E00171483,E00171483,E01004392,r8438uPGlgMrEHWTM_iQSA,51.5816460472668,-0.0309734957619829,E00171483
83,753732_b,10,15,Commercial,753732,E00171483,E00171483,E01004392,r8438uPGlgMrEHWTM_iQSA,51.5816460472668,-0.0309734957619829,E00171483
84,753772_d,15,11,Green space,753772,E00171483,E00171483,E01004392,iztNjsexl-VFCwVlHYd33Q,51.5819605708071,-0.0295859953317382,E00171483
85,753772_b,7,10,High-density,753772,E00171483,E00171483,E01004392,iztNjsexl-VFCwVlHYd33Q,51.5819605708071,-0.0295859953317382,E00171483
86,753844_d,4,19,,753844,E00171483,E00171483,E01004392,MtIzs1jdLF6rOewR1FWtng,51.5832405800142,-0.029086633157458,E00171483
87,753844_b,1,18,,753844,E00171483,E00171483,E01004392,MtIzs1jdLF6rOewR1FWtng,51.5832405800142,-0.029086633157458,E00171483
88,753728_d,6,11,Green space,753728,E00171483,E00171483,E01004392,LBorU-qRoD6l_cJStcLEVA,51.5818993157118,-0.0298852013275876,E00171483
89,753728_b,12,17,,753728,E00171483,E00171483,E01004392,LBorU-qRoD6l_cJStcLEVA,51.5818993157118,-0.0298852013275876,E00171483
90,753785_d,9,1,Green space,753785,E00171483,E00171483,E01004392,_W9mzdFRp8-aLcoo1xQNzg,51.5824193750655,-0.0260337248250747,E00171483
91,753785_b,12,17,,753785,E00171483,E00171483,E01004392,_W9mzdFRp8-aLcoo1xQNzg,51.5824193750655,-0.0260337248250747,E00171483
