,Unnamed: 0_x,matched,p,clusters_2011_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,angle
39,523884_d,10,0.1536557648025104,High-density,523884,E00023974,E00023974,E01004737,723146,-0.133306894815113,51.48698669024572,FPqKc1aahQCzQi_BXdsoAg,51.4869908650715,-0.133275216956426,7,2008,162.864756266395,18F010FB-9505-4F92-894E-E82A01EDB2B5,523884,523884_d,d
42,523881_d,10,0.366623706566423,High-density,523881,E00023974,E00023974,E01004737,723135,-0.133290434688764,51.4863922821182,HPzmcN_o91aUogNYMtFXrg,51.4864320373724,-0.133021126521172,8,2012,162.407575437818,FF9B6A7A-17BF-44C2-8492-A0289E8F73A2,523881,523881_d,d
43,519188_d,13,0.2234282474504468,Estates,519188,E00015190,E00015190,E01003015,716618,-0.111601403561861,51.4946801839995,KgkDgr9Y1zguQkUBxiGcPQ,51.4947602974431,-0.110874993472464,7,2008,177.702522949994,1AF632EA-1652-4E07-BC20-8F80D2EB5863,519188,519188_d,d
47,617973_d,15,0.3263332837470097,Commercial,617973,E00015370,E00015370,E01003051,847408,-0.1024395212502269,51.46520993606179,tkXC_iKSZLWgbJp844SGPw,51.465255888151205,-0.102479969838821,6,2008,140.389311760121,C3165005-00E2-4254-A354-E590CD6679F9,617973,617973_d,d
48,618594_d,0,0.3004476617503013,Terraced,618594,E00015370,E00015370,E01003051,848213,-0.102966929709469,51.4644275962512,pTX_Jkex1aHn1jRvIXqZHQ,51.464459797141,-0.102906998041107,5,2012,184.46227376698505,469A14B3-D60A-4181-A1E7-B867F86B6365,618594,618594_d,d
50,618596_d,0,0.276100328781687,Terraced,618596,E00015370,E00015370,E01003051,848215,-0.102517487899215,51.4642029003724,a6Z-iJQe6Pf6UjhdwGrUzA,51.464262647603206,-0.102512113219123,6,2008,127.168565471315,B9AC6061-4B43-4830-8ADD-A61E1715E4A8,618596,618596_d,d
53,618027_d,10,0.4576784956901355,High-density,618027,E00015370,E00015370,E01003051,847481,-0.102871311182246,51.46616802935411,4oLiSRRG7bG0_K2NpNHNVg,51.4658129657399,-0.102567217691656,4,2012,234.88140612035,C74E089D-7184-495B-893B-12D0B3A07A55,618027,618027_d,d
55,617979_d,15,0.6485255279270203,Commercial,617979,E00015370,E00015370,E01003051,847414,-0.1031838361280609,51.4650894423096,zw3kL2LhY2yPGXR42ykIaQ,51.4651129464638,-0.103176359446128,7,2009,183.172758640287,89C44B8F-D7E9-4441-B6CE-A0F41594146B,617979,617979_d,d
59,618019_d,10,0.3274062427895364,High-density,618019,E00015370,E00015370,E01003051,847469,-0.102358394492375,51.46588949476421,PxNT_gRJ-Quu55KS6ID8lQ,51.4658664193972,-0.102365703344882,6,2008,234.88140612035,C74E089D-7184-495B-893B-12D0B3A07A55,618019,618019_d,d
61,618593_d,15,0.3530366609528909,Commercial,618593,E00015370,E00015370,E01003051,848212,-0.103191652276854,51.4645399435584,ldb90VTO5l5W_Sc_1ol5hQ,51.4645372853535,-0.103057130683418,5,2012,127.189109488408,B9AC6061-4B43-4830-8ADD-A61E1715E4A8,618593,618593_d,d
62,618595_d,0,0.3981162003141935,Terraced,618595,E00015370,E00015370,E01003051,848214,-0.102742208250258,51.4643152485225,rE71ypTLeWXpnpCC0ewtHA,51.464370708644,-0.102720881863243,6,2008,127.168565471315,B9AC6061-4B43-4830-8ADD-A61E1715E4A8,618595,618595_d,d
65,623678_d,13,0.5611008766727204,Estates,623678,E00019826,E00019826,E01003940,855437,-0.0873653161008768,51.49623076959251,IPKu0B8f8lWGJFR9_WRcFA,51.49627776933722,-0.0873358130695898,6,2012,148.39063650406,1AB44DFF-4710-42C4-956A-4C2D1ED6244B,623678,623678_d,d
67,623719_d,13,0.524857804978988,Estates,623719,E00019826,E00019826,E01003940,855500,-0.086925278051289,51.49713972040978,ZK0VdQtLyg8HY7he7eol-Q,51.497138050539206,-0.0869545912065303,6,2012,225.805184972816,4EC21291-C31C-40E8-9EE8-0DAA8D62E5A4,623719,623719_d,d
69,623709_d,13,0.1238193222088972,Estates,623709,E00019826,E00019826,E01003940,855482,-0.0878701338705536,51.4967638864503,COqJ4owj2DPaF58CIx0G5Q,51.4968478050538,-0.087895990740233,6,2012,144.819969120378,FED9FDB4-5E79-4517-A74B-81F6E01A79A6,623709,623709_d,d
70,623676_d,13,0.5642959310713236,Estates,623676,E00019826,E00019826,E01003940,855435,-0.0876544212995031,51.4965417902541,LJjuL3_h1SsrvK9WEFZMEA,51.496586890092495,-0.0876421574543602,9,2009,148.37109164496,1AB44DFF-4710-42C4-956A-4C2D1ED6244B,623676,623676_d,d
72,623689_d,13,0.1097728131822364,Estates,623689,E00019826,E00019826,E01003940,855452,-0.0870292256643187,51.496425755692215,0MjhM4jfQeDAMIqg9wWuCQ,51.4965989764993,-0.0870122311589926,6,2012,229.766964533484,3B15EF5D-C9B3-41DD-89A2-9E75170B5E00,623689,623689_d,d
76,623720_d,13,0.1263946423658477,Estates,623720,E00019826,E00019826,E01003940,855501,-0.0867108351388829,51.497259756101705,fjuABPmfYM5a76XvLyuOQA,51.497262956067495,-0.0866938447492582,9,2009,226.617430302418,625308FF-A7CA-4B3F-A471-5FFE2972363A,623720,623720_d,d
