,Unnamed: 0.1,clusters,clusters_2011_edited,clusters_2011_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,keep
32,592019_b,11,13,Estates,592019,E00022108,E00022108,E01004392,813980,-0.0312633887777695,51.5858573740317,vPmeM1gxJyGYSj-P4km_Ig,51.5858705764723,-0.0312602089758034,6,2008,67.3437923851259,D0C62748-55DD-4522-99EB-3A7765CF0E5D,592019,592019_b,0
36,591956_b,4,4,Low-density,591956,E00022108,E00022108,E01004392,813906,-0.0335372510763287,51.584919010729294,3GSF_7htHjEirB2J4-OL2A,51.5852213119251,-0.0338115208382724,8,2012,241.464348725365,41772219-2061-47D4-A39C-731C2BFA4134,591956,591956_b,0
39,592088_b,18,0,High-density,592088,E00022087,E00022087,E01004392,814059,-0.0274329060857734,51.5852470875015,hhp95KIESjEcQTfkZipSCQ,51.58524710358461,-0.0274435943118521,11,2008,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,592088,592088_b,0
41,592075_b,18,0,High-density,592075,E00022087,E00022087,E01004392,814043,-0.0276059690670166,51.58601867957021,9voR7eQT-e5_KlklA0c6nw,51.5859766260171,-0.0277328990154397,6,2008,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4,592075,592075_b,0
42,592072_b,18,0,High-density,592072,E00022087,E00022087,E01004392,814040,-0.028401474681855,51.58580579551301,wS-AM65ctvG8qWdkcCGvcg,51.5858132099258,-0.0283927032187954,6,2008,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4,592072,592072_b,0
47,592132_b,18,0,High-density,592132,E00022087,E00022087,E01004392,814111,-0.0265621679545705,51.5856997919147,gkLl2FICrMdsuXwp7xKb3w,51.5855341493924,-0.0264569547376203,11,2008,243.34620725288104,D2BEA324-A35F-4151-BF55-E56492CFFF5E,592132,592132_b,0
49,592133_b,18,0,High-density,592133,E00022087,E00022087,E01004392,814112,-0.0266890402737024,51.585861272711,Yijsgi26kMmQanpDBBDaGw,51.5855284425126,-0.0264793071445751,6,2008,243.34620725288104,D2BEA324-A35F-4151-BF55-E56492CFFF5E,592133,592133_b,0
51,592251_b,18,0,High-density,592251,E00022087,E00022087,E01004392,814267,-0.0261741548726507,51.5856148453996,8ty2pJ34j5BhHbK9bNAIqA,51.5856116701066,-0.0261809817550883,11,2008,243.25858684194,994CAC9A-D7FB-48BE-9891-3BAB524D88BD,592251,592251_b,0
52,592073_b,18,0,High-density,592073,E00022087,E00022087,E01004392,814041,-0.0281363069567642,51.585876757474296,ngWPfAilcihE_Fqfd3E-ag,51.585872967281,-0.0281386920424769,8,2012,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4,592073,592073_b,0
55,592085_b,18,0,High-density,592085,E00022087,E00022087,E01004392,814056,-0.0282168582214865,51.5850181920328,C8f0G20sZhAdZ8ACojdtbg,51.58501318756821,-0.0282171808492533,11,2008,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,592085,592085_b,0
57,592074_b,18,0,High-density,592074,E00022087,E00022087,E01004392,814042,-0.0278711384184832,51.5859477188266,pOKavyuzGEOpRNAu488-nw,51.5859460006775,-0.0278642516803934,8,2012,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4,592074,592074_b,0
60,593092_b,17,9,Low-density,593092,E00171730,E00171730,E01004392,815327,-0.0323699674408304,51.58154321448591,oeOQV0-nRIkMHd19tBV-Bw,51.5815502099704,-0.0323384352690742,7,2011,250.94229548992297,49067391-1972-4BE9-BDA9-6BB0705B58E4,593092,593092_b,0
62,593061_b,1,15,Commercial,593061,E00171730,E00171730,E01004392,815290,-0.033598537007414,51.581451716891614,FOSlq5f34m1UWFmyEDLD0Q,51.5814190010538,-0.0334938208009277,6,2008,149.488203228066,7440CD25-B84D-4F69-913B-1E673853B3C3,593061,593061_b,0
63,593048_b,18,0,High-density,593048,E00171730,E00171730,E01004392,815272,-0.0342765509415797,51.5819237451091,sWbGMNv7MuKo0fdAA23WOw,51.58192654785,-0.0342752955635123,11,2008,152.49078366147,45F0FC0A-D164-41AE-A79D-8292B6754B73,593048,593048_b,0
65,593063_b,6,10,High-density,593063,E00171730,E00171730,E01004392,815293,-0.0333581335832399,51.581943414709215,2KxIzlYr2j9vqm913C51Qw,51.5819083379032,-0.0333069727689923,11,2008,160.05742747538798,36D32C7E-59E1-4A0B-8A0F-9BD0804A381A,593063,593063_b,0
71,592040_b,18,0,High-density,592040,E00022114,E00022114,E01004392,814002,-0.0302964794963701,51.58452304119179,Kc-wQlmlsjkLKoR7gPrslw,51.584507001948296,-0.0303149975194249,8,2012,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,592040,592040_b,0
