,Unnamed: 0.1,clusters,clusters_2021_edited,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,keep
2,753787_b,7,10,High-density,753787,E00171483,E00171483,E01004392,814854,-0.0265887522473549,51.5823476369685,s0rd8rSTCXWp-NocSax5og,51.5823560636071,-0.0265898089647179,3,2021,259.552835260008,28EE9CE0-BAE7-4076-9824-4C22E006849A,753787,753787_b,0
4,753731_b,7,10,High-density,753731,E00171483,E00171483,E01004392,814794,-0.0307291397959035,51.58169511621039,GyxzUeTRbUX-K7rm3WwH4g,51.5817158043483,-0.0307166663232296,9,2020,245.77535275595295,8AD61D4A-2097-4E6B-B2A1-95836A2E528D,753731,753731_b,0
7,753782_b,7,10,High-density,753782,E00171483,E00171483,E01004392,814849,-0.0278929575274285,51.5824008361405,rDr-ZWNfdfLfMz3IHAu-yA,51.582382818012704,-0.0278980003677579,3,2018,176.7365151053,46AF11FF-3141-4DBF-8A05-EAF5D3F1AA20,753782,753782_b,0
10,753772_b,7,10,High-density,753772,E00171483,E00171483,E01004392,814837,-0.0297793634037121,51.5824414372157,iztNjsexl-VFCwVlHYd33Q,51.58196057080711,-0.0295859953317382,3,2018,249.591954570558,8AD61D4A-2097-4E6B-B2A1-95836A2E528D,753772,753772_b,0
14,753724_b,7,10,High-density,753724,E00171483,E00171483,E01004392,814787,-0.0287880103594523,51.5820302420349,_jc4Ddd_1F7-xsvH4UPAxA,51.5820776724595,-0.0287708931224215,3,2019,258.498120561916,8AD61D4A-2097-4E6B-B2A1-95836A2E528D,753724,753724_b,0
16,753783_b,7,10,High-density,753783,E00171483,E00171483,E01004392,814850,-0.0279049419688595,51.5825804455933,FZOatWYHXxCx2AyWuF0o7Q,51.5825641900294,-0.0278987203323463,3,2018,176.738510471828,46AF11FF-3141-4DBF-8A05-EAF5D3F1AA20,753783,753783_b,0
17,753722_b,11,4,Low-density,753722,E00171483,E00171483,E01004392,814785,-0.0282195526314557,51.5820924163398,_SY3r1-n6Ki1cVmLR37dDg,51.5821111265347,-0.0282155719636781,9,2020,258.498120561916,8AD61D4A-2097-4E6B-B2A1-95836A2E528D,753722,753722_b,0
19,753074_b,19,13,Estates,753074,E00171483,E00171483,E01004392,814079,-0.0286601323124377,51.5840081787187,RwM-K-ZlTwZFw9bLTor4gw,51.5840068313884,-0.0285835619176288,3,2019,168.403419029417,E24B36A1-FF81-44C8-B151-9D03A2B6414A,753074,753074_b,0
20,753840_b,10,15,Commercial,753840,E00171483,E00171483,E01004392,814911,-0.0282244529541613,51.5830338273467,FazeGgsILExceBZMa-X64w,51.58303815050321,-0.0281773724960204,3,2019,139.635463426903,5C4BD4A3-CB1B-44C5-A795-54711DC545E0,753840,753840_b,0
21,753082_b,17,9,Low-density,753082,E00171483,E00171483,E01004392,814088,-0.0278700273194421,51.583364404692496,VWPRqnZae764tbYSoJSM3w,51.5833433065017,-0.0279441125748335,3,2019,65.1288302513002,A8932A84-D2E4-4E25-93E4-7BB06A111CD8,753082,753082_b,0
