,Unnamed: 0_x,matched,p,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,keep
38,752941_b,0,0.41294407565442603,Terraced,752941,E00022080,E00022080,E01004392,813939,-0.0324077415813194,51.5843827160925,wuW9FXHUukZWuTIBrS5xNQ,51.5843693321537,-0.0323519605669009,3,2019,150.64224645720898,3A3B58FE-8713-445F-9EBA-771B0B7C8A96,752941,752941_b,0
41,753039_b,0,0.5433538609497724,Terraced,753039,E00022087,E00022087,E01004392,814042,-0.0278711384184832,51.5859477188266,ZcCAy0PLPjuBVKdA1XRBcA,51.5859457264344,-0.0278712206967711,3,2019,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4,753039,753039_b,0
42,753053_b,0,0.5252632716199921,Terraced,753053,E00022087,E00022087,E01004392,814057,-0.0279555457613937,51.58509449650471,ciu4FsrifTes8FJSdIBISA,51.5850891455141,-0.0279628281513284,3,2018,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753053,753053_b,0
44,753052_b,0,0.47507046043139645,Terraced,753052,E00022087,E00022087,E01004392,814056,-0.0282168582214865,51.5850181920328,Ii5VYWBSI24ydsftj-0dhQ,51.5850201176561,-0.0282024456419822,3,2019,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753052,753052_b,0
47,753056_b,0,0.5163201787147933,Terraced,753056,E00022087,E00022087,E01004392,814060,-0.0271715798866579,51.5853233753771,UVXJ4uqKq2U2i1BvY4Ca2w,51.5853184848763,-0.0271688602764292,3,2019,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753056,753056_b,0
50,753040_b,0,0.6388858108153138,Terraced,753040,E00022087,E00022087,E01004392,814043,-0.0276059690670166,51.58601867957021,mAos0Wtdhpt5aO_wl0PTjA,51.5859821308084,-0.0277371364022253,3,2019,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4,753040,753040_b,0
51,753038_b,0,0.0769537142744735,Terraced,753038,E00022087,E00022087,E01004392,814041,-0.0281363069567642,51.585876757474296,jPmsgzmZaWknit4cd2aLiA,51.58587066818789,-0.0281431575579113,3,2019,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4,753038,753038_b,0
53,753102_b,13,0.3870083254814569,Estates,753102,E00022087,E00022087,E01004392,814110,-0.0264352967941499,51.58553831091229,yxgnGf8Tm3_THvll3LFTkQ,51.5855371277925,-0.0264327832122493,3,2018,243.34620725288104,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753102,753102_b,0
57,753054_b,0,0.38084085690916836,Terraced,753054,E00022087,E00022087,E01004392,814058,-0.0276942314216189,51.58517079903361,K21uboDYeeL77Z-OwdL51g,51.585163958774,-0.0277028386105813,3,2018,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753054,753054_b,0
58,753055_b,0,0.38381002566119704,Terraced,753055,E00022087,E00022087,E01004392,814059,-0.0274329060857734,51.5852470875015,2meC3Tiiyyqva8jl9pI8gg,51.5852451995728,-0.0274228367342951,3,2019,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753055,753055_b,0
61,753037_b,0,0.2889567319837395,Terraced,753037,E00022087,E00022087,E01004392,814040,-0.028401474681855,51.58580579551301,39lPBwq8ttwUG4yMX2_z8g,51.5858105561645,-0.0283640286459032,3,2018,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4,753037,753037_b,0
64,754197_b,15,0.7865449131379596,Commercial,754197,E00171730,E00171730,E01004392,815290,-0.033598537007414,51.581451716891614,x3nKfpgkJwYJM0A7H7__2w,51.5814306497091,-0.0335579046092442,3,2018,145.410234049804,0F80E2D0-74D4-4030-8C46-0AF04E8F20DB,754197,754197_b,0
66,754200_b,10,0.1779516762981953,High-density,754200,E00171730,E00171730,E01004392,815293,-0.0333581335832399,51.581943414709215,0Lo4sole1kq52Ds4Gt4cPw,51.58192408843579,-0.0333096549395137,9,2020,160.05742747538798,36D32C7E-59E1-4A0B-8A0F-9BD0804A381A,754200,754200_b,0
69,753007_b,0,0.45782243408474077,Terraced,753007,E00022114,E00022114,E01004392,814008,-0.0305512498548696,51.583888726241,FGE1w580nHn-ZNuVJfVyRw,51.583897392992704,-0.0305120558377132,3,2018,241.990823291986,1CEEC007-2BEA-4C11-B46A-4FC1724E2D9D,753007,753007_b,0
71,753008_b,0,0.6449055549323637,Terraced,753008,E00022114,E00022114,E01004392,814009,-0.0302929064486332,51.583968850557696,3CLfMv8UMD1EOxLPW3b9oQ,51.5839775088622,-0.0302553977612455,3,2019,241.990823291986,1CEEC007-2BEA-4C11-B46A-4FC1724E2D9D,753008,753008_b,0
74,753002_b,0,0.4996633813904505,Terraced,753002,E00022114,E00022114,E01004392,814002,-0.0302964794963701,51.58452304119179,eJyatzpILcnrPXTXcBYdTQ,51.5845139143256,-0.0303242068816529,3,2019,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,753002,753002_b,0
