,Unnamed: 0_x,matched,p,clusters_2011_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0_y,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,angle
41,523881_b,10,0.3580599572173086,High-density,523881,E00023974,E00023974,E01004737,723135,-0.133290434688764,51.4863922821182,HPzmcN_o91aUogNYMtFXrg,51.4864320373724,-0.133021126521172,8,2012,162.407575437818,FF9B6A7A-17BF-44C2-8492-A0289E8F73A2,523881,523881_b,b
44,519188_b,13,0.2661935502456102,Estates,519188,E00015190,E00015190,E01003015,716618,-0.111601403561861,51.4946801839995,KgkDgr9Y1zguQkUBxiGcPQ,51.4947602974431,-0.110874993472464,7,2008,177.702522949994,1AF632EA-1652-4E07-BC20-8F80D2EB5863,519188,519188_b,b
45,617975_b,15,0.4893492294874449,Commercial,617975,E00015370,E00015370,E01003051,847410,-0.102084172844261,51.4649270311455,Q4SJFJjnswxL2uKCg9T3Jg,51.46494226120149,-0.102131741086699,6,2008,140.358169675586,C3165005-00E2-4254-A354-E590CD6679F9,617975,617975_b,b
46,617973_b,10,0.3214718419354681,High-density,617973,E00015370,E00015370,E01003051,847408,-0.1024395212502269,51.46520993606179,tkXC_iKSZLWgbJp844SGPw,51.465255888151205,-0.102479969838821,6,2008,140.389311760121,C3165005-00E2-4254-A354-E590CD6679F9,617973,617973_b,b
49,618596_b,13,0.3244096390451469,Estates,618596,E00015370,E00015370,E01003051,848215,-0.102517487899215,51.4642029003724,a6Z-iJQe6Pf6UjhdwGrUzA,51.464262647603206,-0.102512113219123,6,2008,127.168565471315,B9AC6061-4B43-4830-8ADD-A61E1715E4A8,618596,618596_b,b
51,617972_b,10,0.4308344652333704,High-density,617972,E00015370,E00015370,E01003051,847407,-0.1026171930380669,51.46535139012771,bSH-EsArteXVpd6qcWbFUg,51.4653468133378,-0.102602674120727,6,2008,140.389311760121,C3165005-00E2-4254-A354-E590CD6679F9,617972,617972_b,b
52,618026_b,15,0.3300587140733656,Commercial,618026,E00015370,E00015370,E01003051,847480,-0.102753426006995,51.466332052310285,xjEEn3ZSAeVGAvNJBG666g,51.46591680250939,-0.102275091629625,7,2009,234.763266968887,C74E089D-7184-495B-893B-12D0B3A07A55,618026,618026_b,b
54,618027_b,15,0.4066682644436108,Commercial,618027,E00015370,E00015370,E01003051,847481,-0.102871311182246,51.46616802935411,4oLiSRRG7bG0_K2NpNHNVg,51.4658129657399,-0.102567217691656,4,2012,234.88140612035,C74E089D-7184-495B-893B-12D0B3A07A55,618027,618027_b,b
56,617979_b,10,0.0901095760347062,High-density,617979,E00015370,E00015370,E01003051,847414,-0.1031838361280609,51.4650894423096,zw3kL2LhY2yPGXR42ykIaQ,51.4651129464638,-0.103176359446128,7,2009,183.172758640287,89C44B8F-D7E9-4441-B6CE-A0F41594146B,617979,617979_b,b
57,618597_b,13,0.2728780091540643,Estates,618597,E00015370,E00015370,E01003051,848216,-0.102292722868759,51.4640905875469,GWoajeG8diaTuiwXHA1GCw,51.46416597673621,-0.102304176838535,6,2008,127.168565471315,B9AC6061-4B43-4830-8ADD-A61E1715E4A8,618597,618597_b,b
58,618020_b,10,0.3751559787905124,High-density,618020,E00015370,E00015370,E01003051,847470,-0.102598052572623,51.4657899098059,X8gwwB4w6Xjhu1GeqtBHng,51.4657956447122,-0.102581730891852,7,2009,234.88140612035,C74E089D-7184-495B-893B-12D0B3A07A55,618020,618020_b,b
60,618019_b,10,0.1739232447187236,High-density,618019,E00015370,E00015370,E01003051,847469,-0.102358394492375,51.46588949476421,PxNT_gRJ-Quu55KS6ID8lQ,51.4658664193972,-0.102365703344882,6,2008,234.88140612035,C74E089D-7184-495B-893B-12D0B3A07A55,618019,618019_b,b
63,623706_b,10,0.4959771594842397,High-density,623706,E00019826,E00019826,E01003940,855479,-0.088349553139904,51.4972126336553,Luu-Dl9jnOMXPxvMrxLbLQ,51.4971926171292,-0.0882554388523277,9,2009,144.796793517649,FED9FDB4-5E79-4517-A74B-81F6E01A79A6,623706,623706_b,b
64,623707_b,10,0.6496381883577107,High-density,623707,E00019826,E00019826,E01003940,855480,-0.0881897043995797,51.497063068644295,BUebli4kM_QpDsg0nNebVA,51.4970705368601,-0.0881488800965045,6,2012,144.819969120378,FED9FDB4-5E79-4517-A74B-81F6E01A79A6,623707,623707_b,b
66,623719_b,10,0.5650659646185233,High-density,623719,E00019826,E00019826,E01003940,855500,-0.086925278051289,51.49713972040978,ZK0VdQtLyg8HY7he7eol-Q,51.497138050539206,-0.0869545912065303,6,2012,225.805184972816,4EC21291-C31C-40E8-9EE8-0DAA8D62E5A4,623719,623719_b,b
68,623709_b,10,0.5604662040818006,High-density,623709,E00019826,E00019826,E01003940,855482,-0.0878701338705536,51.4967638864503,COqJ4owj2DPaF58CIx0G5Q,51.4968478050538,-0.087895990740233,6,2012,144.819969120378,FED9FDB4-5E79-4517-A74B-81F6E01A79A6,623709,623709_b,b
71,623718_b,13,0.343729403152607,Estates,623718,E00019826,E00019826,E01003940,855499,-0.0871397198387138,51.4970196843116,qKbPovyBC2w_k49E4DZQqA,51.497036021021096,-0.0871551077195519,9,2009,146.30993247408898,28434211-285F-4A2D-9D70-1D62E2F838F3,623718,623718_b,b
73,623708_b,10,0.4567873651170799,High-density,623708,E00019826,E00019826,E01003940,855481,-0.0880298835958169,51.4969134922279,-Gz7BjecvniKFYPrghtUvQ,51.4969240090512,-0.0879884944743612,6,2012,144.819969120378,FED9FDB4-5E79-4517-A74B-81F6E01A79A6,623708,623708_b,b
74,623710_b,13,0.6126617972668367,Estates,623710,E00019826,E00019826,E01003940,855483,-0.0873541605011598,51.49689964780729,5cfQY_HRU-g4tPWtmmISRw,51.4968955347114,-0.0872977720682629,9,2009,232.422264638672,FCEC6A66-D696-4482-B915-7E13375BDBA0,623710,623710_b,b
75,623728_b,0,0.001,Terraced,623728,E00019826,E00019826,E01003940,855510,-0.0879508723267062,51.49747219755029,Zl3cF_xvGE7RUzdLBwRuaQ,51.4975046701058,-0.0879103489796408,9,2009,222.29630497692293,2EB0B03C-38EB-4430-91C0-3969CA9E604F,623728,623728_b,b
77,623720_b,13,0.3816866671961235,Estates,623720,E00019826,E00019826,E01003940,855501,-0.0867108351388829,51.497259756101705,fjuABPmfYM5a76XvLyuOQA,51.497262956067495,-0.0866938447492582,9,2009,226.617430302418,625308FF-A7CA-4B3F-A471-5FFE2972363A,623720,623720_b,b
78,623705_b,10,0.2421929291058423,High-density,623705,E00019826,E00019826,E01003940,855478,-0.0875662433867123,51.4968031827047,KNs_c9H9ktKQ0CjDdPEqOA,51.496791340849285,-0.0875873740866882,6,2012,232.416789370468,FCEC6A66-D696-4482-B915-7E13375BDBA0,623705,623705_b,b
81,519161_b,10,0.3687598091586854,High-density,519161,E00015169,E00015169,E01003015,716581,-0.112369802812964,51.4939692714439,oC8myDHFxvb98Fa11AhcbA,51.4939431166403,-0.112292678395896,6,2008,127.433934661354,FF99A0A3-3B5E-48CF-B3A4-04FB8EAAC2B1,519161,519161_b,b
83,519162_b,10,0.2026685058257807,High-density,519162,E00015169,E00015169,E01003015,716582,-0.112145714832738,51.4938563189714,N9V3CA4CRWiZUmAmGc6Pyg,51.4938830651328,-0.112175766718788,6,2008,127.433934661354,FF99A0A3-3B5E-48CF-B3A4-04FB8EAAC2B1,519162,519162_b,b
86,630966_b,13,0.3940570055134283,Estates,630966,E00015169,E00015169,E01003015,865102,-0.11088877287008,51.494196533455295,Dj2fVeHSiyeL2F5XBBavuA,51.4941675024386,-0.110868976652184,5,2012,180.931327191104,9E4ACDD1-6049-49B3-91C6-0F4FA85FE5A8,630966,630966_b,b
88,519187_b,13,0.334737971273527,Estates,519187,E00015169,E00015169,E01003015,716617,-0.111685376707138,51.4945369680953,VDkq7rwQ_mkcO_rzsByoiw,51.4945857532063,-0.110868146275981,7,2008,177.702522949994,1AF632EA-1652-4E07-BC20-8F80D2EB5863,519187,519187_b,b
91,519160_b,10,0.4516271391162182,High-density,519160,E00015169,E00015169,E01003015,716580,-0.112595170828522,51.4940812226447,yMtbgDdHNCkcb7AU8e0-pg,51.4940456880715,-0.112496505722974,7,2009,127.454597537601,FF99A0A3-3B5E-48CF-B3A4-04FB8EAAC2B1,519160,519160_b,b
92,519157_b,10,0.2103225438829229,High-density,519157,E00015169,E00015169,E01003015,716576,-0.113501790330973,51.4946158255867,fsS9yK0XMqlSK5Pn2clvQw,51.494578591994106,-0.113557640054156,7,2009,127.303948277983,1D758DCB-CA42-454D-9752-A8CB06BF6BC4,519157,519157_b,b
