,Unnamed: 0.1,clusters,clusters_2021_edited,clusters_2021_cleanup,idx_x,oa_name,OA11CD,LSOA11CD,Unnamed: 0,xcoord,ycoord,panoid,lat,lon,month,year,azi,id,idx_y,idx_y,keep
27,753008_d,18,0,High-density,753008,E00022114,E00022114,E01004392,814009,-0.0302929064486332,51.583968850557696,3CLfMv8UMD1EOxLPW3b9oQ,51.5839775088622,-0.0302553977612455,3,2019,241.990823291986,1CEEC007-2BEA-4C11-B46A-4FC1724E2D9D,753008,753008_d,1
29,752998_d,18,0,High-density,752998,E00022114,E00022114,E01004392,813998,-0.0313410699538225,51.5842169682261,FqG2UqPZVbxLuMZJOtKqqw,51.58420934402739,-0.0313449517494189,7,2021,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,752998,752998_d,1
31,753002_d,18,0,High-density,753002,E00022114,E00022114,E01004392,814002,-0.0302964794963701,51.58452304119179,eJyatzpILcnrPXTXcBYdTQ,51.5845139143256,-0.0303242068816529,3,2019,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,753002,753002_d,1
33,752997_d,18,0,High-density,752997,E00022114,E00022114,E01004392,813997,-0.0316022154048116,51.5841404485059,lpa9h2RkpiIapch9tHGJxA,51.5841332398903,-0.0316021578209212,3,2019,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,752997,752997_d,1
35,753000_d,18,0,High-density,753000,E00022114,E00022114,E01004392,814000,-0.0308187764557896,51.5843700058919,3EJw11oM-xEBChThRZHm3A,51.5843683803818,-0.0308123230822149,3,2018,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,753000,753000_d,1
38,753006_d,18,0,High-density,753006,E00022114,E00022114,E01004392,814007,-0.030809592363604,51.5838086013447,HadiS9QB7rML-0VSNgrEug,51.583810928466605,-0.0307888156040663,7,2021,241.990823291986,1CEEC007-2BEA-4C11-B46A-4FC1724E2D9D,753006,753006_d,1
39,752999_d,18,0,High-density,752999,E00022114,E00022114,E01004392,813999,-0.0310799236374816,51.58429348735471,x_Upyf-OWEgT5kJSl-xV3Q,51.5842910717496,-0.0310737472436031,7,2021,243.26790620724097,8634AA41-E419-45C3-B953-3BA753ACAD0B,752999,752999_d,1
41,753007_d,18,0,High-density,753007,E00022114,E00022114,E01004392,814008,-0.0305512498548696,51.583888726241,FGE1w580nHn-ZNuVJfVyRw,51.583897392992704,-0.0305120558377132,3,2018,241.990823291986,1CEEC007-2BEA-4C11-B46A-4FC1724E2D9D,753007,753007_d,1
44,753005_d,18,0,High-density,753005,E00022114,E00022114,E01004392,814006,-0.0310679339748347,51.583728475869,n_D0MOqom5oiCIhVXP8oBQ,51.5837194809062,-0.031082626314823,3,2018,241.990823291986,1CEEC007-2BEA-4C11-B46A-4FC1724E2D9D,753005,753005_d,1
45,753102_d,18,0,High-density,753102,E00022087,E00022087,E01004392,814110,-0.0264352967941499,51.58553831091229,yxgnGf8Tm3_THvll3LFTkQ,51.5855371277925,-0.0264327832122493,3,2018,243.34620725288104,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753102,753102_d,1
47,753034_d,19,13,Estates,753034,E00022087,E00022087,E01004392,814036,-0.0291827226105422,51.5854958489884,W1pxdlkhEtPEnSmpVte22w,51.58550452011661,-0.029188912206242,3,2018,173.229691112426,D40B89C5-F2F8-4D1B-8EB1-66DBC489FD4C,753034,753034_d,1
48,753039_d,18,0,High-density,753039,E00022087,E00022087,E01004392,814042,-0.0278711384184832,51.5859477188266,ZcCAy0PLPjuBVKdA1XRBcA,51.5859457264344,-0.0278712206967711,3,2019,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4,753039,753039_d,1
51,753052_d,18,0,High-density,753052,E00022087,E00022087,E01004392,814056,-0.0282168582214865,51.5850181920328,Ii5VYWBSI24ydsftj-0dhQ,51.5850201176561,-0.0282024456419822,3,2019,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753052,753052_d,1
52,753047_d,18,0,High-density,753047,E00022087,E00022087,E01004392,814050,-0.0287921367081655,51.5843541417261,p4rmXfkMvKGTL1NKGtsE4w,51.5843851902277,-0.0287954462919538,3,2021,161.826196950708,912DFF91-9353-406E-B371-E569C271DF46,753047,753047_d,1
54,753037_d,18,0,High-density,753037,E00022087,E00022087,E01004392,814040,-0.028401474681855,51.58580579551301,39lPBwq8ttwUG4yMX2_z8g,51.5858105561645,-0.0283640286459032,3,2018,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4,753037,753037_d,1
56,753038_d,18,0,High-density,753038,E00022087,E00022087,E01004392,814041,-0.0281363069567642,51.585876757474296,jPmsgzmZaWknit4cd2aLiA,51.58587066818789,-0.0281431575579113,3,2019,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4,753038,753038_d,1
58,753040_d,18,0,High-density,753040,E00022087,E00022087,E01004392,814043,-0.0276059690670166,51.58601867957021,mAos0Wtdhpt5aO_wl0PTjA,51.5859821308084,-0.0277371364022253,3,2019,245.207559981358,C5C2AC5F-5418-4E84-9E0D-978C6AA994D4,753040,753040_d,1
59,753048_d,18,0,High-density,753048,E00022087,E00022087,E01004392,814051,-0.0288747300923135,51.5845264070087,0YSBgLw45hRvm9y3Rzm8iw,51.584503364897,-0.0288518540818851,3,2018,161.826196950708,912DFF91-9353-406E-B371-E569C271DF46,753048,753048_d,1
61,753054_d,18,0,High-density,753054,E00022087,E00022087,E01004392,814058,-0.0276942314216189,51.58517079903361,K21uboDYeeL77Z-OwdL51g,51.585163958774,-0.0277028386105813,3,2018,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753054,753054_d,1
62,753053_d,18,0,High-density,753053,E00022087,E00022087,E01004392,814057,-0.0279555457613937,51.58509449650471,ciu4FsrifTes8FJSdIBISA,51.5850891455141,-0.0279628281513284,3,2018,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753053,753053_d,1
65,753055_d,18,0,High-density,753055,E00022087,E00022087,E01004392,814059,-0.0274329060857734,51.5852470875015,2meC3Tiiyyqva8jl9pI8gg,51.5852451995728,-0.0274228367342951,3,2019,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753055,753055_d,1
66,753056_d,18,0,High-density,753056,E00022087,E00022087,E01004392,814060,-0.0271715798866579,51.5853233753771,UVXJ4uqKq2U2i1BvY4Ca2w,51.5853184848763,-0.0271688602764292,3,2019,243.340991449725,D2BEA324-A35F-4151-BF55-E56492CFFF5E,753056,753056_d,1
69,752958_d,19,13,Estates,752958,E00022079,E00022079,E01004392,813956,-0.0310546956187293,51.585089894872205,8PAOy-g_9UO7A4zMWSM0gw,51.5850787280331,-0.0310819863226128,3,2019,245.087253500194,1B53702C-44C1-422D-A0ED-BBB2D1CC99FC,752958,752958_d,1
71,752955_d,18,0,High-density,752955,E00022079,E00022079,E01004392,813953,-0.0318493056172329,51.5848757389308,lbMe2oP-Z17xpSaaZlCC1Q,51.5848821404132,-0.0318081458014635,3,2018,245.061572344543,1B53702C-44C1-422D-A0ED-BBB2D1CC99FC,752955,752955_d,1
