,Unnamed: 0,X,LSOA.code..2011.,Income.Score..rate.,lsoa,Unnamed..0,resid,res_dec
1895,1896,1895,E01001945,0.167,E01001945,5.81662439986279,0.290111423884847,9
1904,1905,1904,E01001954,0.199,E01001954,6.00234987233814,0.519602363297912,9
1926,1927,1926,E01001976,0.209,E01001976,5.77334656420442,0.304275763582226,9
1927,1928,1927,E01001977,0.256,E01001977,5.75785769451232,0.353067423454891,9
1932,1933,1932,E01001982,0.184,E01001982,5.9330289999644,0.429766428297111,9
1941,1942,1941,E01001991,0.069,E01001991,6.11377048923309,0.453225770758395,9
1948,1949,1948,E01001998,0.102,E01001998,5.84272657422458,0.22731499352941,9
1949,1950,1949,E01001999,0.146,E01001999,5.79010668138819,0.234872617732375,9
1951,1952,1951,E01002001,0.119,E01002001,6.00373777002096,0.411576593636447,9
1954,1955,1954,E01002004,0.12,E01002004,5.84955188227288,0.258758376730174,9
1970,1971,1970,E01002021,0.068,E01002021,6.13986316564921,0.477950776332714,9
1974,1975,1974,E01002025,0.026,E01002025,5.97392333665137,0.254568771979123,9
1981,1982,1981,E01002032,0.213,E01002032,5.8799670515237,0.41636693426872,9
2008,2009,2008,E01002060,0.083,E01002060,6.07797692351871,0.43657959682927,9
2514,2515,2514,E01002573,0.051,E01002573,5.97119783138742,0.286035037760268,9
2713,2714,2713,E01002780,0.177,E01002780,5.87399018533302,0.361153917773111,9
2714,2715,2714,E01002781,0.232,E01002781,5.85622119903564,0.418606827774929,9
2767,2768,2767,E01002834,0.056,E01002834,6.00662789079878,0.328303451380644,9
2769,2770,2769,E01002836,0.043,E01002836,6.0415618121624,0.345457651800817,9
2772,2773,2772,E01002839,0.111,E01002839,6.03538440025016,0.432281857131218,9
2775,2776,2775,E01002842,0.363,E01002842,6.17119646072388,0.912746969739423,9
2778,2779,2778,E01002845,0.126,E01002845,5.91479591463433,0.332208434142439,9
2780,2781,2780,E01002847,0.08,E01002847,6.02910294899574,0.383602609780885,9
2782,2783,2782,E01002849,0.068,E01002849,5.98881856600444,0.326906176687941,9
2792,2793,2792,E01002859,0.024,E01002859,5.95205064470118,0.229960738345328,9
2799,2800,2799,E01002866,0.107,E01002866,5.85328683966682,0.244713613180664,9
2809,2810,2809,E01002876,0.123,E01002876,6.05662693813735,0.469936445120053,9
2822,2823,2822,E01002889,0.038,E01002889,5.97681460797208,0.27387209340148,9
2826,2827,2826,E01002893,0.126,E01002893,6.09797976853011,0.515392288038225,9
2842,2843,2842,E01002909,0.193,E01002909,6.01474775075912,0.523794216668072,9
2958,2959,2958,E01003027,0.023,E01003027,6.14581093627415,0.422353359076501,9
3050,3051,3050,E01003120,0.149,E01003120,5.84821278007091,0.297081728940497,9
3068,3069,3068,E01003138,0.039,E01003138,6.13916675877153,0.437591915042732,9
3088,3089,3088,E01003158,0.037,E01003158,5.99968247492235,0.295372289509944,9
3204,3205,3204,E01003277,0.135,E01003277,6.06715474849524,0.496876305579577,9
3378,3379,3378,E01003454,0.054,E01003454,6.06612606048584,0.385066279384097,9
3396,3397,3396,E01003472,0.018,E01003472,6.08131468139197,0.351018749985296,9
3419,3420,3419,E01003495,0.103,E01003495,5.93366913000743,0.319625220154056,9
3758,3759,3758,E01003846,0.018,E01003846,5.96654449991278,0.236248568506107,9
3972,3973,3972,E01004073,0.061,E01004073,5.94887507701742,0.277388991808304,9
4226,4227,4226,E01004338,0.113,E01004338,5.91666376154597,0.316296560110636,9
4349,4350,4349,E01004463,0.107,E01004463,5.86653371555049,0.257960489064336,9
4365,4366,4365,E01004479,0.045,E01004479,6.00762304813742,0.314254229459443,9
4373,4374,4373,E01004487,0.119,E01004487,6.10372035725172,0.511559180867207,9
4374,4375,4374,E01004488,0.071,E01004488,6.05361283526701,0.395803458475927,9
4375,4376,4375,E01004489,0.123,E01004489,6.06649063236412,0.479800139346819,9
4398,4399,4398,E01004512,0.07,E01004512,5.90456032507198,0.245383277439097,9
4404,4405,4404,E01004518,0.09,E01004518,5.94513896942139,0.31331533862457,9
4418,4419,4418,E01004532,0.133,E01004532,5.83182842240614,0.258814637806875,9
4429,4430,4429,E01004543,0.048,E01004543,5.92768426643786,0.238418460285291,9
4430,4431,4430,E01004544,0.072,E01004544,5.93469935021502,0.278257644265739,9
4435,4436,4435,E01004549,0.096,E01004549,5.9767002823024,0.3530826765564,9
4445,4446,4445,E01004559,0.048,E01004559,5.98463087081909,0.295365064666527,9
4470,4471,4470,E01004586,0.054,E01004586,6.07000541553069,0.388945634428944,9
4478,4479,4478,E01004594,0.028,E01004594,6.08942927601181,0.372810053023179,9
4480,4481,4480,E01004596,0.029,E01004596,5.97777645812075,0.262524905973922,9
4481,4482,4481,E01004597,0.092,E01004597,5.93864742127976,0.309559132166547,9
4483,4484,4483,E01004599,0.03,E01004599,6.18389278504907,0.470008903744038,9
4555,4556,4555,E01004677,0.183,E01004677,5.87029807435142,0.365667831842328,9
4577,4578,4577,E01004700,0.048,E01004700,6.02390577208321,0.334639965930646,9
4583,4584,4583,E01004707,0.025,E01004707,6.05587380641216,0.33515157089811,9
4789,4790,4789,E01033608,0.097,E01033608,5.88551857964746,0.263268644743267,9
