,Unnamed: 0,X,LSOA.code..2011.,Income.Score..rate.,lsoa,Unnamed..0,resid,res_dec,Outdoors.Sub.domain.Score,Education..Skills.and.Training.Score,wealth_resid,outdoor_resid,education_resid
2775,2776,2775,E01002842,0.363,E01002842,6.17119646072388,0.912746969739423,9,2.202,17.635,0.912746969739423,-0.513701399934533,-0.333414263290146
2778,2779,2778,E01002845,0.126,E01002845,5.91479591463433,0.332208434142439,9,2.365,2.09,0.332208434142439,-0.288200883912193,-0.232194986553215
2780,2781,2780,E01002847,0.08,E01002847,6.02910294899574,0.383602609780885,9,2.115,0.69,0.383602609780885,-0.38718220764032,-0.286747653347595
2782,2783,2782,E01002849,0.068,E01002849,5.98881856600444,0.326906176687941,9,2.183,0.861,0.326906176687941,-0.384653413320309,-0.299314359755799
2792,2793,2792,E01002859,0.024,E01002859,5.95205064470118,0.229960738345328,9,2.017,0.987,0.229960738345328,-0.445859070464506,-0.237144679510229
2799,2800,2799,E01002866,0.107,E01002866,5.85328683966682,0.244713613180664,9,1.901,2.534,0.244713613180664,-0.2516153664754,-0.254620821583346
2809,2810,2809,E01002876,0.123,E01002876,6.05662693813735,0.469936445120053,9,2.114,4.879,0.469936445120053,-0.278679865348147,-0.234282356401092
2822,2823,2822,E01002889,0.038,E01002889,5.97681460797208,0.27387209340148,9,1.79,1.673,0.27387209340148,-0.482983151234608,-0.254570830774239
2826,2827,2826,E01002893,0.126,E01002893,6.09797976853011,0.515392288038225,9,1.643,7.1,0.515392288038225,-0.54839122869858,-0.330874763232582
2842,2843,2842,E01002909,0.193,E01002909,6.01474775075912,0.523794216668072,9,2.122,7.526,0.523794216668072,-0.278611378239731,-0.285556060107614
2958,2959,2958,E01003027,0.023,E01003027,6.14581093627415,0.422353359076501,9,1.808,0.819,0.422353359076501,-0.335159679806669,-0.24161967486558
3050,3051,3050,E01003120,0.149,E01003120,5.84821278007091,0.297081728940497,9,1.835,13.05,0.297081728940497,-0.342713757091597,-0.191384061581359
3068,3069,3068,E01003138,0.039,E01003138,6.13916675877153,0.437591915042732,9,1.71,1.382,0.437591915042732,-0.285515747123454,-0.205628016781244
3088,3089,3088,E01003158,0.037,E01003158,5.99968247492235,0.295372289509944,9,1.674,4.354,0.295372289509944,-0.262634553239564,-0.348649699040928
3204,3205,3204,E01003277,0.135,E01003277,6.06715474849524,0.496876305579577,9,1.27,4.916,0.496876305579577,-0.395794439529042,-0.326060266982216
3378,3379,3378,E01003454,0.054,E01003454,6.06612606048584,0.385066279384097,9,0.859,0.86,0.385066279384097,-0.285760294576642,-0.195248491611557
3396,3397,3396,E01003472,0.018,E01003472,6.08131468139197,0.351018749985296,9,0.952,0.233,0.351018749985296,-0.590434322723581,-0.494640226794337
3419,3420,3419,E01003495,0.103,E01003495,5.93366913000743,0.319625220154056,9,1.351,12.793,0.319625220154056,-0.363684422804989,-0.29923536323283
3758,3759,3758,E01003846,0.018,E01003846,5.96654449991278,0.236248568506107,9,0.728,0.039,0.236248568506107,-0.370313355941078,-0.236631794863378
3972,3973,3972,E01004073,0.061,E01004073,5.94887507701742,0.277388991808304,9,1.211,0.696,0.277388991808304,-0.307587283945874,-0.198671796714511
4226,4227,4226,E01004338,0.113,E01004338,5.91666376154597,0.316296560110636,9,1.491,9.376,0.316296560110636,-0.305012700070882,-0.234069093026158
4349,4350,4349,E01004463,0.107,E01004463,5.86653371555049,0.257960489064336,9,1.009,12.376,0.257960489064336,-0.331043808633653,-0.239617233149486
4365,4366,4365,E01004479,0.045,E01004479,6.00762304813742,0.314254229459443,9,1.205,5.45,0.314254229459443,-0.358996790645848,-0.242533662740327
4373,4374,4373,E01004487,0.119,E01004487,6.10372035725172,0.511559180867207,9,1.149,2.149,0.511559180867207,-0.464302945143113,-0.267656591608027
4374,4375,4374,E01004488,0.071,E01004488,6.05361283526701,0.395803458475927,9,1.491,0.823,0.395803458475927,-0.380589598998264,-0.291050523134893
4375,4376,4375,E01004489,0.123,E01004489,6.06649063236412,0.479800139346819,9,1.677,8.317,0.479800139346819,-0.320686431068078,-0.471087228226419
4398,4399,4398,E01004512,0.07,E01004512,5.90456032507198,0.245383277439097,9,1.498,3.839,0.245383277439097,-0.311358140153902,-0.195689370734303
4404,4405,4404,E01004518,0.09,E01004518,5.94513896942139,0.31331533862457,9,1.308,2.874,0.31331533862457,-0.295991365000827,-0.311185188574527
4418,4419,4418,E01004532,0.133,E01004532,5.83182842240614,0.258814637806875,9,1.194,4.669,0.258814637806875,-0.368999294025944,-0.271247057696223
4429,4430,4429,E01004543,0.048,E01004543,5.92768426643786,0.238418460285291,9,1.157,0.071,0.238418460285291,-0.355370295504394,-0.189287881352786
4430,4431,4430,E01004544,0.072,E01004544,5.93469935021502,0.278257644265739,9,1.604,0.26,0.278257644265739,-0.343119242316713,-0.189133199449069
4435,4436,4435,E01004549,0.096,E01004549,5.9767002823024,0.3530826765564,9,1.668,7.8,0.3530826765564,-0.32859165557285,-0.274554167588402
4445,4446,4445,E01004559,0.048,E01004559,5.98463087081909,0.295365064666527,9,1.246,0.105,0.295365064666527,-0.330057653948618,-0.248113058542923
4470,4471,4470,E01004586,0.054,E01004586,6.07000541553069,0.388945634428944,9,1.861,2.77,0.388945634428944,-0.257620545000496,-0.221930848733542
4478,4479,4478,E01004594,0.028,E01004594,6.08942927601181,0.372810053023179,9,1.332,0.287,0.372810053023179,-0.362790419608287,-0.240925807921039
4480,4481,4480,E01004596,0.029,E01004596,5.97777645812075,0.262524905973922,9,1.136,0.249,0.262524905973922,-0.450522147071563,-0.281169852057348
4481,4482,4481,E01004597,0.092,E01004597,5.93864742127976,0.309559132166547,9,1.306,0.775,0.309559132166547,-0.245269780661649,-0.261793256984647
4483,4484,4483,E01004599,0.03,E01004599,6.18389278504907,0.470008903744038,9,0.842,0.521,0.470008903744038,-0.629954473247993,-0.420017828679167
4555,4556,4555,E01004677,0.183,E01004677,5.87029807435142,0.365667831842328,9,1.509,8.957,0.365667831842328,-0.325709347966356,-0.244762868178443
4577,4578,4577,E01004700,0.048,E01004700,6.02390577208321,0.334639965930646,9,1.384,5.285,0.334639965930646,-0.497455973974447,-0.331288990241152
4583,4584,4583,E01004707,0.025,E01004707,6.05587380641216,0.33515157089811,9,1.51,0.646,0.33515157089811,-0.380991592835734,-0.209309218972095
4789,4790,4789,E01033608,0.097,E01033608,5.88551857964746,0.263268644743267,9,1.611,6.186,0.263268644743267,-0.382175783026729,-0.237751382978642
