,income_normal,education_normal,outdoor_normal,income,education,outdoor,wealth_resid,education_resid,outdoor_resid,"Life expectancy, Male (central estimate)","Life expectancy, Female (central estimate)"
0,-1.7472704205123648,-1.306336743050921,0.5016899745706289,0.007,0.024,1.503,-0.0157722731338189,0.241100505369745,-0.234722881574435,92.6164221285407,90.0474772445608
1,-1.394827577800421,-1.3024630460940905,-0.04374927813101706,0.034,0.063,1.196,-0.119675694477339,0.360546480108276,-0.227796406216035,93.8501318118348,101.789454854552
2,-0.7160487696144554,-0.7322349889360714,1.7524692380949247,0.086,5.804,2.207,-0.225648394227987,0.205993496243126,0.159460529616485,84.6230729552776,87.5358732028821
3,0.9156310577556549,0.9022664757203234,0.9742855485727067,0.211,22.26,1.769,0.134777891636197,0.0112034484535465,-0.174192830146516,84.2728048838062,92.651595868419
4,0.8634173032798114,-0.17789902185735618,0.18366513341885513,0.207,11.385,1.324,-0.208399410816039,0.406754119270806,0.191126789042485,77.2137549227099,84.8339372081679
5,1.6205167431795429,1.2246772532041987,1.1004294799792766,0.265,25.506,1.84,-0.274992103291097,0.193256578665311,0.379707108163847,78.4879542964317,86.9336290456297
6,0.6023485309005938,0.25198201478781124,0.26539218756959043,0.187,15.713,1.37,-0.0740760332966131,0.198753130674963,0.143240958419168,78.2058639768079,88.2825131648488
7,0.3673866357592981,-0.14045328460799655,0.08950135363648597,0.169,11.762,1.271,-0.230718318238505,0.210641486016361,0.0217789023173624,81.2515172330445,79.4897877854102
8,0.3412797585213763,0.927991796536196,-0.04552595322125024,0.167,22.519,1.195,0.0378552433976651,-0.131874736250788,-0.13922911534013,83.5236116838765,85.1501172614845
9,1.2811273390865596,0.6553431261131407,0.19610185905048855,0.239,19.774,1.331,-0.0854340915736962,0.199035956797213,0.174757570170507,82.6635490775035,86.3235340512639
10,0.9417379349935767,1.0753909320217387,-0.5145681770428612,0.213,24.003,0.931,-0.235411160554144,0.173573064747493,0.156072932103481,79.3206197719469,82.3397946579199
11,0.7850966715660463,1.8201340033631128,-0.3848708954558249,0.201,31.501,1.004,-0.213802558887372,0.0539207946222296,0.233047000321376,76.3113552248757,81.9915381815806
12,0.7589897943281245,1.5713234680590125,-0.7490892889536667,0.199,28.996,0.799,-0.279092356946436,0.134565331210174,0.183489252461188,77.6661797637073,84.5842676030981
13,1.4247151638951294,0.9657355104745428,-0.7952828412997345,0.25,22.899,0.773,-0.103504073574514,0.0959084375513808,0.0628264136878568,75.6336905626114,83.6511433913176
14,0.9286844963746158,1.3093026328764916,-0.7526426391341334,0.212,26.358,0.797,-0.0827940924425475,-0.016192266702998,0.146691470818054,78.197883572204,85.4032645723685
15,0.6937226012333201,1.2847692188165662,-0.4399478232530596,0.194,26.111,0.973,-0.203604355984884,0.107075303432908,0.200082126716753,78.6159369998985,85.5710922697137
16,0.9808982508504593,1.0933688589239514,-0.5714217799303293,0.216,24.184,0.899,-0.137510532333201,0.0673699630921822,0.168666601367591,71.4788122124698,76.7174403957862
17,1.1636463915159119,1.8336422799305208,-0.31735724202695664,0.23,31.637,1.042,-0.155917211069905,0.076815034888705,0.136709424893264,75.6832198932819,83.4070531870156
18,0.706776039852281,1.384094781812215,-0.6762456102540985,0.195,27.111,0.84,-0.269495292970496,0.178947715313369,0.232525658055768,82.3152316648089,82.4931319390649
19,0.18463849509384556,1.6013197880836987,-0.683352310615032,0.155,29.298,0.836,-0.230436901657182,0.196657743113674,0.207170979918443,81.3510215963813,86.4844583142497
20,1.020058566707342,1.2430524823583937,-0.5803051553814962,0.219,25.691,0.894,-0.112764014264647,0.168529273017073,0.292505284320495,80.3302087154184,83.0963617326699
21,-0.3636059269025114,0.41447863584869254,-0.9534069243305048,0.113,17.349,0.684,-0.223656443097232,0.180285487711306,0.10139978242026,83.877579622929,87.8871685575723
22,1.607463304560582,2.5404429862075566,-1.0600074297445075,0.264,38.753,0.624,-0.0815795693767993,-0.0590053715783858,0.321835443239747,79.6260882813535,83.9838965202968
23,-0.19391122485602,-0.022156539080179095,-0.39197759581675845,0.126,12.953,1.0,-0.183679749286253,0.190487317274458,0.219226338061271,78.6173808514987,84.6812595294121
24,1.5160892342278556,1.87337250512878,-0.9942704514058724,0.257,32.037,0.661,-0.142425072826512,-0.0197395694920574,0.152913132511874,80.3774971617452,82.9849596760144
25,-0.5855143834248464,0.706396465492904,-1.067114130105441,0.096,20.288,0.62,-0.162546677841122,0.144759443605989,0.0451825121618127,80.3663854900768,87.4874724608801
26,1.0070051280883812,1.803347983216848,0.0877246785462528,0.218,31.332,1.27,-0.226688822467068,0.0726231871926992,0.196894198115874,80.6728345861137,88.3591059331207
27,0.40654695161618043,2.055138285410817,-0.574975130110796,0.172,33.867,0.897,-0.0700781303402371,-0.0667664344750265,0.151162404381745,81.8457228664472,81.2971582215281
28,0.08021098614215842,1.5663571899092303,0.5816403536311311,0.147,28.946,1.548,0.0272985904404288,-0.0006190272575908,0.22059253658245,79.3835923127229,86.8342834539839
29,-0.10253715452329373,0.9025644524093103,0.18721848359932186,0.133,22.263,1.326,-0.149218313578157,0.108103227224059,0.0982300041581051,80.9172658436628,85.1422490753002
30,0.6154019695195547,1.0763841876516955,0.6331639312478987,0.188,24.013,1.577,-0.146941212820596,0.106174897170073,0.290418675578831,81.1965817353858,83.6594204548847
31,1.9468527086535645,1.4576950239919906,0.7326577363009679,0.29,27.852,1.633,-0.120746294544786,0.229719687952247,0.379417858225486,76.7711384236771,83.7048498851305
