,LSOA code (2011),Outdoors Sub-domain Score,lsoa,Unnamed: 0
114,E01000118,0.443,E01000118,4.896390135161543
115,E01000119,0.86,E01000119,5.037623210386797
116,E01000120,0.561,E01000120,5.0151836546262105
117,E01000121,0.571,E01000121,5.044873287803249
118,E01000122,0.543,E01000122,5.077723698708618
119,E01000123,0.372,E01000123,4.90126157225224
120,E01000124,0.96,E01000124,5.1776297372064475
121,E01000125,1.071,E01000125,5.151519774066077
122,E01000126,0.672,E01000126,5.143105604784275
123,E01000127,0.862,E01000127,4.890195921227172
124,E01000128,1.087,E01000128,5.055764911990416
125,E01000129,1.277,E01000129,5.037231708905711
126,E01000130,0.757,E01000130,4.900569995244344
127,E01000131,1.139,E01000131,5.008479113048978
128,E01000132,1.039,E01000132,5.0506260829551195
129,E01000133,1.101,E01000133,4.971286731106894
130,E01000134,0.71,E01000134,4.954321346176204
131,E01000135,1.363,E01000135,4.819930924309625
132,E01000136,1.033,E01000136,4.727285321553548
133,E01000137,1.096,E01000137,5.03421937171803
134,E01000138,1.157,E01000138,5.050611400435157
135,E01000139,1.181,E01000139,4.920852934376577
136,E01000140,0.865,E01000140,4.978019088506699
137,E01000141,1.703,E01000141,5.124082902536035
138,E01000142,0.904,E01000142,5.069966407691908
139,E01000143,1.1,E01000143,5.078737328750918
140,E01000144,1.31,E01000144,4.992389025787513
141,E01000145,1.143,E01000145,4.909433166496456
142,E01000146,1.18,E01000146,4.87721278202243
143,E01000147,1.154,E01000147,5.001539791990447
144,E01000148,1.195,E01000148,5.185511397688012
145,E01000150,0.861,E01000150,5.145168431817669
146,E01000151,0.826,E01000151,5.133455888221138
147,E01000152,0.702,E01000152,5.029186669985453
148,E01000153,0.738,E01000153,5.010523801356291
149,E01000154,0.802,E01000154,5.288428322474162
150,E01000155,0.412,E01000155,4.983144332170486
151,E01000156,0.951,E01000156,4.8580673253240665
152,E01000157,1.043,E01000157,4.971672508800239
153,E01000158,0.839,E01000158,4.8363105545043945
154,E01000159,0.775,E01000159,4.888431108727747
155,E01000160,1.01,E01000160,4.979338835447263
156,E01000161,1.01,E01000161,4.97289011333928
157,E01000162,1.147,E01000162,4.889594078063965
158,E01000163,0.956,E01000163,5.0344691402771895
159,E01000164,1.612,E01000164,5.183416256635012
160,E01000165,0.977,E01000165,5.080634518222914
161,E01000166,0.384,E01000166,4.766690367861733
162,E01000167,0.593,E01000167,4.735902129419592
163,E01000168,0.397,E01000168,4.906722423674046
164,E01000169,0.576,E01000169,4.895252883011568
165,E01000170,0.645,E01000170,4.935465748041448
166,E01000171,0.68,E01000171,5.0460986784716555
167,E01000172,0.54,E01000172,4.851947000367301
168,E01000173,0.685,E01000173,5.0001382927561915
169,E01000174,0.598,E01000174,4.86394132987449
170,E01000175,0.532,E01000175,4.821562448002044
171,E01000176,1.111,E01000176,4.9665117970732755
172,E01000177,1.073,E01000177,4.785637622448935
173,E01000178,0.824,E01000178,4.673076277062044
174,E01000179,0.974,E01000179,4.838838656743367
175,E01000180,1.09,E01000180,4.837048746169882
176,E01000181,1.272,E01000181,4.70434273224251
177,E01000182,1.298,E01000182,4.75331257250076
178,E01000183,0.759,E01000183,4.778777091430896
179,E01000184,1.417,E01000184,4.785776961953552
180,E01000185,1.115,E01000185,4.920868693590164
181,E01000186,0.963,E01000186,4.9424281012581055
182,E01000187,0.468,E01000187,4.950735892735276
183,E01000188,1.433,E01000188,5.0452492024533635
184,E01000189,0.847,E01000189,5.016894733099113
185,E01000190,0.462,E01000190,4.808505688058703
186,E01000191,0.931,E01000191,4.924065652409116
187,E01000192,0.789,E01000192,5.002570224176977
188,E01000193,0.759,E01000193,5.0009887591652245
189,E01000194,0.987,E01000194,5.002441375826796
190,E01000195,0.778,E01000195,5.164940535053005
191,E01000196,0.854,E01000196,4.8519188217494795
192,E01000197,1.057,E01000197,4.876760158313097
193,E01000198,0.944,E01000198,5.033908262848854
194,E01000199,0.784,E01000199,4.841095684641632
195,E01000200,0.979,E01000200,4.814182911600385
196,E01000201,1.497,E01000201,4.785017345999849
197,E01000202,0.947,E01000202,4.797412175290725
198,E01000203,1.34,E01000203,5.006248932843115
199,E01000204,1.243,E01000204,4.886753884095412
200,E01000205,1.036,E01000205,4.580561656732948
201,E01000206,1.049,E01000206,4.618097982064491
202,E01000207,0.883,E01000207,4.638031663051967
203,E01000208,1.336,E01000208,4.773487543969443
204,E01000209,0.976,E01000209,4.607206018185923
205,E01000210,1.388,E01000210,4.596965819978348
206,E01000211,1.222,E01000211,5.008515025252726
207,E01000212,0.804,E01000212,4.646301633500038
208,E01000213,0.858,E01000213,4.586787960502539
209,E01000214,1.031,E01000214,4.657279357104234
210,E01000215,1.029,E01000215,4.995251414791638
211,E01000216,1.138,E01000216,4.8228913610240065
212,E01000217,1.009,E01000217,4.913860265900489
213,E01000218,1.179,E01000218,5.002158113594713
214,E01000219,1.85,E01000219,5.159454362197492
215,E01000220,1.035,E01000220,4.9302174259018114
216,E01000221,1.976,E01000221,5.399261788301861
217,E01000222,1.553,E01000222,5.06897766123373
218,E01000223,1.526,E01000223,5.212711891138329
219,E01000224,0.946,E01000224,4.952773193814862
220,E01000225,1.283,E01000225,5.07231779566294
221,E01000226,0.634,E01000226,4.902401104041025
222,E01000227,0.743,E01000227,5.101363312787023
223,E01000228,0.759,E01000228,4.98753925907812
224,E01000229,0.794,E01000229,5.063143577306501
225,E01000230,0.676,E01000230,5.066817595678217
226,E01000231,1.039,E01000231,5.2454840819040935
227,E01000232,1.009,E01000232,5.10130010843277
228,E01000233,0.785,E01000233,5.056609393755595
229,E01000234,0.819,E01000234,4.881781058781074
230,E01000235,1.16,E01000235,4.920953486150908
231,E01000236,1.339,E01000236,5.001320588838804
232,E01000237,1.469,E01000237,5.037088014147608
233,E01000238,0.942,E01000238,4.965423792790455
234,E01000239,1.385,E01000239,5.284330522402739
235,E01000240,1.205,E01000240,5.1827195717228784
236,E01000241,0.907,E01000241,4.842952870500499
237,E01000242,1.059,E01000242,4.9964530161283545
238,E01000243,1.444,E01000243,4.9447297547139275
239,E01000244,1.42,E01000244,4.9543842009618775
240,E01000245,1.396,E01000245,5.170728790659864
241,E01000246,0.407,E01000246,4.71129997586476
242,E01000247,0.254,E01000247,4.890878813882028
243,E01000248,0.694,E01000248,4.759956091501136
244,E01000249,0.439,E01000249,4.812618675741177
245,E01000250,0.612,E01000250,4.86140165121659
246,E01000251,0.614,E01000251,4.93251790783622
247,E01000252,0.514,E01000252,4.806365005619876
248,E01000253,0.423,E01000253,4.827698620078065
249,E01000254,0.586,E01000254,4.732088643504727
250,E01000255,0.518,E01000255,4.85221104454576
251,E01000256,0.693,E01000256,4.837111344656994
252,E01000257,0.859,E01000257,5.022506684727139
253,E01000258,0.964,E01000258,5.000469702217966
254,E01000259,0.758,E01000259,4.88870026075352
255,E01000260,1.347,E01000260,5.236854534666493
256,E01000261,0.334,E01000261,4.733211955466828
257,E01000262,0.388,E01000262,4.85744837901809
258,E01000263,0.944,E01000263,4.742404787191029
259,E01000264,1.188,E01000264,5.154092656578987
260,E01000265,0.599,E01000265,5.063055121215286
261,E01000266,1.052,E01000266,4.782267756224996
262,E01000267,0.606,E01000267,5.071418604390188
263,E01000268,0.606,E01000268,5.005972799377062
264,E01000269,0.703,E01000269,4.892262346936628
265,E01000270,0.932,E01000270,4.91691825290521
266,E01000271,0.816,E01000271,4.903153573130739
267,E01000272,0.582,E01000272,4.723771806825628
268,E01000273,0.672,E01000273,4.91958800523709
269,E01000274,0.61,E01000274,4.957366371923877
270,E01000275,0.629,E01000275,4.915810867567747
271,E01000276,0.529,E01000276,4.898749751038849
272,E01000277,0.687,E01000277,4.833290491785322
273,E01000278,0.531,E01000278,4.77856398685069
274,E01000279,0.432,E01000279,4.636006983753028
275,E01000280,0.621,E01000280,4.686841114325458
276,E01000281,0.887,E01000281,5.13956258852789
277,E01000282,1.166,E01000282,4.962452704944308
278,E01000283,0.53,E01000283,4.881464633908305
279,E01000284,0.67,E01000284,4.84083118267402
280,E01000285,0.42,E01000285,4.8705301988555725
281,E01000286,0.345,E01000286,4.872749096468875
282,E01000287,0.358,E01000287,4.932617221659387
283,E01000288,0.641,E01000288,4.985636387652124
284,E01000289,0.404,E01000289,5.073436819085288
285,E01000290,0.429,E01000290,4.844508492456724
286,E01000291,0.526,E01000291,5.052236418638911
287,E01000292,0.774,E01000292,4.824076482913638
288,E01000293,0.669,E01000293,4.769838758309683
289,E01000294,0.134,E01000294,4.77317434290181
290,E01000295,1.014,E01000295,4.735505297421589
291,E01000296,0.824,E01000296,4.847047682188771
292,E01000297,0.904,E01000297,4.962724391947088
293,E01000298,0.747,E01000298,4.854086257315971
294,E01000299,1.106,E01000299,5.056604239344597
295,E01000300,0.869,E01000300,4.811040312790674
296,E01000301,0.892,E01000301,4.843527633783429
297,E01000302,1.004,E01000302,5.022423585800276
298,E01000303,0.577,E01000303,4.869856860463982
299,E01000304,0.546,E01000304,4.703781623589365
300,E01000305,1.325,E01000305,5.311490374241235
301,E01000306,1.527,E01000306,4.946338501241472
302,E01000307,1.524,E01000307,5.423764288288424
303,E01000308,1.347,E01000308,5.073545345088892
304,E01000309,1.315,E01000309,5.077934145388021
305,E01000310,1.535,E01000310,5.188923643856514
306,E01000311,1.54,E01000311,4.826403573447583
307,E01000312,0.995,E01000312,4.877662668228149
308,E01000313,1.566,E01000313,5.173259389671412
309,E01000314,1.409,E01000314,5.082238646324523
310,E01000315,1.167,E01000315,5.132806355688307
311,E01000316,0.906,E01000316,4.996399171709076
312,E01000317,0.781,E01000317,4.854254586752071
313,E01000318,1.098,E01000318,4.939338733933189
314,E01000319,1.003,E01000319,4.8031443566083905
315,E01000320,0.672,E01000320,4.827134046241315
316,E01000321,0.773,E01000321,4.947967826069652
317,E01000322,0.806,E01000322,4.86584812080538
318,E01000323,1.13,E01000323,5.0178527478561845
319,E01000324,0.828,E01000324,4.886099548785241
320,E01000325,0.226,E01000325,4.89213035816557
321,E01000326,0.527,E01000326,5.109841826843889
322,E01000327,0.557,E01000327,5.069550081713116
323,E01000328,0.263,E01000328,4.8885054337672695
324,E01000329,0.564,E01000329,5.055259636948618
325,E01000330,0.626,E01000330,5.145243838082912
326,E01000331,0.647,E01000331,4.875960514447946
327,E01000332,0.585,E01000332,4.924026391479407
328,E01000333,0.256,E01000333,4.945970746760185
329,E01000334,0.147,E01000334,5.273559281083404
330,E01000335,0.576,E01000335,5.219661939872925
331,E01000336,0.381,E01000336,4.993133438069646
332,E01000337,0.236,E01000337,5.035594429939416
333,E01000338,0.312,E01000338,4.935570855798392
334,E01000339,0.134,E01000339,4.8440437851281
335,E01000340,0.669,E01000340,5.114293191961186
