LSOA code,price,Unnamed: 0,"Price (central estimate, natural log scale)"
E01002661,243447.29568751092,5.279305736933436,12.402655753262072
E01002662,267291.1413872529,5.7248639197725995,12.496093760490114
E01002663,227238.74501265763,5.368171112103895,12.333756483916233
E01002664,227976.80712375918,5.384451292903045,12.33699917962102
E01002665,218988.1953199019,5.4983864856548,12.296773104696989
E01002666,216555.2233039762,5.497831123956242,12.285600866896676
E01002667,371387.04412854725,5.551923896686964,12.825000043416537
E01002668,302285.1195851312,5.425407412547419,12.619125955557104
E01002669,264118.9921232284,5.441699681171151,12.48415500832072
E01002670,277382.048575869,5.65646252247595,12.533151071632146
E01002671,320199.78624659765,5.689323437213898,12.676700411982372
E01002672,280065.18825541204,5.452278040437138,12.542777670252034
E01002673,248095.58229847404,5.603378802537918,12.421569363388649
E01002674,296762.2316786426,5.597286232682162,12.600686530421576
E01002675,332236.96633055026,5.904554369169123,12.713603747305056
E01002676,352090.4068009297,5.663521631279183,12.77164325910577
E01002677,309317.4442511628,5.5959275539763675,12.642123356213611
E01002678,315642.8275598554,5.318363877081535,12.662366560774593
E01002679,327032.6615255452,5.486515814299261,12.697815327232599
E01002680,341095.2123003101,5.776721952162383,12.739916932249333
E01002681,307755.1681702542,5.56683298004301,12.637059837310256
E01002682,302572.60153544694,5.597209121009051,12.62007653273228
E01002683,323147.40897972416,5.623142259006194,12.68586387264783
E01002684,412819.1638868584,5.330720442312735,12.930764916216445
E01002686,277968.4955549134,5.402987097203732,12.535263060908933
E01002687,647394.6499577095,5.823447821966184,13.380711356550282
E01002689,650968.4442464963,5.424982366738496,13.386216447276228
E01002690,850120.793391319,5.858023282169372,13.653133728241988
E01002691,465551.40883579047,5.3861738733947275,13.050977807487138
E01002692,659424.033666519,5.554042355322735,13.39912205673615
E01002693,729627.9054671767,5.635967019945383,13.500289964635805
E01002694,582143.7207587294,5.427499647323902,13.274472639112615
E01002695,532207.3132561287,5.495478955507278,13.18478837898736
E01002696,783436.1877211115,5.49680278571785,13.571444892306445
E01002697,458347.59613417304,5.504538421778335,13.035383118768713
E01002698,638917.0317727313,5.6117283256748065,13.367529884198385
E01002699,768848.2620648043,5.5479064131831075,13.552648910506615
E01002700,948331.6451066602,5.715100831985474,13.762459556669
E01002701,829813.8598285018,5.686141516032972,13.6289566893547
E01002702,435413.48143155343,5.529915912946065,12.984051390627883
E01002703,546776.3479427758,5.562890680063338,13.211795127488152
E01002704,591243.2500832083,5.623720706245045,13.289982802373359
E01002706,604989.2919953055,5.412625638575389,13.312966037675032
E01002707,545072.6590069219,5.611584958951336,13.208674384037911
E01002708,417138.079898726,5.161014885168809,12.941172572825998
E01002709,387516.6579085423,5.425263994932175,12.86751411500265
E01002710,485202.1936277004,5.444369492530822,13.092320977121162
E01002711,573011.0118916271,5.589593058376643,13.258660213473169
E01002712,501350.75667970703,5.353874633561319,13.125061248235278
E01002713,391214.39965715975,5.274933090304384,12.877011025404936
E01002714,730572.5297967577,5.6640500264652704,13.501583793124748
E01002715,394051.6359651773,5.228936849638473,12.884237235442198
E01002716,534063.1283474478,5.5044264396031695,13.188269328834265
E01002717,651013.2670346315,5.794071325889001,13.386285300452528
E01002718,706196.7866785742,5.948575062294528,13.467649212308288
E01002719,795737.8617763281,5.713756563542764,13.587025091212514
E01002720,451721.19116320007,5.425848934799433,13.020820434784453
E01002721,746819.4893740201,5.725057723475437,13.523578787489173
E01002722,616058.1911598865,5.568103779584933,13.331096704222656
E01002723,541264.4188950063,5.587191632202081,13.201663197934772
E01002724,737875.5520522661,5.544452637842257,13.511530460707734
E01002725,539494.0241181976,5.740857130951351,13.19838698691499
E01002726,634714.8150416816,5.536007278196274,13.36093106682407
E01002727,752077.1419627604,5.650792787984474,13.53059418006805
E01002728,644003.658413576,5.650257121771574,13.375459685836777
E01002729,890017.9824288972,5.761220194612231,13.698996946480493
