,LSOA code (2011),Crime Score,lsoa,Unnamed: 0
301,E01000306,0.156,E01000306,6.113286446011256
302,E01000307,0.834,E01000307,5.519811384705291
303,E01000308,1.036,E01000308,5.7382486661275225
304,E01000309,-0.061,E01000309,6.004492636719441
305,E01000310,0.28,E01000310,5.796759722194051
306,E01000311,0.539,E01000311,6.102346248876035
307,E01000312,-0.218,E01000312,5.956102240085602
308,E01000313,0.188,E01000313,5.751568908041174
309,E01000314,0.599,E01000314,5.914721369029519
310,E01000315,0.821,E01000315,5.832535814709134
311,E01000316,0.761,E01000316,5.950648915110611
312,E01000317,-0.216,E01000317,6.181592787883078
313,E01000318,0.621,E01000318,6.170678075154623
314,E01000319,0.193,E01000319,6.31243808567524
315,E01000320,-0.389,E01000320,6.150796023598553
316,E01000321,-0.071,E01000321,6.022933091317023
317,E01000322,-0.254,E01000322,6.102775262819754
318,E01000323,0.644,E01000323,5.919345808583636
319,E01000324,0.198,E01000324,6.140036000000252
320,E01000325,-0.419,E01000325,6.071870343069012
321,E01000326,-0.091,E01000326,5.97294118633009
322,E01000327,-0.238,E01000327,5.9998416672998935
323,E01000328,0.714,E01000328,6.022009371488522
324,E01000329,0.401,E01000329,5.9518104510360885
325,E01000330,-0.24,E01000330,5.841154939906541
326,E01000331,0.312,E01000331,5.99465949296065
327,E01000332,0.407,E01000332,5.936568487896008
328,E01000333,0.197,E01000333,5.870734729445898
329,E01000334,-0.315,E01000334,5.841506832935771
330,E01000335,0.732,E01000335,5.662420994850225
331,E01000336,0.386,E01000336,5.843715654640663
332,E01000337,0.035,E01000337,5.821183298044144
333,E01000338,0.267,E01000338,5.942149499367023
334,E01000339,-0.154,E01000339,6.179849549467341
335,E01000340,-0.614,E01000340,5.950113119479425
336,E01000341,-0.623,E01000341,5.998199187603193
337,E01000342,-0.158,E01000342,6.109646874925365
338,E01000343,-0.474,E01000343,6.122138829458327
339,E01000344,-0.513,E01000344,6.143844293442783
340,E01000345,-0.71,E01000345,6.278573123847737
341,E01000346,-0.023,E01000346,6.149698900263846
342,E01000347,-0.483,E01000347,6.141560842161593
343,E01000348,-0.66,E01000348,6.032190582455968
344,E01000349,-0.813,E01000349,5.991774861757145
345,E01000350,-0.577,E01000350,6.312977035324295
346,E01000351,-0.687,E01000351,5.993339419364929
347,E01000352,-0.116,E01000352,5.868743331253934
348,E01000353,-0.353,E01000353,5.9178396340750865
349,E01000354,-0.667,E01000354,5.962784145760724
350,E01000355,-0.346,E01000355,5.89762425534079
351,E01000356,-0.507,E01000356,5.923855441231882
352,E01000357,-0.704,E01000357,6.046831978469336
353,E01000358,-0.75,E01000358,5.988533619359053
354,E01000359,-0.859,E01000359,5.977962386759022
355,E01000360,0.373,E01000360,5.7746856653527034
356,E01000361,-0.362,E01000361,5.964358052185603
357,E01000362,0.499,E01000362,5.9499833675924805
358,E01000363,-0.454,E01000363,5.918312302879666
359,E01000364,-0.486,E01000364,6.003592226329266
360,E01000365,0.595,E01000365,5.886240297434282
361,E01000366,-0.233,E01000366,5.927468719153569
362,E01000367,0.237,E01000367,6.015785988783225
363,E01000368,-0.146,E01000368,6.03041039880856
364,E01000369,-0.226,E01000369,5.929889381616965
365,E01000370,-0.706,E01000370,6.116537226719803
366,E01000371,-0.624,E01000371,5.972702488044783
367,E01000372,-0.117,E01000372,6.115913232635049
368,E01000373,0.578,E01000373,5.913189588054534
369,E01000374,0.056,E01000374,5.630918646984044
370,E01000375,0.066,E01000375,5.745745462932806
371,E01000376,0.727,E01000376,5.9463817854316865
372,E01000377,0.142,E01000377,5.991152302424113
373,E01000378,0.181,E01000378,5.755444591851544
374,E01000379,0.254,E01000379,6.110737426168966
375,E01000380,-0.771,E01000380,5.850407685329712
376,E01000381,-0.079,E01000381,5.910522434019273
377,E01000382,-0.685,E01000382,6.137345826502928
378,E01000383,0.989,E01000383,5.932787001818076
379,E01000384,-0.253,E01000384,6.127764975869811
380,E01000385,0.219,E01000385,5.935528137887171
381,E01000386,0.336,E01000386,5.68412738603397
382,E01000387,-0.156,E01000387,5.98008801912268
383,E01000388,0.288,E01000388,5.967468642541187
384,E01000389,0.066,E01000389,6.011607373241886
385,E01000390,-0.085,E01000390,5.863664530311169
386,E01000391,-0.304,E01000391,5.811674190970028
387,E01000392,-0.219,E01000392,5.805950791457963
388,E01000393,0.03,E01000393,6.0193908226430715
389,E01000394,-0.444,E01000394,5.955021926833362
390,E01000395,-0.92,E01000395,6.16347331846914
391,E01000396,-1.064,E01000396,6.157721743080186
392,E01000398,-0.882,E01000398,6.1122050353458945
393,E01000399,-0.452,E01000399,6.045042045799219
394,E01000400,-0.419,E01000400,5.979948662122091
395,E01000401,-0.318,E01000401,5.8794514944987935
396,E01000402,0.336,E01000402,6.001918666156722
397,E01000403,1.236,E01000403,5.750664243200944
398,E01000404,0.508,E01000404,5.836959487513492
399,E01000405,0.393,E01000405,5.805121495639007
400,E01000406,0.633,E01000406,5.9705317564952525
401,E01000407,-0.239,E01000407,5.966293504425123
402,E01000408,0.351,E01000408,5.585862777356444
403,E01000409,-1.23,E01000409,6.013884243303842
404,E01000410,-0.148,E01000410,6.190258205192795
405,E01000411,-0.407,E01000411,6.034339236207755
406,E01000412,-0.567,E01000412,6.106388544608019
407,E01000413,-0.133,E01000413,5.888643120236965
408,E01000414,0.472,E01000414,5.872504554792892
409,E01000415,-0.244,E01000415,6.174122319501989
410,E01000416,1.066,E01000416,5.5717447102069855
411,E01000417,0.255,E01000417,5.919237818473425
412,E01000418,0.094,E01000418,5.837844519388108
413,E01000419,-0.439,E01000419,5.86208902383462
414,E01000420,-0.463,E01000420,5.899275182275211
415,E01000421,-0.69,E01000421,5.822341740131378
416,E01000422,0.694,E01000422,5.368339282545176
417,E01000423,-0.95,E01000423,6.125718229583332
418,E01000424,-0.144,E01000424,6.244308390268466
419,E01000425,-1.388,E01000425,6.3851297061536565
420,E01000426,-0.896,E01000426,5.960025755258707
421,E01000427,-0.466,E01000427,6.005347427996722
422,E01000428,0.2,E01000428,5.815024322381726
423,E01000429,0.827,E01000429,5.7513789718957256
424,E01000430,-0.42,E01000430,5.465512756347656
425,E01000431,0.452,E01000431,5.733014498438154
426,E01000432,0.377,E01000432,5.848880419054547
427,E01000433,0.684,E01000433,5.837442398071289
428,E01000434,-0.15,E01000434,5.739875976741314
429,E01000435,0.615,E01000435,5.8534734620422615
430,E01000436,-1.501,E01000436,6.106236755016238
431,E01000437,-0.051,E01000437,6.030088652504815
432,E01000438,0.023,E01000438,6.104410145164195
433,E01000439,0.502,E01000439,5.962296537941483
434,E01000440,-0.327,E01000440,5.950134973315632
435,E01000441,0.393,E01000441,5.981601926171855
436,E01000442,-0.658,E01000442,5.881671615926231
437,E01000443,-0.344,E01000443,6.195837636251707
438,E01000444,-0.179,E01000444,5.92016171477735
439,E01000445,-0.474,E01000445,6.0131673460049475
440,E01000446,-0.645,E01000446,6.20130274932422
441,E01000447,0.31,E01000447,5.832458244993331
442,E01000448,-0.708,E01000448,6.1217376219259725
443,E01000449,0.164,E01000449,5.986480864657073
444,E01000450,-0.121,E01000450,5.908538020687339
445,E01000451,-0.735,E01000451,5.99639368057251
446,E01000452,-0.803,E01000452,6.193672086438562
447,E01000453,-0.491,E01000453,6.093700020653861
448,E01000454,0.245,E01000454,5.914632128854083
449,E01000455,-0.279,E01000455,6.021763692299525
450,E01000456,-0.868,E01000456,6.12417114845344
451,E01000457,0.042,E01000457,5.893647013858146
452,E01000458,-0.833,E01000458,6.222471104293573
453,E01000459,-0.176,E01000459,6.092531587743112
454,E01000460,-0.744,E01000460,6.255957711127497
455,E01000461,-0.217,E01000461,6.281576182967738
456,E01000462,-0.455,E01000462,6.0010261506803575
457,E01000463,-1.045,E01000463,6.226071683328543
458,E01000464,0.057,E01000464,5.433048990211989
459,E01000465,-0.104,E01000465,5.809311219140993
460,E01000466,-0.079,E01000466,5.6855541241580045
461,E01000467,-0.181,E01000467,5.9085669875144955
462,E01000468,-0.179,E01000468,5.87525416668797
463,E01000469,0.332,E01000469,5.939813589645644
464,E01000470,1.145,E01000470,5.509257572361186
465,E01000471,-0.261,E01000471,5.904290146297878
466,E01000472,0.04,E01000472,5.6156120206470845
467,E01000473,0.167,E01000473,5.854819632648082
468,E01000474,-0.462,E01000474,6.040719204089221
469,E01000475,-0.457,E01000475,5.760162944250768
470,E01000476,0.379,E01000476,5.811270885213593
471,E01000477,-0.117,E01000477,5.706779705626624
472,E01000478,0.408,E01000478,5.9076494161159765
473,E01000479,0.092,E01000479,6.095192586150125
474,E01000480,0.395,E01000480,6.124163108889528
475,E01000481,0.077,E01000481,6.040283442883009
476,E01000482,0.234,E01000482,5.759536141676527
477,E01000483,0.402,E01000483,5.702214560201091
478,E01000484,-0.146,E01000484,5.960008175686152
479,E01000485,0.259,E01000485,6.047744588154118
480,E01000486,0.397,E01000486,6.1339528770237175
481,E01000487,0.109,E01000487,6.001517912920783
482,E01000488,0.842,E01000488,6.205175752335406
483,E01000489,0.969,E01000489,6.112943821332672
484,E01000490,0.98,E01000490,6.085204543489398
485,E01000491,0.441,E01000491,6.120098154936263
486,E01000492,0.262,E01000492,6.263225604029535
487,E01000493,-0.018,E01000493,6.152260262754899
488,E01000494,0.047,E01000494,6.184401846572056
489,E01000495,0.994,E01000495,6.051707946524328
490,E01000497,0.357,E01000497,5.765156901297877
491,E01000498,0.86,E01000498,5.688215556244056
492,E01000499,0.365,E01000499,5.507563314451608
493,E01000501,0.572,E01000501,5.78530077550603
494,E01000502,0.68,E01000502,6.0361057839223315
495,E01000503,0.83,E01000503,5.939149547555593
496,E01000504,0.293,E01000504,6.285756743380001
497,E01000505,0.251,E01000505,6.088843830360854
498,E01000506,0.372,E01000506,5.746017479619314
499,E01000507,0.554,E01000507,6.117272469534803
500,E01000508,0.558,E01000508,5.8599678569651665
501,E01000509,1.665,E01000509,5.8549693282559625
502,E01000510,1.458,E01000510,5.88455082098643
503,E01000511,1.198,E01000511,6.138114584816827
504,E01000512,0.604,E01000512,6.247282747427622
505,E01000513,-0.002,E01000513,5.841069844033983
506,E01000514,0.043,E01000514,6.0133151593415635
507,E01000515,0.752,E01000515,5.929537854915441
508,E01000516,0.389,E01000516,5.8006198776434665
509,E01000517,0.789,E01000517,5.925138380176337
510,E01000518,0.794,E01000518,5.931381551157527
511,E01000519,0.26,E01000519,5.938918755013061
512,E01000520,0.388,E01000520,5.968247704646167
513,E01000521,0.997,E01000521,6.058855243724027
514,E01000522,0.149,E01000522,5.931742150783538
515,E01000523,0.941,E01000523,6.1452253761148095
516,E01000524,1.258,E01000524,6.098119485725477
517,E01000525,1.023,E01000525,6.170989992013618
518,E01000526,0.507,E01000526,5.842938760019118
519,E01000527,0.823,E01000527,6.207112817928709
520,E01000528,1.021,E01000528,5.866223458405379
521,E01000530,0.219,E01000530,6.246507877851054
522,E01000531,0.022,E01000531,6.2104649389943765
523,E01000532,0.071,E01000532,6.194415277904934
524,E01000533,1.195,E01000533,6.279094882414374
525,E01000534,0.275,E01000534,6.3926992946200905
526,E01000535,1.099,E01000535,6.085455959951374
527,E01000536,-0.08,E01000536,6.115449028434576
528,E01000538,-0.341,E01000538,6.191874270672565
529,E01000539,-0.294,E01000539,6.14553570225291
530,E01000540,-0.417,E01000540,6.154549703241032
531,E01000541,0.015,E01000541,6.048538569041661
532,E01000543,0.6,E01000543,5.944061337546869
533,E01000544,0.251,E01000544,5.64541735793605
534,E01000545,1.335,E01000545,6.0692769777207145
535,E01000546,0.467,E01000546,6.247145902409273
536,E01000547,0.553,E01000547,6.341411074995994
537,E01000548,1.316,E01000548,6.001276898802373
538,E01000549,0.098,E01000549,6.413106128733645
539,E01000550,1.139,E01000550,5.8811087253931404
540,E01000551,0.214,E01000551,5.776493527672508
541,E01000552,0.331,E01000552,5.741753432485792
542,E01000553,0.693,E01000553,6.150686571310306
543,E01000554,-0.09,E01000554,6.2795068435086545
544,E01000555,0.49,E01000555,6.242030580838521
545,E01000556,1.319,E01000556,6.142591305401014
546,E01000557,0.426,E01000557,6.29107480548149
547,E01000558,1.123,E01000558,6.3649882840680645
548,E01000559,0.42,E01000559,6.455555069614464
549,E01000560,0.501,E01000560,6.426480461339482
550,E01000561,0.65,E01000561,6.124158387184143
551,E01000562,-0.282,E01000562,6.066570784876255
552,E01000563,0.245,E01000563,6.085412628363565
553,E01000564,-0.464,E01000564,5.985915512550534
554,E01000565,0.08,E01000565,6.020187718527658
555,E01000566,-0.072,E01000566,6.171380550696932
556,E01000567,0.151,E01000567,6.082705485193353
557,E01000568,-0.039,E01000568,5.944664721820444
558,E01000569,-0.251,E01000569,6.138864634253762
559,E01000570,0.117,E01000570,5.9875720256850835
560,E01000571,0.86,E01000571,6.217336392242636
561,E01000572,-0.621,E01000572,6.348264516002
562,E01000573,0.132,E01000573,6.161731594179305
563,E01000574,-0.444,E01000574,6.157840802934435
564,E01000575,0.428,E01000575,6.060043476367819
565,E01000576,0.456,E01000576,6.303308671262084
