,LSOA code (2011),Living Environment Score,Crime Score,Health Deprivation and Disability Score,Barriers to Housing and Services Score,"Education, Skills and Training Score",Employment Score (rate),Income Score (rate),Index of Multiple Deprivation (IMD) Score,Outdoors Sub-domain Score,lsoa_x,hierarchical8x,lsoa_y,hierarchical13x,lsoa,hierarchical24x
45,E01000049,26.588,0.376,0.409,55.298,27.852,0.143,0.29,41.172,1.633,,,,,,
46,E01000050,36.588,0.74,0.61,48.003,22.642,0.114,0.176,34.701,1.44,E01000050,5.0,E01000050,6.0,E01000050,7.0
47,E01000051,27.521,0.859,0.391,45.996,28.197,0.13,0.234,36.941,1.283,,,,,,
48,E01000052,38.532,0.335,-0.153,51.774,27.403,0.111,0.188,33.284,1.677,,,,,,
49,E01000053,26.503,1.217,0.701,49.479,27.703,0.126,0.229,40.044,1.114,,,,,,
50,E01000054,31.481,0.514,0.198,42.507,26.697,0.096,0.18,29.788,0.899,E01000054,3.0,E01000054,9.0,E01000054,12.0
51,E01000055,29.369,0.047,0.126,43.185,27.143,0.114,0.211,30.898,1.069,E01000055,3.0,E01000055,3.0,E01000055,11.0
52,E01000056,23.506,0.485,0.455,51.736,25.304,0.144,0.197,35.903,0.912,E01000056,3.0,E01000056,3.0,E01000056,11.0
53,E01000057,30.046,0.644,0.097,43.725,31.462,0.118,0.196,32.887,1.281,E01000057,3.0,E01000057,3.0,E01000057,11.0
54,E01000058,27.809,0.358,0.147,46.251,25.845,0.117,0.199,31.763,0.919,E01000058,3.0,,,,
55,E01000059,32.699,0.414,0.136,45.241,28.14,0.129,0.176,32.331,0.741,E01000059,3.0,,,,
56,E01000060,24.729,1.109,0.282,48.53,25.54,0.129,0.202,36.154,1.316,E01000060,4.0,E01000060,5.0,E01000060,13.0
57,E01000061,15.967,0.145,1.013,49.627,39.776,0.186,0.303,46.283,0.651,E01000061,4.0,E01000061,5.0,,
58,E01000062,20.153,0.558,-0.143,45.088,30.73,0.088,0.143,26.669,0.776,E01000062,3.0,,,,
59,E01000063,35.452,0.342,0.286,41.886,37.624,0.124,0.181,33.371,1.056,E01000063,3.0,,,,
60,E01000064,34.175,0.212,0.39,50.054,24.438,0.13,0.208,35.283,0.845,E01000064,3.0,E01000064,3.0,E01000064,11.0
61,E01000065,29.31,0.324,0.817,47.453,26.185,0.173,0.228,39.89,1.061,E01000065,3.0,E01000065,3.0,E01000065,11.0
62,E01000066,17.916,-0.273,0.054,50.656,18.294,0.097,0.147,25.763,0.682,E01000066,3.0,E01000066,9.0,E01000066,12.0
63,E01000067,21.711,0.381,-0.388,42.456,15.99,0.066,0.132,20.973,1.136,E01000067,3.0,,,,
64,E01000068,31.382,0.946,0.167,41.502,16.187,0.075,0.123,25.603,1.248,E01000068,3.0,,,,
65,E01000069,28.36,0.032,-0.626,31.781,16.481,0.07,0.087,16.375,0.974,E01000069,3.0,E01000069,9.0,E01000069,12.0
66,E01000070,27.639,0.84,-0.442,35.596,14.434,0.077,0.11,21.038,1.271,E01000070,3.0,,,,
67,E01000071,22.064,-0.155,-0.261,40.981,14.114,0.058,0.13,18.848,0.886,E01000071,3.0,,,,
68,E01000072,30.082,1.197,0.478,46.957,34.242,0.138,0.241,41.016,1.235,E01000072,3.0,E01000072,3.0,E01000072,11.0
